offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVHE4DGOBXGU4XYMJYGA2WKNZYHA3TK,101,2,,resale,2026-04-04T23:52:08Z
GJ6DC7BVHA,101,2,,standard,2026-04-04T23:52:08Z
GN6DCMJVHE4DSOBSGAYXYMJYGA2GENLGGY2DK,101,2,,resale,2026-04-04T23:52:08Z
GJ6DC7BWGE,102,3,,standard,2026-04-04T23:52:08Z
GN6DCMJVGQ2TAMRTHEYHYMJXMZTGMYJTHAZDK,102,1,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTENBVGYZXYMJYGA2TQMZWGEYDK,102,2,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTSMZZGM4HYMJYGA2WINJUMI2TK,103,2,,resale,2026-04-04T23:52:08Z
GN6DCMBWG4ZTIMRRGY2HYMJXME2TQZDBMVRTK,103,2,,resale,2026-04-04T23:52:08Z
GJ6DC7BWGU,105,2,,standard,2026-04-04T23:52:08Z
GJ6DC7BWG4,106,1,,standard,2026-04-04T23:52:08Z
GN6DCMJTGIYTANBZHAYXYMJXME2TQZJSMMZDK,106,2,,resale,2026-04-04T23:52:08Z
GJ6DC7BWHA,107,4,,standard,2026-04-04T23:52:08Z
GN6DCMJVG43TCMZUGI3XYMJXMZSDGZJUMZQTK,108,1,,resale,2026-04-04T23:52:08Z
GJ6DC7BXGA,108,4,,standard,2026-04-04T23:52:08Z
GN6DCMJWGAZDCNZZGYZXYMJYGA2WKOBUGBRTK,108,3,,resale,2026-04-04T23:52:08Z
GJ6DC7BWHA,108,1,,standard,2026-04-04T23:52:08Z
GN6DCMJWGAZDCNZRGI4XYMJYGA2WKM3GMM3DK,109,2,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTSOBWGY2HYMJYGA2WKNBRMY3DK,109,1,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTSMZQGAZHYMJYGA2WKNBRMU4DK,109,3,,resale,2026-04-04T23:52:08Z
GN6DCMJVHE4DKNJSHAZHYMJYGA2WINZZGZQTK,109,2,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTSNBQGI4HYMJYGA2WGYRXGE3DK,111,2,,resale,2026-04-04T23:52:08Z
GJ6DC7BVHE,112,1,,standard,2026-04-04T23:52:08Z
GN6DCMJWGAYDAMBZGE3XYMJYGA2TAN3BGY3TK,113,2,,resale,2026-04-04T23:52:08Z
GN6DCMJVHE4DMMJVGA4HYMJYGA2WIMZWGMZTK,113,2,,resale,2026-04-04T23:52:08Z
GN6DCMJVHA4TSNBSHA2XYMJYGAYTQYJTHBRDK,113,2,,resale,2026-04-04T23:52:08Z
GN6DCMJVHE2DQNRXGA4HYMJYGA2GEZBVGEYTK,114,2,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYDENRUGA4HYMJYGA2TENZRHE3TK,115,2,,resale,2026-04-04T23:52:08Z
GJ6DC7BWGU,116,3,,standard,2026-04-04T23:52:08Z
GN6DCMJWGAZDANJVGI3HYMJYGA2WKMZZGE2TK,117,1,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYDANZWGY4HYMJYGA2WKMZWMM3DK,117,2,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTKMZVHE4XYMJYGA2WKNBTMFSTK,117,5,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTSOJWHA4HYMJYGA2WKNBRMZRTK,117,4,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTKMZVHA3HYMJYGA2WKNBTME2DK,117,7,,resale,2026-04-04T23:52:08Z
GN6DCMJVHE4DKNJSHAZXYMJYGA2WINZXMQ3TK,117,4,,resale,2026-04-04T23:52:08Z
GJ6DC7BWGY,117,1,,standard,2026-04-04T23:52:08Z
GJ6DC7BXGA,118,2,,standard,2026-04-04T23:52:08Z
GN6DCMJRGQ4TAOBZHE4HYMJXME2TQZBYGEYDK,118,2,,resale,2026-04-04T23:52:08Z
GN6DCMJWGAYTQMZXGI4HYMJYGA2WEZJRMYYTK,118A,2,,resale,2026-04-04T23:52:08Z
GN6DCMJVHE4TGMJXHAZHYMJYGA2GGYLDGRSTK,118A,2,,resale,2026-04-04T23:52:08Z
GJ6DC7BXGA,119,14,,standard,2026-04-04T23:52:08Z
GJ6DC7BWG4,119,4,,standard,2026-04-04T23:52:08Z
GN6DCMJVHE4TMNZVG4YHYMJYGA2GKYLFHFSTK,119,1,,resale,2026-04-04T23:52:08Z
GJ6DC7BWHA,119,4,,standard,2026-04-04T23:52:08Z
GN6DCMJWGAYTMNRTHE3XYMJYGA2WCZRWMMYTK,119A,1,,resale,2026-04-04T23:52:08Z
GN6DCMJUGM2DSOJRGY4XYMJYGA2TSZRUMIYTK,120,1,,resale,2026-04-04T23:52:08Z
GJ6DC7BWHE,120,2,,standard,2026-04-04T23:52:08Z
GN6DCMJWGAYDSMRYGE3XYMJYGA2TQZTCGNRDK,120,3,,resale,2026-04-04T23:52:08Z
