section,row,seat,price_usd,selection_type,scraped_at
102,10,1,69.75,resale,2026-04-12T22:52:11Z
102,10,2,69.75,resale,2026-04-12T22:52:11Z
102,1,4,69.75,resale,2026-04-12T22:52:11Z
102,1,3,69.75,resale,2026-04-12T22:52:11Z
102,6,7,69.75,resale,2026-04-12T22:52:11Z
102,6,8,69.75,resale,2026-04-12T22:52:11Z
102,8,10,69.75,resale,2026-04-12T22:52:11Z
102,8,11,69.75,resale,2026-04-12T22:52:11Z
102,AA,1,69.75,resale,2026-04-12T22:52:11Z
102,AA,2,69.75,resale,2026-04-12T22:52:11Z
102,AA,5,69.75,resale,2026-04-12T22:52:11Z
102,AA,6,69.75,resale,2026-04-12T22:52:11Z
103,15,1,110.44,resale,2026-04-12T22:52:11Z
103,15,2,110.44,resale,2026-04-12T22:52:11Z
104,9,4,98.81,resale,2026-04-12T22:52:11Z
104,9,3,98.81,resale,2026-04-12T22:52:11Z
105,16,3,52.31,resale,2026-04-12T22:52:11Z
105,16,4,52.31,resale,2026-04-12T22:52:11Z
106,23,8,93.0,resale,2026-04-12T22:52:11Z
106,23,9,93.0,resale,2026-04-12T22:52:11Z
108,26,1,87.19,resale,2026-04-12T22:52:11Z
108,26,2,87.19,resale,2026-04-12T22:52:11Z
111,20,12,180.19,resale,2026-04-12T22:52:11Z
111,20,13,180.19,resale,2026-04-12T22:52:11Z
112,10,17,232.5,resale,2026-04-12T22:52:11Z
112,10,18,232.5,resale,2026-04-12T22:52:11Z
112,10,19,232.5,resale,2026-04-12T22:52:11Z
112,10,20,232.5,resale,2026-04-12T22:52:11Z
112,7,19,232.5,resale,2026-04-12T22:52:11Z
112,7,20,232.5,resale,2026-04-12T22:52:11Z
113,9,11,225.53,resale,2026-04-12T22:52:11Z
113,9,12,225.53,resale,2026-04-12T22:52:11Z
115,AA,1,145.31,resale,2026-04-12T22:52:11Z
115,AA,2,145.31,resale,2026-04-12T22:52:11Z
116,17,17,69.75,resale,2026-04-12T22:52:11Z
116,17,18,69.75,resale,2026-04-12T22:52:11Z
118A,1,5,69.75,resale,2026-04-12T22:52:11Z
118A,1,6,69.75,resale,2026-04-12T22:52:11Z
119A,1,1,145.31,resale,2026-04-12T22:52:11Z
119A,1,2,145.31,resale,2026-04-12T22:52:11Z
119A,1,3,145.31,resale,2026-04-12T22:52:11Z
119A,1,4,145.31,resale,2026-04-12T22:52:11Z
120,4,9,116.35,standard,2026-04-12T22:52:11Z
120,4,10,116.35,standard,2026-04-12T22:52:11Z
121A,2,15,98.81,resale,2026-04-12T22:52:11Z
121A,2,16,98.81,resale,2026-04-12T22:52:11Z
122,21,11,20.0,resale,2026-04-12T22:52:11Z
122,21,12,20.0,resale,2026-04-12T22:52:11Z
123,8,9,174.05,standard,2026-04-12T22:52:11Z
123,8,10,174.05,standard,2026-04-12T22:52:11Z
124,19,10,350.6,standard,2026-04-12T22:52:11Z
124,19,9,350.6,standard,2026-04-12T22:52:11Z
201,8,5,80.55,standard,2026-04-12T22:52:11Z
201,8,6,80.55,standard,2026-04-12T22:52:11Z
202,9,17,38.36,resale,2026-04-12T22:52:11Z
202,9,18,38.36,resale,2026-04-12T22:52:11Z
