offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMBSGMYTKNJRGM4XYMJXMYZWEYRXHE4TK,101,2,273.7,resale,2026-03-29T22:52:20Z
GN6DCMJRHE3TGMJTGAYXYMJXMY2DCOJXMRSTK,101,2,220.15,resale,2026-03-29T22:52:20Z
GN6DCMJUHA4DSMBWGYYHYMJXMY2DENRZGQYDK,101,2,238.0,resale,2026-03-29T22:52:20Z
GN6DCMJVGM4DAMRRG4YXYMJXMYZWEYTBGA3TK,101,2,249.9,resale,2026-03-29T22:52:20Z
GN6DCMBZGEZTMNJQGI4HYMJXMYZWEYZXGIYDK,101,4,374.85,resale,2026-03-29T22:52:20Z
GN6DCMJVGUYDAOBSGA4XYMJXMY2DANLBHBSTK,101,3,232.05,resale,2026-03-29T22:52:20Z
GN6DCMJVGM3DINRZGM4HYMJXMY2DANDDG5SDK,101,2,202.3,resale,2026-03-29T22:52:20Z
GJ6DC7BUHE,101,7,251.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGUYDCNRVHE4HYMJXMY2DAZBWHE2DK,101,1,267.75,resale,2026-03-29T22:52:20Z
GJ6DC7BVGA,101,23,206.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGUYDMOJWGQZXYMJXMY2DGYZWGU2TK,101,2,119.0,resale,2026-03-29T22:52:20Z
GN6DCMJVGUYDAOBVGA3XYMJXMY2DANJZG4YTK,102,4,249.9,resale,2026-03-29T22:52:20Z
GN6DSOJVGAZTOOJYGJ6DCN3GGNRGGOJZGA2Q,102,2,249.9,resale,2026-03-29T22:52:20Z
GN6DCMBSGMYTKNRVGEZHYMJXMYZWEY3CGE4DK,102,3,249.9,resale,2026-03-29T22:52:20Z
GN6DCMJVGQYTQNJWGMZHYMJXMY2DCODGGE2DK,102,2,208.25,resale,2026-03-29T22:52:20Z
GN6DCMJVGQZTOMZZGIZXYMJXMY2DGZDEGE3TK,102,2,178.5,resale,2026-03-29T22:52:20Z
GJ6DC7BVGA,102,28,206.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGM4DKOJSGI4XYMJXMY2DANDEGI2TK,102,1,238.0,resale,2026-03-29T22:52:20Z
GJ6DC7BVGE,102,26,158.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGE,103,7,158.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGI,103,29,142.0,standard,2026-03-29T22:52:20Z
GN6DCMJUGE3TANZVGMZHYMJXMVSWCMTFGEZDK,103,2,142.8,resale,2026-03-29T22:52:20Z
GJ6DC7BVGQ,103,37,111.0,standard,2026-03-29T22:52:20Z
GN6DCMJUGAYTCOBZHA3HYMJXMU3WGNLGMQ3TK,103,4,148.75,resale,2026-03-29T22:52:20Z
GN6DCMJVGUYDGNRVGU3XYMJXMY2DCZRSMJSTK,103,2,83.3,resale,2026-03-29T22:52:20Z
GN6DCMBZGEZDQNZVGQ4XYMJXMY2DIMLEMQ4DK,104,2,30.0,resale,2026-03-29T22:52:20Z
GJ6DC7BVGU,104,13,100.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4DIOJRGU3HYMJXMYZWMYTBGIYDK,104,3,77.35,resale,2026-03-29T22:52:20Z
GN6DCMJUGU3TQMRXGUYHYMJXMU3WGNLDGA3TK,104,2,101.15,resale,2026-03-29T22:52:20Z
GJ6DC7BVGU,105,9,100.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGY,105,17,91.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGI,105,1,142.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGM,105,14,140.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TEMRTGAZXYMJXMYZWCOLBMM2DK,105,2,113.05,resale,2026-03-29T22:52:20Z
GJ6DC7BVGY,105,1,91.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGU,106,14,100.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TGMZUGA4HYMJXMY2DEMLGGNSDK,106,2,77.35,resale,2026-03-29T22:52:20Z
GJ6DC7BXGU,106,2,495.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGY,106,11,91.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGM,106,10,140.0,standard,2026-03-29T22:52:20Z
GN6DSOJUGU2DMMJWGJ6DCN3GGNRTGMBSGQ2Q,106,2,91.63,resale,2026-03-29T22:52:20Z
GN6DCMJTGE4TINBSGI2HYMJXMVRTAZBXMNSDK,106,2,98.77,resale,2026-03-29T22:52:20Z
GN6DCMJVGQ4DAOJTG4ZHYMJXMY2DGYZRMNTDK,106,1,79.73,resale,2026-03-29T22:52:20Z
GJ6DC7BVGU,107,17,100.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TENJUGUZXYMJXMY2DANBWHA3DK,107,2,311.78,resale,2026-03-29T22:52:20Z
GJ6DC7BXGU,107,2,495.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGY,107,12,91.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGM,107,4,140.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQZTGOJVGU3HYMJXMY2DCYRTMI3DK,107,2,59.5,resale,2026-03-29T22:52:20Z
GN6DCMJVGQ4TKNJQHAZXYMJXMY2DIZLFMUYDK,107,2,41.65,resale,2026-03-29T22:52:20Z
GN6DCMJVGM4DEMJTHAZHYMJXMY2DCYLCMRSDK,108,2,53.55,resale,2026-03-29T22:52:20Z
GJ6DC7BVGU,108,18,100.0,standard,2026-03-29T22:52:20Z
GN6DCMBRGIYDOMJVGAYHYMJXMY2DGYZYGIZDK,108,2,30.0,resale,2026-03-29T22:52:20Z
GJ6DC7BVGI,108,3,142.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGY,108,23,91.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGM,108,20,140.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGY,108,2,91.0,standard,2026-03-29T22:52:20Z
GN6DCMJTGY2TOMZSHA4HYMJXMYZWGMTGGNTDK,109,2,89.25,resale,2026-03-29T22:52:20Z
GJ6DC7BVGU,109,8,100.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGE,110,2,158.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGI,110,24,142.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGQ,110,24,111.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGM3DKMRVGA3XYMJXMY2DAMRXGY4DK,111,2,833.0,resale,2026-03-29T22:52:20Z
GJ6DC7BUHA,111,15,289.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGA,111,15,206.0,standard,2026-03-29T22:52:20Z
GJ6DC7BXGY,111,2,425.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TCMZUGA4HYMJXMYZTSZLGGA4TK,111,2,202.3,resale,2026-03-29T22:52:20Z
GJ6DC7BVGE,111,19,158.0,standard,2026-03-29T22:52:20Z
GN6DCMJSGMYDINJTHAYHYMJXMU3WGNJXMUZDK,112,2,535.5,resale,2026-03-29T22:52:20Z
GN6DCMJSGM4TINBWGEYHYMJXMU3WGNJUMVSTK,112,2,1785.0,resale,2026-03-29T22:52:20Z
GN6DCMJSGIZDKMJVGIZXYMJXMYZWEY3GMQ3DK,112,4,249.9,resale,2026-03-29T22:52:20Z
GN6DCMJVGM4DANBVHEYXYMJXMYZWEZBYGY4DK,112,2,249.9,resale,2026-03-29T22:52:20Z
GJ6DC7BUHA,112,2,289.0,standard,2026-03-29T22:52:20Z
GN6DCMJRGQ3TMMJRHA4XYMJXMVQTGNRQGZRDK,112,2,297.5,resale,2026-03-29T22:52:20Z
GN6DCMJVGQ4TMNZXGU4HYMJXMYZWIZBXGYYTK,112,2,470.05,resale,2026-03-29T22:52:20Z
GJ6DC7BUHE,112,33,251.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TIMBWGY3XYMJXMYZWEYZZMFSDK,112,2,178.5,resale,2026-03-29T22:52:20Z
GJ6DC7BVGA,112,18,206.0,standard,2026-03-29T22:52:20Z
GJ6DC7BUHA,113,11,289.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TCNBQGIYXYMJXMY2DGMZZG44TK,113,2,117.81,resale,2026-03-29T22:52:20Z
GJ6DC7BVGA,113,10,206.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TSMBZHEZHYMJXMYZWMNZRGMYDK,113,2,183.26,resale,2026-03-29T22:52:20Z
GN6DCMJVGUYDGNBZGU4HYMJXMY2DIMZQGMZTK,113,2,41.65,resale,2026-03-29T22:52:20Z
GJ6DC7BVGE,113,8,158.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGE,114,4,158.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGI,114,33,142.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGUYDAMZXGE3HYMJXMY2DAMLDGI2DK,114,2,95.2,resale,2026-03-29T22:52:20Z
GJ6DC7BVGQ,114,37,111.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGQ4TSNZRGQ2HYMJXMY2DGZJUMJRTK,115,2,47.6,resale,2026-03-29T22:52:20Z
GN6DCMJUHAZTOOBSGA2HYMJXMY2DEMZXGQ2DK,115,2,101.15,resale,2026-03-29T22:52:20Z
GJ6DC7BVGU,115,9,100.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGU,116,5,100.0,standard,2026-03-29T22:52:20Z
GN6DCMJVGM2TQMBXGMYXYMJXMVSWKNBRHA4TK,116,2,83.3,resale,2026-03-29T22:52:20Z
GJ6DC7BVGY,116,30,91.0,standard,2026-03-29T22:52:20Z
GN6DCMJUGY4DENJWGEYXYMJXMU3WGNRQMRSDK,116,1,142.8,resale,2026-03-29T22:52:20Z
GN6DCMJVGUYDGNZZGEZXYMJXMY2DEMBWGA4TK,116,1,77.35,resale,2026-03-29T22:52:20Z
GJ6DC7BVGM,116,19,140.0,standard,2026-03-29T22:52:20Z
GJ6DC7BVGY,116,1,91.0,standard,2026-03-29T22:52:20Z
