section,row,seat,price_usd,selection_type,scraped_at
122,DD,11,245.0,standard,2026-04-11T02:52:12Z
122,DD,12,245.0,standard,2026-04-11T02:52:12Z
308WC,C,5,46.0,resale,2026-04-11T02:52:12Z
308WC,C,6,46.0,resale,2026-04-11T02:52:12Z
310,C,1,50.6,resale,2026-04-11T02:52:12Z
310,C,2,50.6,resale,2026-04-11T02:52:12Z
312,L,6,36.8,resale,2026-04-11T02:52:12Z
312,L,7,36.8,resale,2026-04-11T02:52:12Z
312,L,8,36.8,resale,2026-04-11T02:52:12Z
312,L,9,36.8,resale,2026-04-11T02:52:12Z
312,L,14,36.8,resale,2026-04-11T02:52:12Z
312,L,15,36.8,resale,2026-04-11T02:52:12Z
328,J,5,32.0,standard,2026-04-11T02:52:12Z
328,J,6,32.0,standard,2026-04-11T02:52:12Z
329,N,1,36.8,resale,2026-04-11T02:52:12Z
329,N,2,36.8,resale,2026-04-11T02:52:12Z
