section,row,seat,price_usd,selection_type,scraped_at
101,C,13,110.4,resale,2026-04-13T01:22:14Z
101,C,14,110.4,resale,2026-04-13T01:22:14Z
101,D,17,110.4,resale,2026-04-13T01:22:14Z
101,D,18,110.4,resale,2026-04-13T01:22:14Z
102,A,4,155.0,standard,2026-04-13T01:22:14Z
102,A,3,155.0,standard,2026-04-13T01:22:14Z
102,D,4,155.0,standard,2026-04-13T01:22:14Z
102,D,5,155.0,standard,2026-04-13T01:22:14Z
102,D,6,155.0,standard,2026-04-13T01:22:14Z
102,D,7,155.0,standard,2026-04-13T01:22:14Z
102,D,8,155.0,standard,2026-04-13T01:22:14Z
102,L,15,155.0,standard,2026-04-13T01:22:14Z
102,L,16,155.0,standard,2026-04-13T01:22:14Z
103,L,4,112.7,resale,2026-04-13T01:22:14Z
103,L,3,112.7,resale,2026-04-13T01:22:14Z
111,K,15,115.0,resale,2026-04-13T01:22:14Z
111,K,16,115.0,resale,2026-04-13T01:22:14Z
112,L,7,201.0,standard,2026-04-13T01:22:14Z
112,L,8,201.0,standard,2026-04-13T01:22:14Z
112,L,13,201.0,standard,2026-04-13T01:22:14Z
112,L,14,201.0,standard,2026-04-13T01:22:14Z
112,O,19,201.0,standard,2026-04-13T01:22:14Z
112,O,20,201.0,standard,2026-04-13T01:22:14Z
113,H,9,110.4,resale,2026-04-13T01:22:14Z
113,H,10,110.4,resale,2026-04-13T01:22:14Z
117,AA,11,87.5,standard,2026-04-13T01:22:14Z
117,AA,12,87.5,standard,2026-04-13T01:22:14Z
119,JJ,3,87.5,standard,2026-04-13T01:22:14Z
119,JJ,4,87.5,standard,2026-04-13T01:22:14Z
122,C,11,287.5,resale,2026-04-13T01:22:14Z
122,C,12,287.5,resale,2026-04-13T01:22:14Z
122,CC,11,287.5,resale,2026-04-13T01:22:14Z
122,CC,12,287.5,resale,2026-04-13T01:22:14Z
122,CC,13,287.5,resale,2026-04-13T01:22:14Z
122,CC,14,287.5,resale,2026-04-13T01:22:14Z
201,J,9,97.75,resale,2026-04-13T01:22:14Z
201,J,10,97.75,resale,2026-04-13T01:22:14Z
212,M,1,77.5,standard,2026-04-13T01:22:14Z
212,M,2,77.5,standard,2026-04-13T01:22:14Z
214,J,7,60.95,resale,2026-04-13T01:22:14Z
214,J,8,60.95,resale,2026-04-13T01:22:14Z
214,L,4,60.95,resale,2026-04-13T01:22:14Z
214,L,1,60.95,resale,2026-04-13T01:22:14Z
214,L,2,60.95,resale,2026-04-13T01:22:14Z
214,L,3,60.95,resale,2026-04-13T01:22:14Z
217,E,7,172.5,resale,2026-04-13T01:22:14Z
217,E,8,172.5,resale,2026-04-13T01:22:14Z
219,H,7,60.95,resale,2026-04-13T01:22:14Z
219,H,8,60.95,resale,2026-04-13T01:22:14Z
221,E,5,71.3,resale,2026-04-13T01:22:14Z
221,E,6,71.3,resale,2026-04-13T01:22:14Z
221,J,1,71.3,resale,2026-04-13T01:22:14Z
221,J,2,71.3,resale,2026-04-13T01:22:14Z
222,A,6,34.5,resale,2026-04-13T01:22:14Z
222,A,7,34.5,resale,2026-04-13T01:22:14Z
222,D,5,34.5,resale,2026-04-13T01:22:14Z
222,D,6,34.5,resale,2026-04-13T01:22:14Z
222,G,11,34.5,resale,2026-04-13T01:22:14Z
222,G,12,34.5,resale,2026-04-13T01:22:14Z
225,K,8,67.85,resale,2026-04-13T01:22:14Z
225,K,9,67.85,resale,2026-04-13T01:22:14Z
225,K,10,67.85,resale,2026-04-13T01:22:14Z
225,K,11,67.85,resale,2026-04-13T01:22:14Z
226,K,12,67.85,resale,2026-04-13T01:22:14Z
226,K,13,67.85,resale,2026-04-13T01:22:14Z
226,K,14,67.85,resale,2026-04-13T01:22:14Z
226,K,15,67.85,resale,2026-04-13T01:22:14Z
227,O,1,82.8,resale,2026-04-13T01:22:14Z
227,O,2,82.8,resale,2026-04-13T01:22:14Z
302,E,9,31.05,resale,2026-04-13T01:22:14Z
302,E,10,31.05,resale,2026-04-13T01:22:14Z
303,H,17,14.0,standard,2026-04-13T01:22:14Z
303,H,18,14.0,standard,2026-04-13T01:22:14Z
304,L,1,14.0,standard,2026-04-13T01:22:14Z
304,L,2,14.0,standard,2026-04-13T01:22:14Z
305,H,17,19.55,resale,2026-04-13T01:22:14Z
305,H,18,19.55,resale,2026-04-13T01:22:14Z
305,N,4,19.55,resale,2026-04-13T01:22:14Z
305,N,5,19.55,resale,2026-04-13T01:22:14Z
305,N,6,19.55,resale,2026-04-13T01:22:14Z
305,N,7,19.55,resale,2026-04-13T01:22:14Z
305,N,8,19.55,resale,2026-04-13T01:22:14Z
305,N,9,19.55,resale,2026-04-13T01:22:14Z
305,N,1,19.55,resale,2026-04-13T01:22:14Z
305,N,2,19.55,resale,2026-04-13T01:22:14Z
305,N,3,19.55,resale,2026-04-13T01:22:14Z
306,K,4,14.0,standard,2026-04-13T01:22:14Z
306,K,5,14.0,standard,2026-04-13T01:22:14Z
306,K,6,14.0,standard,2026-04-13T01:22:14Z
306,K,7,14.0,standard,2026-04-13T01:22:14Z
306,K,8,14.0,standard,2026-04-13T01:22:14Z
306,K,9,14.0,standard,2026-04-13T01:22:14Z
306,K,1,14.0,standard,2026-04-13T01:22:14Z
306,K,10,14.0,standard,2026-04-13T01:22:14Z
306,K,2,14.0,standard,2026-04-13T01:22:14Z
306,K,3,14.0,standard,2026-04-13T01:22:14Z
307,K,7,18.4,resale,2026-04-13T01:22:14Z
307,K,8,18.4,resale,2026-04-13T01:22:14Z
307,K,9,18.4,resale,2026-04-13T01:22:14Z
307,K,10,18.4,resale,2026-04-13T01:22:14Z
307,K,11,18.4,resale,2026-04-13T01:22:14Z
307,K,12,18.4,resale,2026-04-13T01:22:14Z
307,K,13,18.4,resale,2026-04-13T01:22:14Z
308,K,10,14.0,standard,2026-04-13T01:22:14Z
308,K,11,14.0,standard,2026-04-13T01:22:14Z
309,F,1,14.0,standard,2026-04-13T01:22:14Z
309,F,2,14.0,standard,2026-04-13T01:22:14Z
309,SRO,4,14.0,standard,2026-04-13T01:22:14Z
309,SRO,5,14.0,standard,2026-04-13T01:22:14Z
311,H,1,14.0,standard,2026-04-13T01:22:14Z
311,H,2,14.0,standard,2026-04-13T01:22:14Z
312,L,4,14.0,standard,2026-04-13T01:22:14Z
312,L,5,14.0,standard,2026-04-13T01:22:14Z
312,L,6,14.0,standard,2026-04-13T01:22:14Z
