section,row,seat,price_usd,selection_type,scraped_at
101,11,10,42.39,standard,2026-04-04T00:52:22Z
101,11,9,42.39,standard,2026-04-04T00:52:22Z
101,5,5,42.39,standard,2026-04-04T00:52:22Z
101,5,6,42.39,standard,2026-04-04T00:52:22Z
101,5,7,42.39,standard,2026-04-04T00:52:22Z
101,5,8,42.39,standard,2026-04-04T00:52:22Z
102,20,15,42.39,standard,2026-04-04T00:52:22Z
102,20,16,42.39,standard,2026-04-04T00:52:22Z
102,21,19,42.39,standard,2026-04-04T00:52:22Z
102,21,20,42.39,standard,2026-04-04T00:52:22Z
102,22,7,42.39,standard,2026-04-04T00:52:22Z
102,22,8,42.39,standard,2026-04-04T00:52:22Z
102,7,11,42.39,standard,2026-04-04T00:52:22Z
102,7,12,42.39,standard,2026-04-04T00:52:22Z
103,20,1,49.08,standard,2026-04-04T00:52:22Z
103,20,2,49.08,standard,2026-04-04T00:52:22Z
104,17,15,30.25,resale,2026-04-04T00:52:22Z
104,17,16,30.25,resale,2026-04-04T00:52:22Z
104,16,3,30.25,resale,2026-04-04T00:52:22Z
104,16,4,30.25,resale,2026-04-04T00:52:22Z
104,23,19,30.25,resale,2026-04-04T00:52:22Z
104,23,20,30.25,resale,2026-04-04T00:52:22Z
104,24,21,30.25,resale,2026-04-04T00:52:22Z
104,24,22,30.25,resale,2026-04-04T00:52:22Z
104,25,10,30.25,resale,2026-04-04T00:52:22Z
104,25,9,30.25,resale,2026-04-04T00:52:22Z
105,20,3,97.97,standard,2026-04-04T00:52:22Z
105,20,4,97.97,standard,2026-04-04T00:52:22Z
105,22,5,97.97,standard,2026-04-04T00:52:22Z
105,22,6,97.97,standard,2026-04-04T00:52:22Z
106,17,17,106.86,standard,2026-04-04T00:52:22Z
106,17,18,106.86,standard,2026-04-04T00:52:22Z
106,16,5,106.86,standard,2026-04-04T00:52:22Z
106,16,6,106.86,standard,2026-04-04T00:52:22Z
106,21,12,106.86,standard,2026-04-04T00:52:22Z
106,21,13,106.86,standard,2026-04-04T00:52:22Z
106,9,13,106.86,standard,2026-04-04T00:52:22Z
106,9,14,106.86,standard,2026-04-04T00:52:22Z
106,9,15,106.86,standard,2026-04-04T00:52:22Z
106,9,16,106.86,standard,2026-04-04T00:52:22Z
106BMO,DDD,5,1028.5,resale,2026-04-04T00:52:22Z
106BMO,DDD,6,1028.5,resale,2026-04-04T00:52:22Z
107,20,5,97.97,standard,2026-04-04T00:52:22Z
107,20,6,97.97,standard,2026-04-04T00:52:22Z
107BMO,DDD,5,550.55,resale,2026-04-04T00:52:22Z
107BMO,DDD,6,550.55,resale,2026-04-04T00:52:22Z
108,13,1,52.64,resale,2026-04-04T00:52:22Z
108,13,2,52.64,resale,2026-04-04T00:52:22Z
108,14,1,52.64,resale,2026-04-04T00:52:22Z
108,14,2,52.64,resale,2026-04-04T00:52:22Z
108,18,5,52.64,resale,2026-04-04T00:52:22Z
108,18,6,52.64,resale,2026-04-04T00:52:22Z
108,22,10,52.64,resale,2026-04-04T00:52:22Z
108,22,9,52.64,resale,2026-04-04T00:52:22Z
108,23,23,52.64,resale,2026-04-04T00:52:22Z
108,23,24,52.64,resale,2026-04-04T00:52:22Z
109,12,1,39.93,resale,2026-04-04T00:52:22Z
109,12,2,39.93,resale,2026-04-04T00:52:22Z
109,19,13,39.93,resale,2026-04-04T00:52:22Z
109,19,14,39.93,resale,2026-04-04T00:52:22Z
109,25,15,39.93,resale,2026-04-04T00:52:22Z
109,25,16,39.93,resale,2026-04-04T00:52:22Z
109,26,20,39.93,resale,2026-04-04T00:52:22Z
109,26,21,39.93,resale,2026-04-04T00:52:22Z
110,20,11,25.0,resale,2026-04-04T00:52:22Z
110,20,12,25.0,resale,2026-04-04T00:52:22Z
110,21,3,25.0,resale,2026-04-04T00:52:22Z
110,21,4,25.0,resale,2026-04-04T00:52:22Z
110,28,10,25.0,resale,2026-04-04T00:52:22Z
110,28,5,25.0,resale,2026-04-04T00:52:22Z
110,28,6,25.0,resale,2026-04-04T00:52:22Z
110,28,7,25.0,resale,2026-04-04T00:52:22Z
110,28,8,25.0,resale,2026-04-04T00:52:22Z
110,28,9,25.0,resale,2026-04-04T00:52:22Z
111,2,25,151.25,resale,2026-04-04T00:52:22Z
111,2,26,151.25,resale,2026-04-04T00:52:22Z
111,5,12,151.25,resale,2026-04-04T00:52:22Z
111,5,13,151.25,resale,2026-04-04T00:52:22Z
112,18,1,47.95,standard,2026-04-04T00:52:22Z
112,18,2,47.95,standard,2026-04-04T00:52:22Z
112,20,17,47.95,standard,2026-04-04T00:52:22Z
112,20,18,47.95,standard,2026-04-04T00:52:22Z
112,6,1,47.95,standard,2026-04-04T00:52:22Z
112,6,2,47.95,standard,2026-04-04T00:52:22Z
113,18,1,47.95,standard,2026-04-04T00:52:22Z
113,18,2,47.95,standard,2026-04-04T00:52:22Z
113,27,25,47.95,standard,2026-04-04T00:52:22Z
113,27,26,47.95,standard,2026-04-04T00:52:22Z
113,33,13,47.95,standard,2026-04-04T00:52:22Z
113,33,14,47.95,standard,2026-04-04T00:52:22Z
113,8,11,47.95,standard,2026-04-04T00:52:22Z
113,8,12,47.95,standard,2026-04-04T00:52:22Z
114,13,11,22.0,resale,2026-04-04T00:52:22Z
114,13,12,22.0,resale,2026-04-04T00:52:22Z
114,18,17,22.0,resale,2026-04-04T00:52:22Z
114,18,18,22.0,resale,2026-04-04T00:52:22Z
115-RL,RL,4,90.75,resale,2026-04-04T00:52:22Z
115-RL,RL,5,90.75,resale,2026-04-04T00:52:22Z
115,11,1,70.72,standard,2026-04-04T00:52:22Z
115,11,2,70.72,standard,2026-04-04T00:52:22Z
116-MZ,4,7,36.3,resale,2026-04-04T00:52:22Z
116-MZ,4,8,36.3,resale,2026-04-04T00:52:22Z
116,10,11,96.8,resale,2026-04-04T00:52:22Z
116,10,12,96.8,resale,2026-04-04T00:52:22Z
