section,row,seat,price_usd,selection_type,scraped_at
101,9,1,307.5,resale,2026-04-02T00:52:19Z
101,9,2,307.5,resale,2026-04-02T00:52:19Z
102,13,13,200.48,standard,2026-04-02T00:52:19Z
102,13,14,200.48,standard,2026-04-02T00:52:19Z
103,15,10,170.97,resale,2026-04-02T00:52:19Z
103,15,9,170.97,resale,2026-04-02T00:52:19Z
106,18,3,146.37,resale,2026-04-02T00:52:19Z
106,18,4,146.37,resale,2026-04-02T00:52:19Z
110,6,13,88.56,resale,2026-04-02T00:52:19Z
110,6,14,88.56,resale,2026-04-02T00:52:19Z
111,14,7,209.1,resale,2026-04-02T00:52:19Z
111,14,8,209.1,resale,2026-04-02T00:52:19Z
111,5,5,209.1,resale,2026-04-02T00:52:19Z
111,5,6,209.1,resale,2026-04-02T00:52:19Z
112,12,11,184.5,resale,2026-04-02T00:52:19Z
112,12,12,184.5,resale,2026-04-02T00:52:19Z
113,19,1,184.5,resale,2026-04-02T00:52:19Z
113,19,2,184.5,resale,2026-04-02T00:52:19Z
113,7,4,184.5,resale,2026-04-02T00:52:19Z
113,7,3,184.5,resale,2026-04-02T00:52:19Z
114,10,1,152.52,resale,2026-04-02T00:52:19Z
114,10,2,152.52,resale,2026-04-02T00:52:19Z
114,15,10,152.52,resale,2026-04-02T00:52:19Z
114,15,11,152.52,resale,2026-04-02T00:52:19Z
118,19,25,135.3,resale,2026-04-02T00:52:19Z
118,19,26,135.3,resale,2026-04-02T00:52:19Z
118,H,1,135.3,resale,2026-04-02T00:52:19Z
118,H,2,135.3,resale,2026-04-02T00:52:19Z
118,K,1,135.3,resale,2026-04-02T00:52:19Z
118,K,2,135.3,resale,2026-04-02T00:52:19Z
121,17,13,49.2,resale,2026-04-02T00:52:19Z
121,17,14,49.2,resale,2026-04-02T00:52:19Z
121,18,10,49.2,resale,2026-04-02T00:52:19Z
121,18,9,49.2,resale,2026-04-02T00:52:19Z
121,6,9,49.2,resale,2026-04-02T00:52:19Z
121,6,10,49.2,resale,2026-04-02T00:52:19Z
121,8,19,49.2,resale,2026-04-02T00:52:19Z
121,8,20,49.2,resale,2026-04-02T00:52:19Z
122,16,3,147.6,resale,2026-04-02T00:52:19Z
122,16,4,147.6,resale,2026-04-02T00:52:19Z
122,A,9,147.6,resale,2026-04-02T00:52:19Z
122,A,10,147.6,resale,2026-04-02T00:52:19Z
202,5,4,167.28,resale,2026-04-02T00:52:19Z
202,5,3,167.28,resale,2026-04-02T00:52:19Z
202,7,4,167.28,resale,2026-04-02T00:52:19Z
202,7,3,167.28,resale,2026-04-02T00:52:19Z
207,8,1,123.0,resale,2026-04-02T00:52:19Z
207,8,2,123.0,resale,2026-04-02T00:52:19Z
212,3,4,61.5,resale,2026-04-02T00:52:19Z
212,3,3,61.5,resale,2026-04-02T00:52:19Z
216,1,17,92.25,resale,2026-04-02T00:52:19Z
216,1,18,92.25,resale,2026-04-02T00:52:19Z
216,2,17,92.25,resale,2026-04-02T00:52:19Z
216,2,18,92.25,resale,2026-04-02T00:52:19Z
216,4,13,92.25,resale,2026-04-02T00:52:19Z
216,4,14,92.25,resale,2026-04-02T00:52:19Z
222,3,9,118.08,resale,2026-04-02T00:52:19Z
222,3,10,118.08,resale,2026-04-02T00:52:19Z
226,5,9,93.48,resale,2026-04-02T00:52:19Z
226,5,10,93.48,resale,2026-04-02T00:52:19Z
226,7,9,93.48,resale,2026-04-02T00:52:19Z
226,7,10,93.48,resale,2026-04-02T00:52:19Z
231,1,1,97.17,resale,2026-04-02T00:52:19Z
231,1,11,97.17,resale,2026-04-02T00:52:19Z
231,1,12,97.17,resale,2026-04-02T00:52:19Z
231,1,2,97.17,resale,2026-04-02T00:52:19Z
231,2,5,97.17,resale,2026-04-02T00:52:19Z
231,2,6,97.17,resale,2026-04-02T00:52:19Z
301,9,19,88.56,resale,2026-04-02T00:52:19Z
301,9,20,88.56,resale,2026-04-02T00:52:19Z
303,2,10,54.88,standard,2026-04-02T00:52:19Z
303,2,11,54.88,standard,2026-04-02T00:52:19Z
315,1,1,54.88,standard,2026-04-02T00:52:19Z
315,1,2,54.88,standard,2026-04-02T00:52:19Z
315,2,13,54.88,standard,2026-04-02T00:52:19Z
315,2,14,54.88,standard,2026-04-02T00:52:19Z
317,10,1,79.95,resale,2026-04-02T00:52:19Z
317,10,2,79.95,resale,2026-04-02T00:52:19Z
323,17,1,50.4,standard,2026-04-02T00:52:19Z
323,17,2,50.4,standard,2026-04-02T00:52:19Z
330,5,5,50.4,standard,2026-04-02T00:52:19Z
330,5,6,50.4,standard,2026-04-02T00:52:19Z
330,5,7,50.4,standard,2026-04-02T00:52:19Z
330,5,8,50.4,standard,2026-04-02T00:52:19Z
330,5,9,50.4,standard,2026-04-02T00:52:19Z
334,8,9,81.18,resale,2026-04-02T00:52:19Z
334,8,10,81.18,resale,2026-04-02T00:52:19Z
