section,row,seat,price_usd,selection_type,scraped_at
9,1,13,709.06,resale,2026-04-20T22:01:41Z
9,1,14,709.06,resale,2026-04-20T22:01:41Z
213,4,8,39.93,resale,2026-04-20T22:01:41Z
213,4,9,39.93,resale,2026-04-20T22:01:41Z
213,16,9,39.93,resale,2026-04-20T22:01:41Z
213,16,10,39.93,resale,2026-04-20T22:01:41Z
213,16,11,39.93,resale,2026-04-20T22:01:41Z
213,16,12,39.93,resale,2026-04-20T22:01:41Z
213,16,2,39.93,resale,2026-04-20T22:01:41Z
213,16,3,39.93,resale,2026-04-20T22:01:41Z
213,16,4,39.93,resale,2026-04-20T22:01:41Z
213,15,15,39.93,resale,2026-04-20T22:01:41Z
213,15,16,39.93,resale,2026-04-20T22:01:41Z
213,15,17,39.93,resale,2026-04-20T22:01:41Z
213,15,18,39.93,resale,2026-04-20T22:01:41Z
213,15,10,39.93,resale,2026-04-20T22:01:41Z
213,15,9,39.93,resale,2026-04-20T22:01:41Z
213,14,11,39.93,resale,2026-04-20T22:01:41Z
213,14,12,39.93,resale,2026-04-20T22:01:41Z
213,14,13,39.93,resale,2026-04-20T22:01:41Z
213,14,14,39.93,resale,2026-04-20T22:01:41Z
213,14,5,39.93,resale,2026-04-20T22:01:41Z
213,14,6,39.93,resale,2026-04-20T22:01:41Z
212,5,7,39.93,resale,2026-04-20T22:01:41Z
212,5,8,39.93,resale,2026-04-20T22:01:41Z
212,2,10,39.93,resale,2026-04-20T22:01:41Z
212,2,11,39.93,resale,2026-04-20T22:01:41Z
212,15,13,39.93,resale,2026-04-20T22:01:41Z
212,15,14,39.93,resale,2026-04-20T22:01:41Z
215,4,5,37.51,resale,2026-04-20T22:01:41Z
215,4,6,37.51,resale,2026-04-20T22:01:41Z
215,8,12,37.51,resale,2026-04-20T22:01:41Z
215,8,13,37.51,resale,2026-04-20T22:01:41Z
215,6,4,37.51,resale,2026-04-20T22:01:41Z
215,6,5,37.51,resale,2026-04-20T22:01:41Z
215,9,5,37.51,resale,2026-04-20T22:01:41Z
215,9,6,37.51,resale,2026-04-20T22:01:41Z
215,11,18,37.51,resale,2026-04-20T22:01:41Z
215,11,19,37.51,resale,2026-04-20T22:01:41Z
215,14,17,37.51,resale,2026-04-20T22:01:41Z
215,14,18,37.51,resale,2026-04-20T22:01:41Z
215,16,17,37.51,resale,2026-04-20T22:01:41Z
215,16,18,37.51,resale,2026-04-20T22:01:41Z
215,5,9,37.51,resale,2026-04-20T22:01:41Z
215,5,10,37.51,resale,2026-04-20T22:01:41Z
216,6,7,53.24,resale,2026-04-20T22:01:41Z
216,6,8,53.24,resale,2026-04-20T22:01:41Z
204,9,12,48.4,resale,2026-04-20T22:01:41Z
204,9,13,48.4,resale,2026-04-20T22:01:41Z
204,5,9,48.4,resale,2026-04-20T22:01:41Z
204,5,10,48.4,resale,2026-04-20T22:01:41Z
204,2,7,48.4,resale,2026-04-20T22:01:41Z
204,2,8,48.4,resale,2026-04-20T22:01:41Z
C122,3,5,154.88,resale,2026-04-20T22:01:41Z
