offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUGY4TKNZVGU2XYMJXMU2TKOJWGRRTK,CLUB10,2,184.5,resale,2026-03-26T03:22:28Z
GJ6DC7BVGU,CLUB10,2,157.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVGY,CLUB10,4,142.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVGQ,CLUB10,1,239.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVGU,CLUB24,1,157.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEYDEOBZHE3HYMJXMU4GKMDFGA2TK,CLUB24,2,118.08,resale,2026-03-26T03:22:28Z
GN6DCMJVGEYTQNZQHEZHYMJXMU4TAOBWGY3DK,CLUB24,2,113.16,resale,2026-03-26T03:22:28Z
GJ6DC7BVGY,CLUB24,9,142.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVGQ,CLUB24,1,239.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEYDCNZQGI3HYMJXMU4TANBUGM2DK,CLUB25,2,183.27,resale,2026-03-26T03:22:28Z
GJ6DC7BVGQ,CLUB25,2,239.0,standard,2026-03-26T03:22:28Z
GJ6DC7BUHE,CLUB25,1,299.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVGY,CLUB26,3,142.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVHA,CLUB30,3,149.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEYDQMRWGIZXYMJXMU4GMNZTMM4TK,CLUB30,2,94.71,resale,2026-03-26T03:22:28Z
GJ6DC7BVG4,CLUB30,1,187.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVHA,CLUB4,7,149.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVG4,CLUB4,4,187.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVG4,CLUB6,2,187.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVG4,CLUB6,2,187.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVGU,CLUB8,4,157.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGA4TQOBWGQZHYMJXMU4TAMBRME2DK,CLUB8,2,115.62,resale,2026-03-26T03:22:28Z
GJ6DC7BVGY,CLUB8,3,142.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVGQ,CLUB8,2,239.0,standard,2026-03-26T03:22:28Z
GN6DCMBQGA2DGMJQHEZXYMJXMU4TANLGMRSDK,CLUB9,2,153.75,resale,2026-03-26T03:22:28Z
GN6DCMBQGA2DGMJRGA3HYMJXMU4TANJWGIZDK,CLUB9,2,153.75,resale,2026-03-26T03:22:28Z
GN6DCMJVGA4TINRYGUYXYMJXMU4TANDDGM4DK,CLUB9,2,147.6,resale,2026-03-26T03:22:28Z
GN6DCMJVGA3DSNZYGUZXYMJXMU4TANBZMY3DK,CLUB9,2,138.99,resale,2026-03-26T03:22:28Z
GN6DCMJTGM3DIMJZHEZHYMJXMU2TKOJXMUZTK,CLUB9,2,184.5,resale,2026-03-26T03:22:28Z
GJ6DC7BVGQ,CLUB9,6,239.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEYTQNJXGY2HYMJXMU4GMZTCHEZDK,CLUB9,2,137.76,resale,2026-03-26T03:22:28Z
GJ6DC7BVGU,CLUB9,5,157.0,standard,2026-03-26T03:22:28Z
GN6DCMBQGA2DGMJRGY3HYMJXMU4TANRQMI2TK,FLR25,2,522.75,resale,2026-03-26T03:22:28Z
GJ6DC7BVGI,FLR30,2,449.0,standard,2026-03-26T03:22:28Z
GN6DCMBQGA2DGMJRGQ2HYMJXMU4TANRVGBSDK,FLR9,2,522.75,resale,2026-03-26T03:22:28Z
GJ6DC7BWGU,MAIN1,3,95.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGY,MAIN1,14,79.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGQ,MAIN1,1,149.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGA,MAIN12,9,135.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGE,MAIN12,9,125.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEYTKOJWGU3HYMJXMU4GKYZRGA3DK,MAIN12,2,87.33,resale,2026-03-26T03:22:28Z
GN6DCMBZGUYTKMRWGQYXYMJXMU2TKOLGGMZDK,MAIN12,4,246.0,resale,2026-03-26T03:22:28Z
GJ6DC7BVHE,MAIN12,2,167.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGM,MAIN2,7,115.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGU,MAIN2,8,95.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGI,MAIN2,1,189.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEYTAOJRHEYXYMJXMU4GGMRTMYYDK,MAIN2,2,102.09,resale,2026-03-26T03:22:28Z
GJ6DC7BWGA,MAIN22,10,135.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGE,MAIN22,15,125.0,standard,2026-03-26T03:22:28Z
GJ6DC7BVHE,MAIN22,1,167.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEZTAMZQGYYXYMJXMU4TAZJQGQYTK,MAIN28,1,131.61,resale,2026-03-26T03:22:28Z
GJ6DC7BWGE,MAIN28,8,125.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGE,MAIN30,3,125.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGM,MAIN32,7,115.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGU,MAIN32,17,95.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGE,MAIN4,2,125.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGA2TAOJUGUYXYMJXMU4GGNDGMVQTK,MAIN4,2,78.72,resale,2026-03-26T03:22:28Z
GJ6DC7BWGE,MAIN4,5,125.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWGE,MAIN6,5,125.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWG4,TERR10,2,69.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWHA,TERR11,1,59.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWHA,TERR12,4,59.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWHA,TERR22,3,59.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGEYTAOBUGA2HYMJXMU4TAMBRGE2TK,TERR23,2,55.35,resale,2026-03-26T03:22:28Z
GJ6DC7BWG4,TERR23,3,69.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWHA,TERR23,3,59.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWG4,TERR27,3,69.0,standard,2026-03-26T03:22:28Z
GJ6DC7BXGA,TERR28,1,19.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWHA,TERR28,2,59.0,standard,2026-03-26T03:22:28Z
GN6DCMJVGAYTQOBRGE4XYMJXMU4TCYRQMFSDK,TERR4,1,28.29,resale,2026-03-26T03:22:28Z
GJ6DC7BWHA,TERR5,2,59.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWHA,TERR6,2,59.0,standard,2026-03-26T03:22:28Z
GJ6DC7BWG4,TERR7,2,69.0,standard,2026-03-26T03:22:28Z
GN6DCMJUGY4DGNZUGU2HYMJXMU3WEYRWGY3DK,WALL15,2,63.96,resale,2026-03-26T03:22:28Z
GN6DCMJUGY4DKMJRGIZHYMJXMU3WEYTFMYYTK,WALL20,2,63.96,resale,2026-03-26T03:22:28Z
