section,row,seat,price_usd,selection_type,scraped_at
CLUB24,15,5,116.85,resale,2026-04-01T03:52:22Z
CLUB24,15,6,116.85,resale,2026-04-01T03:52:22Z
CLUB24,21,7,116.85,resale,2026-04-01T03:52:22Z
CLUB24,21,8,116.85,resale,2026-04-01T03:52:22Z
CLUB25,14,10,216.48,resale,2026-04-01T03:52:22Z
CLUB25,14,9,216.48,resale,2026-04-01T03:52:22Z
CLUB26,23,18,108.24,resale,2026-04-01T03:52:22Z
CLUB26,23,19,108.24,resale,2026-04-01T03:52:22Z
CLUB9,19,15,134.07,resale,2026-04-01T03:52:22Z
CLUB9,19,16,134.07,resale,2026-04-01T03:52:22Z
FLR10,B,17,499.0,standard,2026-04-01T03:52:22Z
FLR10,B,18,499.0,standard,2026-04-01T03:52:22Z
FLR25,G,7,487.08,resale,2026-04-01T03:52:22Z
FLR25,G,8,487.08,resale,2026-04-01T03:52:22Z
MAIN12,25,2,83.64,resale,2026-04-01T03:52:22Z
MAIN12,25,3,83.64,resale,2026-04-01T03:52:22Z
MAIN22,12,3,98.4,resale,2026-04-01T03:52:22Z
MAIN22,12,4,98.4,resale,2026-04-01T03:52:22Z
MAIN22,7,14,98.4,resale,2026-04-01T03:52:22Z
MAIN22,7,15,98.4,resale,2026-04-01T03:52:22Z
MAIN32,5,3,115.0,standard,2026-04-01T03:52:22Z
MAIN32,5,4,115.0,standard,2026-04-01T03:52:22Z
MAIN32,5,5,115.0,standard,2026-04-01T03:52:22Z
MAIN32,5,6,115.0,standard,2026-04-01T03:52:22Z
MAIN32,5,7,115.0,standard,2026-04-01T03:52:22Z
MAIN32,5,8,115.0,standard,2026-04-01T03:52:22Z
TERR10,2,3,49.2,resale,2026-04-01T03:52:22Z
TERR10,2,4,49.2,resale,2026-04-01T03:52:22Z
TERR3,6,6,20.0,resale,2026-04-01T03:52:22Z
TERR3,6,7,20.0,resale,2026-04-01T03:52:22Z
WALL14,24,7,184.5,resale,2026-04-01T03:52:22Z
WALL14,24,8,184.5,resale,2026-04-01T03:52:22Z
WALL15,23,25,60.27,resale,2026-04-01T03:52:22Z
WALL15,23,26,60.27,resale,2026-04-01T03:52:22Z
WALL15,24,1,60.27,resale,2026-04-01T03:52:22Z
WALL15,24,2,60.27,resale,2026-04-01T03:52:22Z
WALL15,24,3,60.27,resale,2026-04-01T03:52:22Z
WALL15,24,4,60.27,resale,2026-04-01T03:52:22Z
WALL19,19,15,123.0,resale,2026-04-01T03:52:22Z
WALL19,19,16,123.0,resale,2026-04-01T03:52:22Z
WALL19,19,17,123.0,resale,2026-04-01T03:52:22Z
WALL19,19,18,123.0,resale,2026-04-01T03:52:22Z
WALL19,19,19,123.0,resale,2026-04-01T03:52:22Z
