section,row,seat,price_usd,selection_type,scraped_at
CLUB10,11,7,114.95,resale,2026-04-08T01:34:00Z
CLUB10,11,8,114.95,resale,2026-04-08T01:34:00Z
CLUB10,17,7,114.95,resale,2026-04-08T01:34:00Z
CLUB10,17,8,114.95,resale,2026-04-08T01:34:00Z
CLUB10,21,14,114.95,resale,2026-04-08T01:34:00Z
CLUB10,21,13,114.95,resale,2026-04-08T01:34:00Z
CLUB10,22,12,114.95,resale,2026-04-08T01:34:00Z
CLUB10,22,13,114.95,resale,2026-04-08T01:34:00Z
CLUB10,25,5,114.95,resale,2026-04-08T01:34:00Z
CLUB10,25,6,114.95,resale,2026-04-08T01:34:00Z
CLUB24,15,5,133.1,resale,2026-04-08T01:34:00Z
CLUB24,15,6,133.1,resale,2026-04-08T01:34:00Z
CLUB24,18,5,133.1,resale,2026-04-08T01:34:00Z
CLUB24,18,6,133.1,resale,2026-04-08T01:34:00Z
CLUB24,21,10,133.1,resale,2026-04-08T01:34:00Z
CLUB24,21,9,133.1,resale,2026-04-08T01:34:00Z
CLUB24,6,13,133.1,resale,2026-04-08T01:34:00Z
CLUB24,6,14,133.1,resale,2026-04-08T01:34:00Z
CLUB24,8,1,133.1,resale,2026-04-08T01:34:00Z
CLUB24,8,2,133.1,resale,2026-04-08T01:34:00Z
CLUB26,23,16,90.75,resale,2026-04-08T01:34:00Z
CLUB26,23,17,90.75,resale,2026-04-08T01:34:00Z
CLUB26,23,11,90.75,resale,2026-04-08T01:34:00Z
CLUB26,23,12,90.75,resale,2026-04-08T01:34:00Z
CLUB26,6,10,90.75,resale,2026-04-08T01:34:00Z
CLUB26,6,11,90.75,resale,2026-04-08T01:34:00Z
CLUB28,10,5,102.85,resale,2026-04-08T01:34:00Z
CLUB28,10,6,102.85,resale,2026-04-08T01:34:00Z
CLUB28,15,12,102.85,resale,2026-04-08T01:34:00Z
CLUB28,15,13,102.85,resale,2026-04-08T01:34:00Z
CLUB28,6,7,102.85,resale,2026-04-08T01:34:00Z
CLUB28,6,8,102.85,resale,2026-04-08T01:34:00Z
CLUB30,11,3,96.8,resale,2026-04-08T01:34:00Z
CLUB30,11,4,96.8,resale,2026-04-08T01:34:00Z
CLUB30,13,12,96.8,resale,2026-04-08T01:34:00Z
CLUB30,13,13,96.8,resale,2026-04-08T01:34:00Z
CLUB30,14,21,96.8,resale,2026-04-08T01:34:00Z
CLUB30,14,22,96.8,resale,2026-04-08T01:34:00Z
CLUB30,15,18,96.8,resale,2026-04-08T01:34:00Z
CLUB30,15,19,96.8,resale,2026-04-08T01:34:00Z
CLUB30,6,3,96.8,resale,2026-04-08T01:34:00Z
CLUB30,6,4,96.8,resale,2026-04-08T01:34:00Z
CLUB4,4,3,102.85,resale,2026-04-08T01:34:00Z
CLUB4,4,4,102.85,resale,2026-04-08T01:34:00Z
CLUB4,6,3,102.85,resale,2026-04-08T01:34:00Z
CLUB4,6,4,102.85,resale,2026-04-08T01:34:00Z
CLUB4,14,19,102.85,resale,2026-04-08T01:34:00Z
CLUB4,14,20,102.85,resale,2026-04-08T01:34:00Z
CLUB4,16,3,102.85,resale,2026-04-08T01:34:00Z
CLUB4,16,4,102.85,resale,2026-04-08T01:34:00Z
CLUB4,3,5,102.85,resale,2026-04-08T01:34:00Z
CLUB4,3,6,102.85,resale,2026-04-08T01:34:00Z
CLUB6,15,8,121.0,resale,2026-04-08T01:34:00Z
CLUB6,15,9,121.0,resale,2026-04-08T01:34:00Z
CLUB6,16,1,121.0,resale,2026-04-08T01:34:00Z
CLUB6,16,2,121.0,resale,2026-04-08T01:34:00Z
CLUB8,5,1,117.37,resale,2026-04-08T01:34:00Z
CLUB8,5,2,117.37,resale,2026-04-08T01:34:00Z
CLUB8,13,5,117.37,resale,2026-04-08T01:34:00Z
CLUB8,13,6,117.37,resale,2026-04-08T01:34:00Z
CLUB8,18,7,117.37,resale,2026-04-08T01:34:00Z
CLUB8,18,8,117.37,resale,2026-04-08T01:34:00Z
CLUB8,20,10,117.37,resale,2026-04-08T01:34:00Z
CLUB8,20,9,117.37,resale,2026-04-08T01:34:00Z
CLUB8,21,11,117.37,resale,2026-04-08T01:34:00Z
CLUB8,21,12,117.37,resale,2026-04-08T01:34:00Z
CLUB8,24,1,117.37,resale,2026-04-08T01:34:00Z
CLUB8,24,2,117.37,resale,2026-04-08T01:34:00Z
CLUB9,16,1,204.49,resale,2026-04-08T01:34:00Z
CLUB9,16,2,204.49,resale,2026-04-08T01:34:00Z
CLUB9,17,7,204.49,resale,2026-04-08T01:34:00Z
CLUB9,17,8,204.49,resale,2026-04-08T01:34:00Z
FLR1,A,21,907.5,resale,2026-04-08T01:34:00Z
FLR1,A,22,907.5,resale,2026-04-08T01:34:00Z
FLR1,B,19,907.5,resale,2026-04-08T01:34:00Z
FLR1,B,20,907.5,resale,2026-04-08T01:34:00Z
FLR1,B,21,907.5,resale,2026-04-08T01:34:00Z
FLR1,B,22,907.5,resale,2026-04-08T01:34:00Z
FLR1,B,27,907.5,resale,2026-04-08T01:34:00Z
FLR1,B,28,907.5,resale,2026-04-08T01:34:00Z
FLR17,B,25,768.35,resale,2026-04-08T01:34:00Z
FLR17,B,26,768.35,resale,2026-04-08T01:34:00Z
FLR24,B,3,406.56,resale,2026-04-08T01:34:00Z
FLR24,B,4,406.56,resale,2026-04-08T01:34:00Z
FLR25,A,45,469.48,resale,2026-04-08T01:34:00Z
FLR25,A,46,469.48,resale,2026-04-08T01:34:00Z
FLR25,A,47,469.48,resale,2026-04-08T01:34:00Z
FLR25,A,48,469.48,resale,2026-04-08T01:34:00Z
FLR25,F,5,469.48,resale,2026-04-08T01:34:00Z
FLR25,F,6,469.48,resale,2026-04-08T01:34:00Z
FLR25,G,10,469.48,resale,2026-04-08T01:34:00Z
FLR25,G,9,469.48,resale,2026-04-08T01:34:00Z
FLR26,A,73,411.4,resale,2026-04-08T01:34:00Z
FLR26,A,74,411.4,resale,2026-04-08T01:34:00Z
FLR26,A,75,411.4,resale,2026-04-08T01:34:00Z
FLR26,A,76,411.4,resale,2026-04-08T01:34:00Z
FLR26,B,65,411.4,resale,2026-04-08T01:34:00Z
FLR26,B,66,411.4,resale,2026-04-08T01:34:00Z
FLR26,B,67,411.4,resale,2026-04-08T01:34:00Z
FLR26,B,68,411.4,resale,2026-04-08T01:34:00Z
FLR8,C,13,1076.9,resale,2026-04-08T01:34:00Z
FLR8,C,14,1076.9,resale,2026-04-08T01:34:00Z
FLR9,D,11,509.41,resale,2026-04-08T01:34:00Z
FLR9,D,12,509.41,resale,2026-04-08T01:34:00Z
MAIN1,4,1,72.6,resale,2026-04-08T01:34:00Z
MAIN1,4,2,72.6,resale,2026-04-08T01:34:00Z
MAIN1,6,17,72.6,resale,2026-04-08T01:34:00Z
MAIN1,6,18,72.6,resale,2026-04-08T01:34:00Z
MAIN1,6,19,72.6,resale,2026-04-08T01:34:00Z
MAIN1,6,20,72.6,resale,2026-04-08T01:34:00Z
MAIN1,22,5,72.6,resale,2026-04-08T01:34:00Z
MAIN1,22,6,72.6,resale,2026-04-08T01:34:00Z
MAIN1,23,13,72.6,resale,2026-04-08T01:34:00Z
MAIN1,23,14,72.6,resale,2026-04-08T01:34:00Z
MAIN1,3,3,72.6,resale,2026-04-08T01:34:00Z
MAIN1,3,4,72.6,resale,2026-04-08T01:34:00Z
MAIN1,3,5,72.6,resale,2026-04-08T01:34:00Z
MAIN1,3,6,72.6,resale,2026-04-08T01:34:00Z
MAIN12,10,1,64.13,resale,2026-04-08T01:34:00Z
MAIN12,10,2,64.13,resale,2026-04-08T01:34:00Z
MAIN12,12,10,64.13,resale,2026-04-08T01:34:00Z
MAIN12,12,9,64.13,resale,2026-04-08T01:34:00Z
MAIN12,20,14,64.13,resale,2026-04-08T01:34:00Z
MAIN12,20,15,64.13,resale,2026-04-08T01:34:00Z
MAIN12,20,16,64.13,resale,2026-04-08T01:34:00Z
MAIN12,20,13,64.13,resale,2026-04-08T01:34:00Z
MAIN12,3,1,64.13,resale,2026-04-08T01:34:00Z
MAIN12,3,2,64.13,resale,2026-04-08T01:34:00Z
MAIN12,7,3,64.13,resale,2026-04-08T01:34:00Z
MAIN12,7,4,64.13,resale,2026-04-08T01:34:00Z
MAIN12,8,1,64.13,resale,2026-04-08T01:34:00Z
MAIN12,8,2,64.13,resale,2026-04-08T01:34:00Z
MAIN2,5,1,71.39,resale,2026-04-08T01:34:00Z
MAIN2,5,2,71.39,resale,2026-04-08T01:34:00Z
MAIN2,11,11,71.39,resale,2026-04-08T01:34:00Z
MAIN2,11,12,71.39,resale,2026-04-08T01:34:00Z
MAIN2,14,20,71.39,resale,2026-04-08T01:34:00Z
MAIN2,14,21,71.39,resale,2026-04-08T01:34:00Z
MAIN2,15,19,71.39,resale,2026-04-08T01:34:00Z
MAIN2,15,20,71.39,resale,2026-04-08T01:34:00Z
MAIN2,19,13,71.39,resale,2026-04-08T01:34:00Z
MAIN2,19,14,71.39,resale,2026-04-08T01:34:00Z
MAIN2,21,5,71.39,resale,2026-04-08T01:34:00Z
MAIN2,21,6,71.39,resale,2026-04-08T01:34:00Z
MAIN22,10,18,87.12,resale,2026-04-08T01:34:00Z
MAIN22,10,19,87.12,resale,2026-04-08T01:34:00Z
MAIN22,13,11,87.12,resale,2026-04-08T01:34:00Z
MAIN22,13,12,87.12,resale,2026-04-08T01:34:00Z
MAIN22,13,2,87.12,resale,2026-04-08T01:34:00Z
MAIN22,22,5,87.12,resale,2026-04-08T01:34:00Z
MAIN22,22,6,87.12,resale,2026-04-08T01:34:00Z
MAIN28,18,7,143.99,resale,2026-04-08T01:34:00Z
MAIN28,18,10,143.99,resale,2026-04-08T01:34:00Z
MAIN28,18,8,143.99,resale,2026-04-08T01:34:00Z
MAIN28,18,9,143.99,resale,2026-04-08T01:34:00Z
MAIN32,10,14,95.59,resale,2026-04-08T01:34:00Z
MAIN32,10,13,95.59,resale,2026-04-08T01:34:00Z
MAIN32,12,18,95.59,resale,2026-04-08T01:34:00Z
MAIN32,12,19,95.59,resale,2026-04-08T01:34:00Z
MAIN32,3,1,95.59,resale,2026-04-08T01:34:00Z
MAIN32,3,2,95.59,resale,2026-04-08T01:34:00Z
MAIN32,4,1,95.59,resale,2026-04-08T01:34:00Z
MAIN32,4,2,95.59,resale,2026-04-08T01:34:00Z
MAIN32,4,3,95.59,resale,2026-04-08T01:34:00Z
MAIN32,4,4,95.59,resale,2026-04-08T01:34:00Z
MAIN32,4,5,95.59,resale,2026-04-08T01:34:00Z
MAIN32,4,6,95.59,resale,2026-04-08T01:34:00Z
MAIN32,4,7,95.59,resale,2026-04-08T01:34:00Z
MAIN6,18,17,163.0,standard,2026-04-08T01:34:00Z
MAIN6,18,16,163.0,standard,2026-04-08T01:34:00Z
TERR10,5,10,35.09,resale,2026-04-08T01:34:00Z
TERR10,5,2,35.09,resale,2026-04-08T01:34:00Z
TERR10,5,9,35.09,resale,2026-04-08T01:34:00Z
TERR10,6,11,35.09,resale,2026-04-08T01:34:00Z
TERR10,6,12,35.09,resale,2026-04-08T01:34:00Z
TERR11,10,2,31.46,resale,2026-04-08T01:34:00Z
TERR11,10,3,31.46,resale,2026-04-08T01:34:00Z
TERR11,10,4,31.46,resale,2026-04-08T01:34:00Z
TERR11,10,5,31.46,resale,2026-04-08T01:34:00Z
TERR11,1,10,31.46,resale,2026-04-08T01:34:00Z
TERR11,1,11,31.46,resale,2026-04-08T01:34:00Z
TERR11,2,3,31.46,resale,2026-04-08T01:34:00Z
TERR11,2,4,31.46,resale,2026-04-08T01:34:00Z
TERR11,2,5,31.46,resale,2026-04-08T01:34:00Z
TERR11,2,6,31.46,resale,2026-04-08T01:34:00Z
TERR11,8,15,31.46,resale,2026-04-08T01:34:00Z
TERR11,8,16,31.46,resale,2026-04-08T01:34:00Z
TERR12,1,3,36.3,resale,2026-04-08T01:34:00Z
TERR12,1,4,36.3,resale,2026-04-08T01:34:00Z
TERR12,2,15,36.3,resale,2026-04-08T01:34:00Z
TERR12,2,16,36.3,resale,2026-04-08T01:34:00Z
TERR2,2,5,31.46,resale,2026-04-08T01:34:00Z
TERR2,2,6,31.46,resale,2026-04-08T01:34:00Z
TERR2,2,7,31.46,resale,2026-04-08T01:34:00Z
TERR2,2,8,31.46,resale,2026-04-08T01:34:00Z
TERR23,1,3,39.93,resale,2026-04-08T01:34:00Z
TERR23,1,4,39.93,resale,2026-04-08T01:34:00Z
TERR23,1,5,39.93,resale,2026-04-08T01:34:00Z
TERR23,1,6,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,10,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,3,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,4,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,5,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,6,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,7,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,8,39.93,resale,2026-04-08T01:34:00Z
TERR23,6,9,39.93,resale,2026-04-08T01:34:00Z
TERR24,6,1,36.3,resale,2026-04-08T01:34:00Z
