offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJUHA4DAMJTGEYHYMJXMYYTQNZTGZSTK,1,4,1190.0,resale,2026-03-28T22:59:59Z
GN6DCMJVGQZDSMJSGMYHYMJXMYYTMMJWGE4TK,1,2,595.0,resale,2026-03-28T22:59:59Z
GN6DCMJVGM2TGNJYG4YHYMJXMYYDINZTGRSDK,101,2,65.45,resale,2026-03-28T22:59:59Z
GN6DCMJVGM2TONRTGQ3XYMJXMYYDIYJQMYZDK,101,2,64.26,resale,2026-03-28T22:59:59Z
GN6DCMJUHA4DKMRWGE4HYMJXMUYTMZJTG44DK,101,1,119.0,resale,2026-03-28T22:59:59Z
GN6DCMJVGQYDCNBTGY4XYMJXMYYDOYZWMZQTK,103,2,119.0,resale,2026-03-28T22:59:59Z
GJ6DC7BVGM,103,1,220.98,standard,2026-03-28T22:59:59Z
GN6DCMJUG42TEMJYGAZHYMJXMUYDKNJVGI2DK,103,2,224.91,resale,2026-03-28T22:59:59Z
GJ6DC7BVGQ,103,1,196.98,standard,2026-03-28T22:59:59Z
GN6DCMJVGM4TIMZTGUYHYMJXMYYDGZLGMNRDK,103,1,124.95,resale,2026-03-28T22:59:59Z
GN6DCMJVGQYDSNJZGM4HYMJXMYYGEZBXHA4DK,103,1,83.3,resale,2026-03-28T22:59:59Z
GN6DCMJVGQYDSNJZGM4XYMJXMYYGEYZTGA4DK,103,1,83.3,resale,2026-03-28T22:59:59Z
GN6DCMJVGQZTONJXGQ2XYMJXMYYWCYTFMIYDK,104,2,159.46,resale,2026-03-28T22:59:59Z
GN6DCMJVGQYDIOJQGM4HYMJXMYYDSOJVMI3TK,104,2,202.3,resale,2026-03-28T22:59:59Z
GN6DCMJVGQZDQMJYG43XYMJXMYYTKNZVMQ2DK,104,1,96.39,resale,2026-03-28T22:59:59Z
GN6DCMJVGQYDINZUGI4XYMJXMYYDSOBTMNRDK,105,2,180.88,resale,2026-03-28T22:59:59Z
GN6DCMJTG43DCNJWG44HYMJXMYYTOOJQGYZDK,106,2,238.0,resale,2026-03-28T22:59:59Z
GN6DCMJVGQZTKMBVGY3HYMJXMYYTSNLBGNSDK,107,2,89.25,resale,2026-03-28T22:59:59Z
GN6DCMBZGAYDSNBSHA3XYMJXME4DONRTGY3DK,107,4,148.75,resale,2026-03-28T22:59:59Z
GN6DCMJUGYYDONZTG44HYMJXMVRDKMJSGA3DK,107,2,92.82,resale,2026-03-28T22:59:59Z
GN6DCMJUGMZTGOBUHA4HYMJXMVRDKMJSMJTDK,107,2,90.44,resale,2026-03-28T22:59:59Z
GN6DCMBTGUYDENBRGU4XYMJXME4DONLGGA2TK,107A,2,105.91,resale,2026-03-28T22:59:59Z
GN6DCMJVGMZDMOBSGAZXYMJXMVSGMMBYHEYDK,107A,1,60.69,resale,2026-03-28T22:59:59Z
GN6DCMJUHE2DANBSG4YHYMJXMUZTEMRXMJSTK,107A,2,71.4,resale,2026-03-28T22:59:59Z
GN6DCMJVGQZDENZQG43XYMJXMYYTQMJQGU4TK,108,2,80.92,resale,2026-03-28T22:59:59Z
GN6DCMJVGMYDKMJRGAYXYMJXMVSDQNZVHEZDK,108,2,102.34,resale,2026-03-28T22:59:59Z
GN6DCMJVGEZDKNZXGI3HYMJXMVRDKMJSHA2TK,108,2,85.68,resale,2026-03-28T22:59:59Z
GN6DCMJVGEZTMMBXGA3XYMJXMVRDKMJQG43TK,108,2,84.49,resale,2026-03-28T22:59:59Z
