section,row,seat,price_usd,selection_type,scraped_at
101,BB,6,27.0,resale,2026-04-01T23:00:40Z
101,BB,7,27.0,resale,2026-04-01T23:00:40Z
101,BB,8,27.0,resale,2026-04-01T23:00:40Z
101,BB,9,27.0,resale,2026-04-01T23:00:40Z
101,BB,10,27.0,resale,2026-04-01T23:00:40Z
101,BB,11,27.0,resale,2026-04-01T23:00:40Z
101,F,1,27.0,resale,2026-04-01T23:00:40Z
101,F,2,27.0,resale,2026-04-01T23:00:40Z
101,H,1,27.0,resale,2026-04-01T23:00:40Z
101,H,2,27.0,resale,2026-04-01T23:00:40Z
101,H,3,27.0,resale,2026-04-01T23:00:40Z
101,H,4,27.0,resale,2026-04-01T23:00:40Z
101,H,5,27.0,resale,2026-04-01T23:00:40Z
101,H,6,27.0,resale,2026-04-01T23:00:40Z
101,HH,1,27.0,resale,2026-04-01T23:00:40Z
101,HH,2,27.0,resale,2026-04-01T23:00:40Z
101,HH,3,27.0,resale,2026-04-01T23:00:40Z
101,HH,4,27.0,resale,2026-04-01T23:00:40Z
101,JJ,7,27.0,resale,2026-04-01T23:00:40Z
101,JJ,8,27.0,resale,2026-04-01T23:00:40Z
101,K,1,27.0,resale,2026-04-01T23:00:40Z
101,K,2,27.0,resale,2026-04-01T23:00:40Z
101,KK,3,27.0,resale,2026-04-01T23:00:40Z
101,KK,4,27.0,resale,2026-04-01T23:00:40Z
101,L,5,27.0,resale,2026-04-01T23:00:40Z
101,L,6,27.0,resale,2026-04-01T23:00:40Z
101,P,1,27.0,resale,2026-04-01T23:00:40Z
101,P,2,27.0,resale,2026-04-01T23:00:40Z
101,Q,6,27.0,resale,2026-04-01T23:00:40Z
101,Q,7,27.0,resale,2026-04-01T23:00:40Z
101,Q,8,27.0,resale,2026-04-01T23:00:40Z
101,Q,9,27.0,resale,2026-04-01T23:00:40Z
101,R,1,27.0,resale,2026-04-01T23:00:40Z
101,R,2,27.0,resale,2026-04-01T23:00:40Z
101,R,3,27.0,resale,2026-04-01T23:00:40Z
101,R,4,27.0,resale,2026-04-01T23:00:40Z
101,R,9,27.0,resale,2026-04-01T23:00:40Z
101,R,10,27.0,resale,2026-04-01T23:00:40Z
101,R,11,27.0,resale,2026-04-01T23:00:40Z
101,R,12,27.0,resale,2026-04-01T23:00:40Z
101,S,1,27.0,resale,2026-04-01T23:00:40Z
101,S,2,27.0,resale,2026-04-01T23:00:40Z
101,S,3,27.0,resale,2026-04-01T23:00:40Z
101,S,4,27.0,resale,2026-04-01T23:00:40Z
102,AA,1,29.0,resale,2026-04-01T23:00:40Z
102,AA,2,29.0,resale,2026-04-01T23:00:40Z
102,AA,3,29.0,resale,2026-04-01T23:00:40Z
102,AA,4,29.0,resale,2026-04-01T23:00:40Z
102,AA,5,29.0,resale,2026-04-01T23:00:40Z
102,AA,6,29.0,resale,2026-04-01T23:00:40Z
102,AA,7,29.0,resale,2026-04-01T23:00:40Z
102,AA,8,29.0,resale,2026-04-01T23:00:40Z
102,EE,1,29.0,resale,2026-04-01T23:00:40Z
102,EE,2,29.0,resale,2026-04-01T23:00:40Z
102,EE,4,29.0,resale,2026-04-01T23:00:40Z
102,EE,5,29.0,resale,2026-04-01T23:00:40Z
102,EE,8,29.0,resale,2026-04-01T23:00:40Z
102,EE,9,29.0,resale,2026-04-01T23:00:40Z
102,FF,1,29.0,resale,2026-04-01T23:00:40Z
102,FF,2,29.0,resale,2026-04-01T23:00:40Z
102,KK,8,29.0,resale,2026-04-01T23:00:40Z
102,KK,9,29.0,resale,2026-04-01T23:00:40Z
102,M,1,29.0,resale,2026-04-01T23:00:40Z
102,M,2,29.0,resale,2026-04-01T23:00:40Z
102,M,7,29.0,resale,2026-04-01T23:00:40Z
102,M,8,29.0,resale,2026-04-01T23:00:40Z
102,N,4,29.0,resale,2026-04-01T23:00:40Z
102,N,5,29.0,resale,2026-04-01T23:00:40Z
102,N,6,29.0,resale,2026-04-01T23:00:40Z
102,N,7,29.0,resale,2026-04-01T23:00:40Z
102,R,6,29.0,resale,2026-04-01T23:00:40Z
102,R,7,29.0,resale,2026-04-01T23:00:40Z
102,R,8,29.0,resale,2026-04-01T23:00:40Z
102,R,9,29.0,resale,2026-04-01T23:00:40Z
102,S,19,29.0,resale,2026-04-01T23:00:40Z
102,S,20,29.0,resale,2026-04-01T23:00:40Z
103,D,5,30.0,resale,2026-04-01T23:00:40Z
103,D,6,30.0,resale,2026-04-01T23:00:40Z
103,D,7,30.0,resale,2026-04-01T23:00:40Z
103,D,8,30.0,resale,2026-04-01T23:00:40Z
103,E,10,30.0,resale,2026-04-01T23:00:40Z
103,E,11,30.0,resale,2026-04-01T23:00:40Z
103,F,3,30.0,resale,2026-04-01T23:00:40Z
103,F,4,30.0,resale,2026-04-01T23:00:40Z
103,J,1,30.0,resale,2026-04-01T23:00:40Z
103,J,2,30.0,resale,2026-04-01T23:00:40Z
103,J,5,30.0,resale,2026-04-01T23:00:40Z
103,J,6,30.0,resale,2026-04-01T23:00:40Z
103,R,3,30.0,resale,2026-04-01T23:00:40Z
103,R,4,30.0,resale,2026-04-01T23:00:40Z
103,S,9,30.0,resale,2026-04-01T23:00:40Z
103,S,10,30.0,resale,2026-04-01T23:00:40Z
103,T,18,30.0,resale,2026-04-01T23:00:40Z
103,T,19,30.0,resale,2026-04-01T23:00:40Z
103A,AA,7,30.0,resale,2026-04-01T23:00:40Z
103A,AA,8,30.0,resale,2026-04-01T23:00:40Z
103A,AA,11,30.0,resale,2026-04-01T23:00:40Z
103A,AA,12,30.0,resale,2026-04-01T23:00:40Z
103A,AA,13,30.0,resale,2026-04-01T23:00:40Z
103A,AA,14,30.0,resale,2026-04-01T23:00:40Z
103A,AA,15,30.0,resale,2026-04-01T23:00:40Z
103A,AA,16,30.0,resale,2026-04-01T23:00:40Z
103A,AA,17,30.0,resale,2026-04-01T23:00:40Z
103A,AA,18,30.0,resale,2026-04-01T23:00:40Z
103A,BB,21,30.0,resale,2026-04-01T23:00:40Z
103A,BB,22,30.0,resale,2026-04-01T23:00:40Z
103A,BB,23,30.0,resale,2026-04-01T23:00:40Z
103A,BB,24,30.0,resale,2026-04-01T23:00:40Z
103A,CC,7,30.0,resale,2026-04-01T23:00:40Z
103A,CC,8,30.0,resale,2026-04-01T23:00:40Z
103A,CC,18,30.0,resale,2026-04-01T23:00:40Z
103A,CC,19,30.0,resale,2026-04-01T23:00:40Z
103A,CC,23,30.0,resale,2026-04-01T23:00:40Z
103A,CC,24,30.0,resale,2026-04-01T23:00:40Z
103A,JJ,11,30.0,resale,2026-04-01T23:00:40Z
103A,JJ,12,30.0,resale,2026-04-01T23:00:40Z
104,D,5,52.65,resale,2026-04-01T23:00:40Z
104,D,6,52.65,resale,2026-04-01T23:00:40Z
104,F,1,52.65,resale,2026-04-01T23:00:40Z
104,F,2,52.65,resale,2026-04-01T23:00:40Z
104,F,4,52.65,resale,2026-04-01T23:00:40Z
104,F,5,52.65,resale,2026-04-01T23:00:40Z
104,G,1,52.65,resale,2026-04-01T23:00:40Z
104,G,2,52.65,resale,2026-04-01T23:00:40Z
104,H,1,52.65,resale,2026-04-01T23:00:40Z
104,H,2,52.65,resale,2026-04-01T23:00:40Z
104,H,3,52.65,resale,2026-04-01T23:00:40Z
104,H,4,52.65,resale,2026-04-01T23:00:40Z
104,N,12,52.65,resale,2026-04-01T23:00:40Z
104,N,13,52.65,resale,2026-04-01T23:00:40Z
104,P,11,52.65,resale,2026-04-01T23:00:40Z
104,P,12,52.65,resale,2026-04-01T23:00:40Z
104,U,1,52.65,resale,2026-04-01T23:00:40Z
104,U,2,52.65,resale,2026-04-01T23:00:40Z
105,R,1,87.75,resale,2026-04-01T23:00:40Z
105,R,2,87.75,resale,2026-04-01T23:00:40Z
105,S,3,87.75,resale,2026-04-01T23:00:40Z
105,S,4,87.75,resale,2026-04-01T23:00:40Z
105,U,5,87.75,resale,2026-04-01T23:00:40Z
105,U,6,87.75,resale,2026-04-01T23:00:40Z
106,D,13,105.3,resale,2026-04-01T23:00:40Z
106,D,14,105.3,resale,2026-04-01T23:00:40Z
106,H,17,105.3,resale,2026-04-01T23:00:40Z
106,H,18,105.3,resale,2026-04-01T23:00:40Z
106,M,1,105.3,resale,2026-04-01T23:00:40Z
106,M,2,105.3,resale,2026-04-01T23:00:40Z
106,P,1,105.3,resale,2026-04-01T23:00:40Z
106,P,2,105.3,resale,2026-04-01T23:00:40Z
106,S,1,105.3,resale,2026-04-01T23:00:40Z
106,S,2,105.3,resale,2026-04-01T23:00:40Z
106,S,20,105.3,resale,2026-04-01T23:00:40Z
106,S,21,105.3,resale,2026-04-01T23:00:40Z
107,F,5,46.8,resale,2026-04-01T23:00:40Z
107,F,6,46.8,resale,2026-04-01T23:00:40Z
107,K,9,46.8,resale,2026-04-01T23:00:40Z
107,K,10,46.8,resale,2026-04-01T23:00:40Z
107,N,11,46.8,resale,2026-04-01T23:00:40Z
107,N,12,46.8,resale,2026-04-01T23:00:40Z
107,R,9,46.8,resale,2026-04-01T23:00:40Z
107,R,10,46.8,resale,2026-04-01T23:00:40Z
107,R,11,46.8,resale,2026-04-01T23:00:40Z
107,R,12,46.8,resale,2026-04-01T23:00:40Z
107,R,13,46.8,resale,2026-04-01T23:00:40Z
107,R,14,46.8,resale,2026-04-01T23:00:40Z
107,R,15,46.8,resale,2026-04-01T23:00:40Z
107,R,16,46.8,resale,2026-04-01T23:00:40Z
107A,BB,3,21.0,resale,2026-04-01T23:00:40Z
107A,BB,4,21.0,resale,2026-04-01T23:00:40Z
107A,BB,5,21.0,resale,2026-04-01T23:00:40Z
107A,BB,6,21.0,resale,2026-04-01T23:00:40Z
107A,CC,7,21.0,resale,2026-04-01T23:00:40Z
107A,CC,8,21.0,resale,2026-04-01T23:00:40Z
107A,CC,19,21.0,resale,2026-04-01T23:00:40Z
107A,CC,20,21.0,resale,2026-04-01T23:00:40Z
107A,DD,7,21.0,resale,2026-04-01T23:00:40Z
107A,DD,8,21.0,resale,2026-04-01T23:00:40Z
107A,DD,9,21.0,resale,2026-04-01T23:00:40Z
107A,DD,10,21.0,resale,2026-04-01T23:00:40Z
108,D,1,39.78,resale,2026-04-01T23:00:40Z
108,D,2,39.78,resale,2026-04-01T23:00:40Z
108,D,5,39.78,resale,2026-04-01T23:00:40Z
108,D,6,39.78,resale,2026-04-01T23:00:40Z
108,G,1,39.78,resale,2026-04-01T23:00:40Z
108,G,2,39.78,resale,2026-04-01T23:00:40Z
108,J,1,39.78,resale,2026-04-01T23:00:40Z
108,J,2,39.78,resale,2026-04-01T23:00:40Z
108,J,5,39.78,resale,2026-04-01T23:00:40Z
108,J,6,39.78,resale,2026-04-01T23:00:40Z
108,J,7,39.78,resale,2026-04-01T23:00:40Z
108,J,8,39.78,resale,2026-04-01T23:00:40Z
108,J,10,39.78,resale,2026-04-01T23:00:40Z
108,J,11,39.78,resale,2026-04-01T23:00:40Z
108,K,7,39.78,resale,2026-04-01T23:00:40Z
108,K,8,39.78,resale,2026-04-01T23:00:40Z
108,M,1,39.78,resale,2026-04-01T23:00:40Z
108,M,2,39.78,resale,2026-04-01T23:00:40Z
108,N,5,39.78,resale,2026-04-01T23:00:40Z
108,N,6,39.78,resale,2026-04-01T23:00:40Z
108,N,9,39.78,resale,2026-04-01T23:00:40Z
108,N,10,39.78,resale,2026-04-01T23:00:40Z
108,P,10,39.78,resale,2026-04-01T23:00:40Z
108,P,11,39.78,resale,2026-04-01T23:00:40Z
108,P,12,39.78,resale,2026-04-01T23:00:40Z
108,P,13,39.78,resale,2026-04-01T23:00:40Z
108,T,9,39.78,resale,2026-04-01T23:00:40Z
108,T,10,39.78,resale,2026-04-01T23:00:40Z
108,U,1,39.78,resale,2026-04-01T23:00:40Z
108,U,2,39.78,resale,2026-04-01T23:00:40Z
109,D,10,33.0,resale,2026-04-01T23:00:40Z
109,D,11,33.0,resale,2026-04-01T23:00:40Z
109,E,10,33.0,resale,2026-04-01T23:00:40Z
109,E,11,33.0,resale,2026-04-01T23:00:40Z
109,E,12,33.0,resale,2026-04-01T23:00:40Z
109,E,13,33.0,resale,2026-04-01T23:00:40Z
109,F,11,33.0,resale,2026-04-01T23:00:40Z
109,F,12,33.0,resale,2026-04-01T23:00:40Z
109,H,13,33.0,resale,2026-04-01T23:00:40Z
109,H,14,33.0,resale,2026-04-01T23:00:40Z
109,J,12,33.0,resale,2026-04-01T23:00:40Z
109,J,13,33.0,resale,2026-04-01T23:00:40Z
109,Q,1,33.0,resale,2026-04-01T23:00:40Z
109,Q,2,33.0,resale,2026-04-01T23:00:40Z
109,Q,3,33.0,resale,2026-04-01T23:00:40Z
109,Q,4,33.0,resale,2026-04-01T23:00:40Z
109,Q,5,33.0,resale,2026-04-01T23:00:40Z
109,Q,6,33.0,resale,2026-04-01T23:00:40Z
109,Q,7,33.0,resale,2026-04-01T23:00:40Z
109,Q,8,33.0,resale,2026-04-01T23:00:40Z
109,Q,11,33.0,resale,2026-04-01T23:00:40Z
109,Q,12,33.0,resale,2026-04-01T23:00:40Z
109,R,11,33.0,resale,2026-04-01T23:00:40Z
109,R,12,33.0,resale,2026-04-01T23:00:40Z
109,S,1,33.0,resale,2026-04-01T23:00:40Z
109,S,2,33.0,resale,2026-04-01T23:00:40Z
109,T,3,33.0,resale,2026-04-01T23:00:40Z
109,T,4,33.0,resale,2026-04-01T23:00:40Z
109,T,8,33.0,resale,2026-04-01T23:00:40Z
109,T,9,33.0,resale,2026-04-01T23:00:40Z
110,H,1,30.0,resale,2026-04-01T23:00:40Z
110,H,2,30.0,resale,2026-04-01T23:00:40Z
110,L,8,30.0,resale,2026-04-01T23:00:40Z
110,L,9,30.0,resale,2026-04-01T23:00:40Z
110,T,1,30.0,resale,2026-04-01T23:00:40Z
110,T,2,30.0,resale,2026-04-01T23:00:40Z
111,Q,12,36.27,resale,2026-04-01T23:00:40Z
111,Q,13,36.27,resale,2026-04-01T23:00:40Z
111,Q,14,36.27,resale,2026-04-01T23:00:40Z
111,Q,15,36.27,resale,2026-04-01T23:00:40Z
111,T,5,36.27,resale,2026-04-01T23:00:40Z
111,T,6,36.27,resale,2026-04-01T23:00:40Z
111,T,7,36.27,resale,2026-04-01T23:00:40Z
111,T,8,36.27,resale,2026-04-01T23:00:40Z
111,U,5,36.27,resale,2026-04-01T23:00:40Z
111,U,6,36.27,resale,2026-04-01T23:00:40Z
111,U,7,36.27,resale,2026-04-01T23:00:40Z
111,U,8,36.27,resale,2026-04-01T23:00:40Z
112,F,3,50.31,resale,2026-04-01T23:00:40Z
112,F,4,50.31,resale,2026-04-01T23:00:40Z
112,L,4,50.31,resale,2026-04-01T23:00:40Z
112,L,5,50.31,resale,2026-04-01T23:00:40Z
112,P,15,50.31,resale,2026-04-01T23:00:40Z
112,P,16,50.31,resale,2026-04-01T23:00:40Z
112A,BB,23,25.0,resale,2026-04-01T23:00:40Z
112A,BB,24,25.0,resale,2026-04-01T23:00:40Z
112A,CC,9,25.0,resale,2026-04-01T23:00:40Z
112A,CC,10,25.0,resale,2026-04-01T23:00:40Z
112A,CC,19,25.0,resale,2026-04-01T23:00:40Z
112A,CC,20,25.0,resale,2026-04-01T23:00:40Z
112A,CC,21,25.0,resale,2026-04-01T23:00:40Z
112A,CC,22,25.0,resale,2026-04-01T23:00:40Z
112A,CC,23,25.0,resale,2026-04-01T23:00:40Z
112A,CC,24,25.0,resale,2026-04-01T23:00:40Z
112A,DD,1,25.0,resale,2026-04-01T23:00:40Z
112A,DD,2,25.0,resale,2026-04-01T23:00:40Z
112A,DD,3,25.0,resale,2026-04-01T23:00:40Z
112A,DD,4,25.0,resale,2026-04-01T23:00:40Z
112A,EE,7,25.0,resale,2026-04-01T23:00:40Z
112A,EE,8,25.0,resale,2026-04-01T23:00:40Z
112A,GG,7,25.0,resale,2026-04-01T23:00:40Z
112A,GG,8,25.0,resale,2026-04-01T23:00:40Z
112A,KK,3,25.0,resale,2026-04-01T23:00:40Z
112A,KK,4,25.0,resale,2026-04-01T23:00:40Z
112A,KK,16,25.0,resale,2026-04-01T23:00:40Z
112A,KK,17,25.0,resale,2026-04-01T23:00:40Z
112A,LL,11,25.0,resale,2026-04-01T23:00:40Z
112A,LL,12,25.0,resale,2026-04-01T23:00:40Z
112A,LL,17,25.0,resale,2026-04-01T23:00:40Z
112A,LL,18,25.0,resale,2026-04-01T23:00:40Z
113,M,1,46.8,resale,2026-04-01T23:00:40Z
113,M,2,46.8,resale,2026-04-01T23:00:40Z
113,Q,5,46.8,resale,2026-04-01T23:00:40Z
113,Q,6,46.8,resale,2026-04-01T23:00:40Z
113,T,12,46.8,resale,2026-04-01T23:00:40Z
113,T,13,46.8,resale,2026-04-01T23:00:40Z
113,V,1,46.8,resale,2026-04-01T23:00:40Z
113,V,2,46.8,resale,2026-04-01T23:00:40Z
114,D,11,81.9,resale,2026-04-01T23:00:40Z
114,D,12,81.9,resale,2026-04-01T23:00:40Z
114,H,15,81.9,resale,2026-04-01T23:00:40Z
114,H,16,81.9,resale,2026-04-01T23:00:40Z
114,Q,11,81.9,resale,2026-04-01T23:00:40Z
114,Q,12,81.9,resale,2026-04-01T23:00:40Z
114,T,10,81.9,resale,2026-04-01T23:00:40Z
114,T,11,81.9,resale,2026-04-01T23:00:40Z
