section,row,seat,price_usd,selection_type,scraped_at
1,1,3,535.5,resale,2026-04-04T00:52:23Z
1,1,4,535.5,resale,2026-04-04T00:52:23Z
1,2,15,535.5,resale,2026-04-04T00:52:23Z
1,2,16,535.5,resale,2026-04-04T00:52:23Z
101,P,1,58.31,resale,2026-04-04T00:52:23Z
101,P,2,58.31,resale,2026-04-04T00:52:23Z
102,EE,1,61.88,resale,2026-04-04T00:52:23Z
102,EE,2,61.88,resale,2026-04-04T00:52:23Z
102,Q,1,61.88,resale,2026-04-04T00:52:23Z
102,Q,2,61.88,resale,2026-04-04T00:52:23Z
103,G,7,59.5,resale,2026-04-04T00:52:23Z
103,G,8,59.5,resale,2026-04-04T00:52:23Z
103,H,5,59.5,resale,2026-04-04T00:52:23Z
103,H,6,59.5,resale,2026-04-04T00:52:23Z
103,Q,14,59.5,resale,2026-04-04T00:52:23Z
103,Q,15,59.5,resale,2026-04-04T00:52:23Z
103,S,1,59.5,resale,2026-04-04T00:52:23Z
103,S,2,59.5,resale,2026-04-04T00:52:23Z
103,U,20,59.5,resale,2026-04-04T00:52:23Z
103,U,21,59.5,resale,2026-04-04T00:52:23Z
103A,EE,5,30.0,resale,2026-04-04T00:52:23Z
103A,EE,6,30.0,resale,2026-04-04T00:52:23Z
104,H,4,171.36,resale,2026-04-04T00:52:23Z
104,H,3,171.36,resale,2026-04-04T00:52:23Z
104,Q,1,171.36,resale,2026-04-04T00:52:23Z
104,Q,2,171.36,resale,2026-04-04T00:52:23Z
106,D,15,154.7,resale,2026-04-04T00:52:23Z
106,D,16,154.7,resale,2026-04-04T00:52:23Z
106,U,19,154.7,resale,2026-04-04T00:52:23Z
106,U,20,154.7,resale,2026-04-04T00:52:23Z
107A,CC,19,25.0,resale,2026-04-04T00:52:23Z
107A,CC,20,25.0,resale,2026-04-04T00:52:23Z
107A,CC,21,25.0,resale,2026-04-04T00:52:23Z
107A,CC,22,25.0,resale,2026-04-04T00:52:23Z
107A,CC,23,25.0,resale,2026-04-04T00:52:23Z
107A,CC,24,25.0,resale,2026-04-04T00:52:23Z
107A,DD,11,25.0,resale,2026-04-04T00:52:23Z
107A,DD,12,25.0,resale,2026-04-04T00:52:23Z
108,F,4,35.7,resale,2026-04-04T00:52:23Z
108,F,3,35.7,resale,2026-04-04T00:52:23Z
108,J,5,35.7,resale,2026-04-04T00:52:23Z
108,J,6,35.7,resale,2026-04-04T00:52:23Z
108,K,1,35.7,resale,2026-04-04T00:52:23Z
108,K,2,35.7,resale,2026-04-04T00:52:23Z
108,N,4,35.7,resale,2026-04-04T00:52:23Z
108,N,3,35.7,resale,2026-04-04T00:52:23Z
108,U,1,35.7,resale,2026-04-04T00:52:23Z
108,U,2,35.7,resale,2026-04-04T00:52:23Z
109,A,1,51.17,resale,2026-04-04T00:52:23Z
109,A,2,51.17,resale,2026-04-04T00:52:23Z
109,D,12,51.17,resale,2026-04-04T00:52:23Z
109,D,13,51.17,resale,2026-04-04T00:52:23Z
109,H,13,51.17,resale,2026-04-04T00:52:23Z
109,H,14,51.17,resale,2026-04-04T00:52:23Z
109,Q,1,51.17,resale,2026-04-04T00:52:23Z
109,Q,2,51.17,resale,2026-04-04T00:52:23Z
109,S,7,51.17,resale,2026-04-04T00:52:23Z
109,S,8,51.17,resale,2026-04-04T00:52:23Z
112A,GG,7,32.13,resale,2026-04-04T00:52:23Z
112A,GG,8,32.13,resale,2026-04-04T00:52:23Z
112A,AA,22,32.13,resale,2026-04-04T00:52:23Z
112A,AA,23,32.13,resale,2026-04-04T00:52:23Z
113,M,7,53.55,resale,2026-04-04T00:52:23Z
113,M,8,53.55,resale,2026-04-04T00:52:23Z
113,Q,4,53.55,resale,2026-04-04T00:52:23Z
113,Q,1,53.55,resale,2026-04-04T00:52:23Z
113,Q,2,53.55,resale,2026-04-04T00:52:23Z
113,Q,3,53.55,resale,2026-04-04T00:52:23Z
114,B,11,133.28,resale,2026-04-04T00:52:23Z
114,B,12,133.28,resale,2026-04-04T00:52:23Z
114,V,7,133.28,resale,2026-04-04T00:52:23Z
114,V,8,133.28,resale,2026-04-04T00:52:23Z
114,V,9,133.28,resale,2026-04-04T00:52:23Z
114,V,10,133.28,resale,2026-04-04T00:52:23Z
115,B,9,59.5,resale,2026-04-04T00:52:23Z
115,B,10,59.5,resale,2026-04-04T00:52:23Z
115,U,20,59.5,resale,2026-04-04T00:52:23Z
115,U,21,59.5,resale,2026-04-04T00:52:23Z
116,P,1,21.0,resale,2026-04-04T00:52:23Z
116,P,2,21.0,resale,2026-04-04T00:52:23Z
116,S,15,21.0,resale,2026-04-04T00:52:23Z
116,S,16,21.0,resale,2026-04-04T00:52:23Z
116A,AA,18,47.6,resale,2026-04-04T00:52:23Z
116A,AA,19,47.6,resale,2026-04-04T00:52:23Z
116A,AA,20,47.6,resale,2026-04-04T00:52:23Z
116A,AA,21,47.6,resale,2026-04-04T00:52:23Z
116A,DD,1,47.6,resale,2026-04-04T00:52:23Z
116A,DD,2,47.6,resale,2026-04-04T00:52:23Z
116A,KK,5,47.6,resale,2026-04-04T00:52:23Z
116A,KK,6,47.6,resale,2026-04-04T00:52:23Z
118,E,6,35.7,resale,2026-04-04T00:52:23Z
118,E,7,35.7,resale,2026-04-04T00:52:23Z
118,E,8,35.7,resale,2026-04-04T00:52:23Z
118,E,9,35.7,resale,2026-04-04T00:52:23Z
