section,row,seat,price_usd,selection_type,scraped_at
1,1,3,380.8,resale,2026-04-03T23:00:00Z
1,1,4,380.8,resale,2026-04-03T23:00:00Z
1,2,15,380.8,resale,2026-04-03T23:00:00Z
1,2,16,380.8,resale,2026-04-03T23:00:00Z
101,P,1,41.65,resale,2026-04-03T23:00:00Z
101,P,2,41.65,resale,2026-04-03T23:00:00Z
102,EE,1,61.88,resale,2026-04-03T23:00:00Z
102,EE,2,61.88,resale,2026-04-03T23:00:00Z
102,Q,1,61.88,resale,2026-04-03T23:00:00Z
102,Q,2,61.88,resale,2026-04-03T23:00:00Z
103,G,7,59.5,resale,2026-04-03T23:00:00Z
103,G,8,59.5,resale,2026-04-03T23:00:00Z
103,H,5,59.5,resale,2026-04-03T23:00:00Z
103,H,6,59.5,resale,2026-04-03T23:00:00Z
103,Q,14,59.5,resale,2026-04-03T23:00:00Z
103,Q,15,59.5,resale,2026-04-03T23:00:00Z
103,S,1,59.5,resale,2026-04-03T23:00:00Z
103,S,2,59.5,resale,2026-04-03T23:00:00Z
103,U,20,59.5,resale,2026-04-03T23:00:00Z
103,U,21,59.5,resale,2026-04-03T23:00:00Z
103A,EE,5,33.32,resale,2026-04-03T23:00:00Z
103A,EE,6,33.32,resale,2026-04-03T23:00:00Z
104,H,3,122.57,resale,2026-04-03T23:00:00Z
104,H,4,122.57,resale,2026-04-03T23:00:00Z
104,Q,1,122.57,resale,2026-04-03T23:00:00Z
104,Q,2,122.57,resale,2026-04-03T23:00:00Z
106,D,15,154.7,resale,2026-04-03T23:00:00Z
106,D,16,154.7,resale,2026-04-03T23:00:00Z
106,U,19,154.7,resale,2026-04-03T23:00:00Z
106,U,20,154.7,resale,2026-04-03T23:00:00Z
107A,CC,19,32.13,resale,2026-04-03T23:00:00Z
107A,CC,20,32.13,resale,2026-04-03T23:00:00Z
107A,CC,21,32.13,resale,2026-04-03T23:00:00Z
107A,CC,22,32.13,resale,2026-04-03T23:00:00Z
107A,CC,23,32.13,resale,2026-04-03T23:00:00Z
