section,row,seat,price_usd,selection_type,scraped_at
1,1,3,380.8,resale,2026-04-03T23:00:00Z
1,1,4,380.8,resale,2026-04-03T23:00:00Z
1,2,15,380.8,resale,2026-04-03T23:00:00Z
1,2,16,380.8,resale,2026-04-03T23:00:00Z
1,2,21,380.8,resale,2026-04-03T23:00:00Z
1,2,22,380.8,resale,2026-04-03T23:00:00Z
1,2,3,380.8,resale,2026-04-03T23:00:00Z
1,2,4,380.8,resale,2026-04-03T23:00:00Z
1,2,63,380.8,resale,2026-04-03T23:00:00Z
1,2,64,380.8,resale,2026-04-03T23:00:00Z
101,EE,3,41.65,resale,2026-04-03T23:00:00Z
101,EE,4,41.65,resale,2026-04-03T23:00:00Z
101,P,1,41.65,resale,2026-04-03T23:00:00Z
101,P,2,41.65,resale,2026-04-03T23:00:00Z
102,EE,1,61.88,resale,2026-04-03T23:00:00Z
102,EE,2,61.88,resale,2026-04-03T23:00:00Z
102,Q,1,61.88,resale,2026-04-03T23:00:00Z
102,Q,2,61.88,resale,2026-04-03T23:00:00Z
103,G,7,59.5,resale,2026-04-03T23:00:00Z
103,G,8,59.5,resale,2026-04-03T23:00:00Z
103,H,5,59.5,resale,2026-04-03T23:00:00Z
103,H,6,59.5,resale,2026-04-03T23:00:00Z
103,Q,14,59.5,resale,2026-04-03T23:00:00Z
103,Q,15,59.5,resale,2026-04-03T23:00:00Z
103,R,4,59.5,resale,2026-04-03T23:00:00Z
103,R,3,59.5,resale,2026-04-03T23:00:00Z
103,S,1,59.5,resale,2026-04-03T23:00:00Z
103,S,2,59.5,resale,2026-04-03T23:00:00Z
103,T,20,59.5,resale,2026-04-03T23:00:00Z
103,T,21,59.5,resale,2026-04-03T23:00:00Z
103,U,20,59.5,resale,2026-04-03T23:00:00Z
103,U,21,59.5,resale,2026-04-03T23:00:00Z
103A,BB,10,33.32,resale,2026-04-03T23:00:00Z
103A,BB,19,33.32,resale,2026-04-03T23:00:00Z
103A,BB,20,33.32,resale,2026-04-03T23:00:00Z
