offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BWGA,101,1,140.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGI,101,2,129.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHA,101,1,161.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHE,102,1,149.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGI,102,2,129.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHE,102,1,149.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGM,103,2,220.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGQ,103,5,196.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHA,103,1,161.98,standard,2026-04-07T01:16:11Z
GJ6DC7BUHE,104,1,327.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGI,104,9,221.98,standard,2026-04-07T01:16:11Z
GJ6DC7BUHA,105,4,338.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGE,105,4,241.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGA,106,6,277.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGI,106,6,221.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGM,107,2,220.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGQ,107,11,196.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHA,107,2,161.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGE,107A,7,130.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHE,108,6,149.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHA,109,3,161.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHA,110,2,161.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHE,110,2,149.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGA,110,5,140.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHE,111,2,149.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGQ,112,2,196.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGE,112A,4,130.98,standard,2026-04-07T01:16:11Z
GJ6DC7BUHE,113,3,327.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGA,113,14,277.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGI,113,6,221.98,standard,2026-04-07T01:16:11Z
GJ6DC7BUHA,114,6,338.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGE,114,8,241.98,standard,2026-04-07T01:16:11Z
GJ6DC7BUHE,115,6,327.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGA,115,2,277.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGI,115,15,221.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVGQ,116,4,196.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHA,116,4,161.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGE,116A,9,130.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHE,117,9,149.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGA,118,10,140.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGI,118,2,129.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVHE,118,4,149.98,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,202,3,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,203,1,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,204,7,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,205,4,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,207,6,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,207,2,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGM,208,6,87.96,standard,2026-04-07T01:16:11Z
GJ6DC7BWGQ,208,1,68.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,208,8,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGM,209,1,87.96,standard,2026-04-07T01:16:11Z
GJ6DC7BWGQ,209,2,68.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,209,19,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGM,210,4,87.96,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,210,16,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,211,3,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,212,14,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,212,4,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,213,4,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,214,4,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,215,2,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWG4,216,6,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,217,4,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWG4,217,2,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,218,2,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,218,7,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,219,4,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,219,23,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,220,9,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,220,12,42.02,standard,2026-04-07T01:16:11Z
GJ6DCMBUGIYDAMBQGAYDAN34GI2S4MBQPQZS4NZQPR6HYMBOGM3XY7D4,221,2,29.07,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,221,3,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGQ,223,14,68.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGM,224,2,87.96,standard,2026-04-07T01:16:11Z
GJ6DC7BWGQ,224,16,68.59,standard,2026-04-07T01:16:11Z
GJ6DCMBUGIYDAMBQGAYDAN34GI2S4MBQPQZS4NZQPR6HYMBOGM3XY7D4,225,2,29.07,standard,2026-04-07T01:16:11Z
GJ6DC7BWGQ,225,13,68.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGQ,226,12,68.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,227,8,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,229,3,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGU,231,3,60.59,standard,2026-04-07T01:16:11Z
GJ6DC7BWGY,231,4,42.02,standard,2026-04-07T01:16:11Z
GJ6DC7BVG4,PINN10,6,139.98,standard,2026-04-07T01:16:11Z
GJ6DC7BVG4,PINN11,1,139.98,standard,2026-04-07T01:16:11Z
