offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BWGA,101,4,170.09,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DA,101,4,170.09,standard,2026-03-29T00:22:20Z
GN6DCMJVGQZDSMJXGIYHYMJXMYYTMMRVGEYTK,101,2,135.3,resale,2026-03-29T00:22:20Z
GN6DCMJVGMYTSMZYGU2XYMJXMVSGGMLDGIYDK,101,2,138.99,resale,2026-03-29T00:22:20Z
GJ6DC7BWGI,101,2,133.37,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DE,101,2,133.37,standard,2026-03-29T00:22:20Z
GN6DCMJVGQYTMNRQHAYHYMJXMYYTMOLGMYYDK,102,2,147.6,resale,2026-03-29T00:22:20Z
GN6DCMJVGQZTANJTGMZHYMJXMYYTMYTFGU4DK,102,2,147.6,resale,2026-03-29T00:22:20Z
GJ6DC7BWGI,102,2,133.37,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DE,102,2,133.37,standard,2026-03-29T00:22:20Z
GN6DCMJVGM4TQMJQGUZHYMJXMYYDMMJSGI4DK,102,1,145.14,resale,2026-03-29T00:22:20Z
GJ6DC7BWGM,102,2,125.06,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DG,102,2,125.06,standard,2026-03-29T00:22:20Z
GJ6DC7BWGM,102,2,125.06,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DG,102,2,125.06,standard,2026-03-29T00:22:20Z
GN6DCMJVGI2TKMJQGI3XYMJXMYYWGZJQGJSTK,102L,1,221.4,resale,2026-03-29T00:22:20Z
GN6DCMJVGQYTKNBYGEZXYMJXMYYGMOBWGUZDK,102L,2,215.25,resale,2026-03-29T00:22:20Z
GN6DCMJVGQ2DCNBQGMZXYMJXMYYWGZRSG5SDK,103,2,126.69,resale,2026-03-29T00:22:20Z
GJ6DC7BWGM,103,4,125.06,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DG,103,4,125.06,standard,2026-03-29T00:22:20Z
GN6DCMJUGQZDENZVHAZHYMJXMQYTKMZVMVQTK,103,2,135.3,resale,2026-03-29T00:22:20Z
GN6DCMJVGQ2DEMZUGI3XYMJXMYYWIOJVHA3TK,103L,1,196.8,resale,2026-03-29T00:22:20Z
GJ6DC7BWGA,103L,5,170.09,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DA,103L,5,170.09,standard,2026-03-29T00:22:20Z
GN6DCMJVGEYTEMZYGU2HYMJXMYYTKOBZHEZTK,104,1,153.75,resale,2026-03-29T00:22:20Z
GJ6DC7BWGE,104,5,148.77,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DC,104,5,148.77,standard,2026-03-29T00:22:20Z
GJ6DC7BWGI,104,2,133.37,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DE,104,2,133.37,standard,2026-03-29T00:22:20Z
GN6DCMJVGE4TGOJZGY4HYMJXMVQWIOLEMUZDK,104,1,184.5,resale,2026-03-29T00:22:20Z
GN6DCMJVGM4TQNZZG4ZXYMJXMYYWGODFGI4TK,105,2,113.16,resale,2026-03-29T00:22:20Z
GJ6DC7BVHE,105,5,154.69,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TS,105,5,154.69,standard,2026-03-29T00:22:20Z
GN6DCMJVGEYDSOJSGM2XYMJXMVSDOM3CMU2DK,105,2,147.6,resale,2026-03-29T00:22:20Z
GN6DCMJVGQZDQMRZGAYXYMJXMYYTKOBZMNSDK,105,2,138.99,resale,2026-03-29T00:22:20Z
GN6DCMJVGEYDSOJUGY4HYMJXMVSDONBZG44TK,105,2,147.6,resale,2026-03-29T00:22:20Z
GJ6DIQJUGAYDAMBRPQ2TS,105,5,172.47,standard,2026-03-29T00:22:20Z
GN6DCMJVGI4TQMRXGU4XYMJXMVSDKMDDGI2TK,106,2,199.26,resale,2026-03-29T00:22:20Z
GJ6DC7BVG4,106,4,170.09,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TO,106,4,170.09,standard,2026-03-29T00:22:20Z
GJ6DC7BVG4,106,1,170.09,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TO,106,1,170.09,standard,2026-03-29T00:22:20Z
GJ6DGMJUGAYDAMBUPQ2TA,107,2,545.78,standard,2026-03-29T00:22:20Z
GJ6DC7BVGI,107,4,251.88,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TE,107,4,251.88,standard,2026-03-29T00:22:20Z
GN6DCMJVGM3DAMBXGEYHYMJXMYYGEODEMRQTK,107,2,202.95,resale,2026-03-29T00:22:20Z
GN6DCMJVGM2DMNRQGMYXYMJXMYYDONLCMVQTK,108,2,334.56,resale,2026-03-29T00:22:20Z
GN6DCMJUGYZTSMJSGU4HYMJXMYYGCMLEHA3TK,108,2,332.1,resale,2026-03-29T00:22:20Z
GJ6DGMJUGAYDAMBUPQ2DQ,108,3,547.0,standard,2026-03-29T00:22:20Z
GJ6DGMJUGAYDAMBUPQ2TA,108,1,545.78,standard,2026-03-29T00:22:20Z
GJ6DGMJUGAYDAMBUPQ2TA,109,1,545.78,standard,2026-03-29T00:22:20Z
GN6DCMJVGEZDCOJSHA3XYMJXMYYWIMTEME2TK,109,1,258.3,resale,2026-03-29T00:22:20Z
GN6DCMJVGQZTMNZXGYZXYMJXMYYWGMLDGU4TK,109,2,123.0,resale,2026-03-29T00:22:20Z
GJ6DC7BVGI,109,18,251.88,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TE,109,18,251.88,standard,2026-03-29T00:22:20Z
GN6DCMJUG4ZTENBXGM4HYMJXMUYDKMZRMRSDK,109,2,239.85,resale,2026-03-29T00:22:20Z
GN6DCMJTGEZTKOJZGAZHYMJXME4DAMZYGZRDK,109,2,270.6,resale,2026-03-29T00:22:20Z
GN6DCMJVGMZDCNBTGM2HYMJXMVSGIMTFHE3TK,109,2,246.0,resale,2026-03-29T00:22:20Z
GN6DCMJUGUYDMMZYG44HYMJXMQ3DINZSGA3DK,110,1,183.27,resale,2026-03-29T00:22:20Z
GN6DCMJVGQZDOMBSGE3HYMJXMYYTSMRXGVTDK,110,2,182.04,resale,2026-03-29T00:22:20Z
GJ6DC7BVG4,110,7,170.09,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TO,110,7,170.09,standard,2026-03-29T00:22:20Z
GN6DCMJVGQZDOMBSGM3XYMJXMYYWIZBWGM3DK,111,1,135.3,resale,2026-03-29T00:22:20Z
GN6DCMJVGQZTSNZRGUYXYMJXMYYWGYTBMQYDK,111,2,92.25,resale,2026-03-29T00:22:20Z
GN6DCMJVGQZTCNRSGY3HYMJXMYYTONJXGY4TK,111,2,123.0,resale,2026-03-29T00:22:20Z
GJ6DC7BVHE,111,5,154.69,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TS,111,5,154.69,standard,2026-03-29T00:22:20Z
GN6DCMJVGM3TAMJZGY4HYMJXMVTDIZRTGIZTK,111,2,152.52,resale,2026-03-29T00:22:20Z
GN6DCMJUGY4TCNJWHA3XYMJXMRQWCM3FMNSTK,111,2,169.74,resale,2026-03-29T00:22:20Z
GJ6DC7BWGE,112,6,148.77,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DC,112,6,148.77,standard,2026-03-29T00:22:20Z
GJ6DC7BWGI,112,9,133.37,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DE,112,9,133.37,standard,2026-03-29T00:22:20Z
GN6DCMJVGQ2DAMRTGIYXYMJXMYYWGMLEHA2DK,113,2,130.96,resale,2026-03-29T00:22:20Z
GJ6DC7BWGM,113,1,125.06,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DG,113,1,125.06,standard,2026-03-29T00:22:20Z
GJ6DC7BVGQ,114,4,148.77,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TI,114,4,148.77,standard,2026-03-29T00:22:20Z
GN6DCMJVGQYTGNJRGQ4HYMJXMYYGKNJSGE3DK,114,2,136.53,resale,2026-03-29T00:22:20Z
GJ6DC7BWGM,114,1,125.06,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DG,114,1,125.06,standard,2026-03-29T00:22:20Z
GN6DCMJVGQYDSNJYGM4HYMJXMYYTMMBSGY4TK,115,2,166.05,resale,2026-03-29T00:22:20Z
GN6DCMJVGMYDGMZSGY2XYMJXMVSDOOLBG4YTK,115,2,135.3,resale,2026-03-29T00:22:20Z
GJ6DC7BWGE,115,2,148.77,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DC,115,2,148.77,standard,2026-03-29T00:22:20Z
GJ6DC7BWGI,115,4,133.37,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DE,115,4,133.37,standard,2026-03-29T00:22:20Z
GJ6DC7BWGI,115,1,133.37,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ3DE,115,1,133.37,standard,2026-03-29T00:22:20Z
GN6DCMJVGQYDIOBWGQYHYMJXMYYDSODFGE2DK,115L,2,284.13,resale,2026-03-29T00:22:20Z
GN6DCMJVGQ2DANRRGQZHYMJXMYYWGN3BGI4DK,116,2,116.85,resale,2026-03-29T00:22:20Z
GN6DCMJVGM2TKOJXGI4HYMJXMYYWINJZMRSTK,116,1,140.22,resale,2026-03-29T00:22:20Z
GN6DCMJVGQZDANZSGYYXYMJXMYYWKMZQHFQTK,116,2,108.24,resale,2026-03-29T00:22:20Z
GJ6DC7BVHE,116,6,154.69,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TS,116,6,154.69,standard,2026-03-29T00:22:20Z
GJ6DC7BVHE,116,1,154.69,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TS,116,1,154.69,standard,2026-03-29T00:22:20Z
GN6DCMJSGQ2TSMBXGYYXYMJXME4DANBQGE4TK,117,2,233.7,resale,2026-03-29T00:22:20Z
GN6DCMJUG4YDQNZTGQ3XYMJXMYYGGMBRGMZTK,117,2,147.6,resale,2026-03-29T00:22:20Z
GN6DCMJVGMYTQMZXGE3HYMJXMVSGEOLCGY3DK,117,1,172.2,resale,2026-03-29T00:22:20Z
GJ6DC7BVG4,117,1,170.09,standard,2026-03-29T00:22:20Z
GJ6EIOBQGAYDAMBWPQ2TO,117,1,170.09,standard,2026-03-29T00:22:20Z
GJ6DC7BVG4,117,1,170.09,standard,2026-03-29T00:22:20Z
