offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQZDSMJXGIYHYMJXMYYTMMRVGEYTK,101,2,128.7,resale,2026-03-28T22:29:59Z
GN6DCMJVGMYTSMZYGU2XYMJXMVSGGMLDGIYDK,101,2,132.21,resale,2026-03-28T22:29:59Z
GN6DCMJVGQYTMNRQHAYHYMJXMYYTMOLGMYYDK,102,2,140.4,resale,2026-03-28T22:29:59Z
GN6DCMJVGQZTANJTGMZHYMJXMYYTMYTFGU4DK,102,2,140.4,resale,2026-03-28T22:29:59Z
GN6DCMJVGM4TQMJQGUZHYMJXMYYDMMJSGI4DK,102,1,138.06,resale,2026-03-28T22:29:59Z
GN6DCMJVGQYTKNBYGEZXYMJXMYYGMOBWGUZDK,102L,2,204.75,resale,2026-03-28T22:29:59Z
GN6DCMJUGQZDENZVHAZHYMJXMQYTKMZVMVQTK,103,2,128.7,resale,2026-03-28T22:29:59Z
GN6DCMJVGEYTEMZYGU2HYMJXMYYTKOBZHEZTK,104,1,146.25,resale,2026-03-28T22:29:59Z
GN6DCMJVGE4TGOJZGY4HYMJXMVQWIOLEMUZDK,104,1,175.5,resale,2026-03-28T22:29:59Z
GN6DCMJVGEYDSOJSGM2XYMJXMVSDOM3CMU2DK,105,2,140.4,resale,2026-03-28T22:29:59Z
GN6DCMJVGQZDQMRZGAYXYMJXMYYTKOBZMNSDK,105,2,132.21,resale,2026-03-28T22:29:59Z
GN6DCMJVGEYDSOJUGY4HYMJXMVSDONBZG44TK,105,2,140.4,resale,2026-03-28T22:29:59Z
GJ6DIQJUGAYDAMBRPQ2TS,105,5,172.47,standard,2026-03-28T22:29:59Z
GN6DCMJVGI4TQMRXGU4XYMJXMVSDKMDDGI2TK,106,2,189.54,resale,2026-03-28T22:29:59Z
GN6DCMJVGM3DAMBXGEYHYMJXMYYGEODEMRQTK,107,2,193.05,resale,2026-03-28T22:29:59Z
GN6DCMJVGM2DMNRQGMYXYMJXMYYDONLCMVQTK,108,2,318.24,resale,2026-03-28T22:29:59Z
GN6DCMJUGYZTSMJSGU4HYMJXMYYGCMLEHA3TK,108,2,315.9,resale,2026-03-28T22:29:59Z
GJ6DGMJUGAYDAMBUPQ2TA,109,1,545.78,standard,2026-03-28T22:29:59Z
GN6DCMJUG4ZTENBXGM4HYMJXMUYDKMZRMRSDK,109,2,228.15,resale,2026-03-28T22:29:59Z
GN6DCMJTGEZTKOJZGAZHYMJXME4DAMZYGZRDK,109,2,257.4,resale,2026-03-28T22:29:59Z
GN6DCMJVGMZDCNBTGM2HYMJXMVSGIMTFHE3TK,109,2,234.0,resale,2026-03-28T22:29:59Z
GN6DCMJUGUYDMMZYG44HYMJXMQ3DINZSGA3DK,110,1,174.33,resale,2026-03-28T22:29:59Z
GN6DCMJVGQZDOMBSGE3HYMJXMYYTSMRXGVTDK,110,2,173.16,resale,2026-03-28T22:29:59Z
GN6DCMJVGQZTCNRSGY3HYMJXMYYTONJXGY4TK,111,2,117.0,resale,2026-03-28T22:29:59Z
