offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DSNRWGI2DKMRSGV6DCN3GGFQTQNDGMM2Q,101,2,155.61,resale,2026-03-28T22:29:59Z
GN6DCMJVGM3DINBTGA3XYMJXMYYTQZTCGAYTK,101,2,138.06,resale,2026-03-28T22:29:59Z
GN6DCMJUG4ZTSMZTGUYXYMJXMUYDKNDFHA3DK,101,2,141.57,resale,2026-03-28T22:29:59Z
GN6DCMJVGIZDIMRTGAYXYMJXMYYTQYZQGQ3TK,101,1,140.4,resale,2026-03-28T22:29:59Z
GN6DCMJVGQZDSMJXGIYHYMJXMYYTMMRVGEYTK,101,2,128.7,resale,2026-03-28T22:29:59Z
GN6DCMJVGQZTKOJUGA3HYMJXMYYWCMLGGIYTK,101,1,105.3,resale,2026-03-28T22:29:59Z
GN6DCMJVGMYTSMZYGU2XYMJXMVSGGMLDGIYDK,101,2,132.21,resale,2026-03-28T22:29:59Z
GJ6DC7BWGI,101,2,133.37,standard,2026-03-28T22:29:59Z
GJ6EIOBQGAYDAMBWPQ3DE,101,2,133.37,standard,2026-03-28T22:29:59Z
GN6DCMJVGQYTMNRQHAYHYMJXMYYTMOLGMYYDK,102,2,140.4,resale,2026-03-28T22:29:59Z
GN6DCMJVGA3TGMJSG4YXYMJXMYYTQOJRGRSDK,102,2,132.21,resale,2026-03-28T22:29:59Z
GN6DCMJVGQZTANJTGMZHYMJXMYYTMYTFGU4DK,102,2,140.4,resale,2026-03-28T22:29:59Z
GJ6DC7BWGI,102,2,133.37,standard,2026-03-28T22:29:59Z
GJ6EIOBQGAYDAMBWPQ3DE,102,2,133.37,standard,2026-03-28T22:29:59Z
GJ6DC7BWGM,102,3,125.06,standard,2026-03-28T22:29:59Z
GJ6EIOBQGAYDAMBWPQ3DG,102,3,125.06,standard,2026-03-28T22:29:59Z
GN6DCMJVGM4TQMJQGUZHYMJXMYYDMMJSGI4DK,102,1,138.06,resale,2026-03-28T22:29:59Z
GJ6DC7BWGM,102,2,125.06,standard,2026-03-28T22:29:59Z
GJ6EIOBQGAYDAMBWPQ3DG,102,2,125.06,standard,2026-03-28T22:29:59Z
GN6DCMJVGI2TKMJQGI3XYMJXMVRTIOLDGUZTK,102L,1,210.6,resale,2026-03-28T22:29:59Z
GN6DCMJVGQYTKNBYGEZXYMJXMYYGMOBWGUZDK,102L,2,204.75,resale,2026-03-28T22:29:59Z
GN6DCMJVGM4TMOJWGYYXYMJXMYYWCOBZGYYDK,103,2,135.72,resale,2026-03-28T22:29:59Z
