section,row,seat,price_usd,selection_type,scraped_at
101,A,5,153.75,resale,2026-04-06T22:00:00Z
101,A,6,153.75,resale,2026-04-06T22:00:00Z
101,G,12,153.75,resale,2026-04-06T22:00:00Z
101,G,13,153.75,resale,2026-04-06T22:00:00Z
101,S,21,153.75,resale,2026-04-06T22:00:00Z
101,S,22,153.75,resale,2026-04-06T22:00:00Z
101L,E,5,399.75,resale,2026-04-06T22:00:00Z
101L,E,6,399.75,resale,2026-04-06T22:00:00Z
102,F,12,154.69,standard,2026-04-06T22:00:00Z
102,F,13,154.69,standard,2026-04-06T22:00:00Z
102,H,1,154.69,standard,2026-04-06T22:00:00Z
102,H,2,154.69,standard,2026-04-06T22:00:00Z
102,U,10,154.69,standard,2026-04-06T22:00:00Z
102,U,11,154.69,standard,2026-04-06T22:00:00Z
102L,K,10,354.24,resale,2026-04-06T22:00:00Z
102L,K,11,354.24,resale,2026-04-06T22:00:00Z
102L,K,5,354.24,resale,2026-04-06T22:00:00Z
102L,K,6,354.24,resale,2026-04-06T22:00:00Z
103,B,4,204.18,resale,2026-04-06T22:00:00Z
103,B,5,204.18,resale,2026-04-06T22:00:00Z
103,D,5,204.18,resale,2026-04-06T22:00:00Z
103,D,6,204.18,resale,2026-04-06T22:00:00Z
103,N,4,204.18,resale,2026-04-06T22:00:00Z
103,N,5,204.18,resale,2026-04-06T22:00:00Z
103L,A,10,276.75,resale,2026-04-06T22:00:00Z
103L,A,2,276.75,resale,2026-04-06T22:00:00Z
103L,A,3,276.75,resale,2026-04-06T22:00:00Z
103L,A,9,276.75,resale,2026-04-06T22:00:00Z
103L,H,10,276.75,resale,2026-04-06T22:00:00Z
103L,H,11,276.75,resale,2026-04-06T22:00:00Z
104,E,1,221.4,resale,2026-04-06T22:00:00Z
104,E,2,221.4,resale,2026-04-06T22:00:00Z
104,T,9,221.4,resale,2026-04-06T22:00:00Z
104,T,10,221.4,resale,2026-04-06T22:00:00Z
105,T,18,178.35,resale,2026-04-06T22:00:00Z
105,T,19,178.35,resale,2026-04-06T22:00:00Z
107,T,17,307.5,resale,2026-04-06T22:00:00Z
107,T,18,307.5,resale,2026-04-06T22:00:00Z
108,TT,7,376.38,resale,2026-04-06T22:00:00Z
108,TT,8,376.38,resale,2026-04-06T22:00:00Z
108,VV,11,376.38,resale,2026-04-06T22:00:00Z
108,VV,12,376.38,resale,2026-04-06T22:00:00Z
109,EE,12,343.17,resale,2026-04-06T22:00:00Z
109,EE,13,343.17,resale,2026-04-06T22:00:00Z
109,Q,11,343.17,resale,2026-04-06T22:00:00Z
109,Q,12,343.17,resale,2026-04-06T22:00:00Z
109,T,17,343.17,resale,2026-04-06T22:00:00Z
109,T,18,343.17,resale,2026-04-06T22:00:00Z
109,U,4,343.17,resale,2026-04-06T22:00:00Z
109,U,3,343.17,resale,2026-04-06T22:00:00Z
110,V,1,250.72,standard,2026-04-06T22:00:00Z
110,V,2,250.72,standard,2026-04-06T22:00:00Z
111,J,1,184.5,resale,2026-04-06T22:00:00Z
111,J,2,184.5,resale,2026-04-06T22:00:00Z
111,L,4,184.5,resale,2026-04-06T22:00:00Z
111,L,3,184.5,resale,2026-04-06T22:00:00Z
111,M,12,184.5,resale,2026-04-06T22:00:00Z
111,M,13,184.5,resale,2026-04-06T22:00:00Z
111,V,20,184.5,resale,2026-04-06T22:00:00Z
111,V,21,184.5,resale,2026-04-06T22:00:00Z
111,Y,13,184.5,resale,2026-04-06T22:00:00Z
111,Y,14,184.5,resale,2026-04-06T22:00:00Z
112,Q,1,158.24,standard,2026-04-06T22:00:00Z
112,Q,2,158.24,standard,2026-04-06T22:00:00Z
112,R,1,158.24,standard,2026-04-06T22:00:00Z
112,R,2,158.24,standard,2026-04-06T22:00:00Z
112,T,4,158.24,standard,2026-04-06T22:00:00Z
112,T,3,158.24,standard,2026-04-06T22:00:00Z
113,F,12,154.69,standard,2026-04-06T22:00:00Z
113,F,13,154.69,standard,2026-04-06T22:00:00Z
113,N,1,154.69,standard,2026-04-06T22:00:00Z
113,N,2,154.69,standard,2026-04-06T22:00:00Z
114,K,17,147.6,resale,2026-04-06T22:00:00Z
114,K,18,147.6,resale,2026-04-06T22:00:00Z
115,H,7,184.5,resale,2026-04-06T22:00:00Z
115,H,8,184.5,resale,2026-04-06T22:00:00Z
115,J,9,184.5,resale,2026-04-06T22:00:00Z
115,J,10,184.5,resale,2026-04-06T22:00:00Z
115,P,4,184.5,resale,2026-04-06T22:00:00Z
115,P,3,184.5,resale,2026-04-06T22:00:00Z
115,Q,19,184.5,resale,2026-04-06T22:00:00Z
115,Q,20,184.5,resale,2026-04-06T22:00:00Z
115L,A,3,362.85,resale,2026-04-06T22:00:00Z
115L,A,4,362.85,resale,2026-04-06T22:00:00Z
116,P,6,202.95,resale,2026-04-06T22:00:00Z
116,P,7,202.95,resale,2026-04-06T22:00:00Z
116,S,1,202.95,resale,2026-04-06T22:00:00Z
116,S,2,202.95,resale,2026-04-06T22:00:00Z
116,X,11,202.95,resale,2026-04-06T22:00:00Z
116,X,12,202.95,resale,2026-04-06T22:00:00Z
117,U,16,293.97,resale,2026-04-06T22:00:00Z
117,U,17,293.97,resale,2026-04-06T22:00:00Z
118,GG,12,314.88,resale,2026-04-06T22:00:00Z
118,GG,13,314.88,resale,2026-04-06T22:00:00Z
118,HH,17,314.88,resale,2026-04-06T22:00:00Z
118,HH,18,314.88,resale,2026-04-06T22:00:00Z
118,JJ,17,314.88,resale,2026-04-06T22:00:00Z
118,JJ,18,314.88,resale,2026-04-06T22:00:00Z
118,JJ,5,314.88,resale,2026-04-06T22:00:00Z
118,JJ,6,314.88,resale,2026-04-06T22:00:00Z
118,NN,15,314.88,resale,2026-04-06T22:00:00Z
118,NN,16,314.88,resale,2026-04-06T22:00:00Z
118,Q,17,314.88,resale,2026-04-06T22:00:00Z
118,Q,18,314.88,resale,2026-04-06T22:00:00Z
118,W,15,314.88,resale,2026-04-06T22:00:00Z
118,W,16,314.88,resale,2026-04-06T22:00:00Z
119,HH,3,492.0,resale,2026-04-06T22:00:00Z
119,HH,4,492.0,resale,2026-04-06T22:00:00Z
119,KK,13,492.0,resale,2026-04-06T22:00:00Z
119,KK,14,492.0,resale,2026-04-06T22:00:00Z
119,MM,10,492.0,resale,2026-04-06T22:00:00Z
119,MM,11,492.0,resale,2026-04-06T22:00:00Z
119,MM,13,492.0,resale,2026-04-06T22:00:00Z
119,MM,14,492.0,resale,2026-04-06T22:00:00Z
119,TT,3,492.0,resale,2026-04-06T22:00:00Z
119,TT,4,492.0,resale,2026-04-06T22:00:00Z
120,BB,11,314.88,resale,2026-04-06T22:00:00Z
