offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGU2TAOJTGIZHYMJXMY3DAM3EMU3TK,101,2,242.0,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3DMNRVHEYHYMJXMY3DSYJTMU2TK,101,2,118.58,resale,2026-03-30T22:00:00Z
GN6DCMJUGE4TGNZQHA2HYMJXMNTGGY3BGIZDK,101,2,189.97,resale,2026-03-30T22:00:00Z
GN6DCMJUHEYTONBYHAZHYMJXMY3GKNDCGVSTK,101,2,442.86,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TOOJUHA2HYMJXMY3GMNRWGIYTK,101,1,574.75,resale,2026-03-30T22:00:00Z
GN6DCMJRGI4DOMBZG44HYMJXMMYDONBWGY4TK,101,2,137.94,resale,2026-03-30T22:00:00Z
GJ6DC7BVGE,101,2,414.45,standard,2026-03-30T22:00:00Z
GN6DCMJVGU3TONJZG42HYMJXMY3GMM3BHFQTK,102,2,151.25,resale,2026-03-30T22:00:00Z
GN6DCMJVGQ3TGMJXGE4XYMJXMYZTCNDBG4YDK,102,2,163.35,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TINRVGYYXYMJXMY3GIYRQGNQTK,102,2,142.78,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TINRUGA4HYMJXMY3GIYJWGI4DK,102,2,142.78,resale,2026-03-30T22:00:00Z
GN6DCMJVGU2DSNBVHAYXYMJXMY3DAZLDGY4DK,102,2,119.79,resale,2026-03-30T22:00:00Z
GN6DCMJVGA3DQMJRGMYXYMJXMU3TAMZVMIYDK,102,4,205.7,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TSMBXGQ2HYMJXMY3TAMDDGE2DK,103,2,,resale,2026-03-30T22:00:00Z
GN6DCMJVGQ4TQNZXGEYHYMJXMY3GMYTCGRTDK,103,4,243.21,resale,2026-03-30T22:00:00Z
GJ6DC7BWGM,103,2,150.2,standard,2026-03-30T22:00:00Z
GJ6DC7BWGI,104,2,162.9,standard,2026-03-30T22:00:00Z
GJ6DC7BVGA,105,1,477.3,standard,2026-03-30T22:00:00Z
GJ6DC7BVHA,105,1,232.05,standard,2026-03-30T22:00:00Z
GN6DCMJVGIYDMMRQGEYHYMJXMY2WGYJTMU4DK,105,2,314.6,resale,2026-03-30T22:00:00Z
GN6DCMJUHAYTQMRUHA4XYMJXMUYDKMZZGA4TK,105,2,266.2,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TMNZRG44HYMJXMY3GMYZSGU4TK,105,2,242.0,resale,2026-03-30T22:00:00Z
GN6DCMJTGU4DGNJZGQ2XYMJXMNRWGZRTG5STK,105,2,239.58,resale,2026-03-30T22:00:00Z
GN6DCMJVGEYDOOBVGUYXYMJXMU4DIN3DMJSDK,105,2,200.86,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TQNJVGY2XYMJXMY3GMZBVMNTDK,105,5,423.5,resale,2026-03-30T22:00:00Z
GN6DCMJVGUYTCNBVG44XYMJXMY3GKNBTGA3DK,105,2,356.95,resale,2026-03-30T22:00:00Z
GN6DCMJTGQ4TGMJSGMZXYMJXMMYDONBXG44DK,106,2,471.9,resale,2026-03-30T22:00:00Z
GN6DCMBTHA3TKNZRG42XYMJXMMYDONBUMNSTK,106,1,551.76,resale,2026-03-30T22:00:00Z
GN6DCMJVGQZDSNZRHA2HYMJXMY2DAZLGGEZDK,106,2,375.1,resale,2026-03-30T22:00:00Z
GN6DCMJVGMYDONBTG43HYMJXMVSDSNRVG43TK,106,2,313.39,resale,2026-03-30T22:00:00Z
GN6DCMJVGU2DSNRZGEZHYMJXMY3GMMJVHFQTK,106,2,338.8,resale,2026-03-30T22:00:00Z
GN6DCMJVGUZTGOJWGMYXYMJXMY3DQM3CMI3TK,107,4,484.0,resale,2026-03-30T22:00:00Z
GN6DCMJVGU2TCMZVGY4XYMJXMY3DOMBTMMYTK,107,2,363.0,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TKNZXGA2HYMJXMY3GMZBRGBSDK,107,1,290.4,resale,2026-03-30T22:00:00Z
GN6DCMJVGU2TIOBXGE3HYMJXMY3GINJUGI4DK,107,2,272.25,resale,2026-03-30T22:00:00Z
GJ6DC7BVGM,107,2,382.95,standard,2026-03-30T22:00:00Z
GN6DCMJVGU2DSNRXGU2HYMJXMY3GMZRWGM2TK,107,2,198.44,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TMOJWGYZHYMJXMY3GKZDDGUYDK,107,2,365.42,resale,2026-03-30T22:00:00Z
GJ6DC7BVGA,108,1,477.3,standard,2026-03-30T22:00:00Z
GN6DCMJVGU3TOMJRGU3HYMJXMY3GKZTBMJTDK,108,2,219.01,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TINJVGQYXYMJXMY3GMNRWMJSTK,108,4,,resale,2026-03-30T22:00:00Z
GN6DCMJVGQ3TONRYGQ2XYMJXMYZTGN3BGY4DK,108,2,254.1,resale,2026-03-30T22:00:00Z
GN6DCMJUGAZTINBZGEZXYMJXMMYDONBUHA3DK,108,2,356.95,resale,2026-03-30T22:00:00Z
GN6DCMJVGU2DANJRGIZHYMJXMY3GGZRRG44DK,108,2,181.5,resale,2026-03-30T22:00:00Z
GN6DCMJUHEZDENRRGM2HYMJXMUZGCMBVGQ3TK,108,2,194.81,resale,2026-03-30T22:00:00Z
GN6DCMJSGYZTKOBUGI4XYMJXMY3GMMZUGNSTK,108,2,434.39,resale,2026-03-30T22:00:00Z
GN6DCMJVGU3TQNZXGA2HYMJXMY3GMZLCGI2TK,108,2,250.47,resale,2026-03-30T22:00:00Z
