section,row,seat,price_usd,selection_type,scraped_at
101,1,13,143.99,resale,2026-04-12T21:03:23Z
101,1,14,143.99,resale,2026-04-12T21:03:23Z
101,13,5,143.99,resale,2026-04-12T21:03:23Z
101,13,6,143.99,resale,2026-04-12T21:03:23Z
102,12,3,133.1,resale,2026-04-12T21:03:23Z
102,12,4,133.1,resale,2026-04-12T21:03:23Z
102,12,8,133.1,resale,2026-04-12T21:03:23Z
102,12,9,133.1,resale,2026-04-12T21:03:23Z
102,13,1,133.1,resale,2026-04-12T21:03:23Z
102,13,2,133.1,resale,2026-04-12T21:03:23Z
102,14,9,133.1,resale,2026-04-12T21:03:23Z
102,14,10,133.1,resale,2026-04-12T21:03:23Z
102,35,10,133.1,resale,2026-04-12T21:03:23Z
102,35,11,133.1,resale,2026-04-12T21:03:23Z
103,32,1,121.0,resale,2026-04-12T21:03:23Z
103,32,2,121.0,resale,2026-04-12T21:03:23Z
105,8,7,137.94,resale,2026-04-12T21:03:23Z
105,8,8,137.94,resale,2026-04-12T21:03:23Z
105,9,1,137.94,resale,2026-04-12T21:03:23Z
105,9,2,137.94,resale,2026-04-12T21:03:23Z
105,9,11,137.94,resale,2026-04-12T21:03:23Z
105,9,12,137.94,resale,2026-04-12T21:03:23Z
105,10,17,137.94,resale,2026-04-12T21:03:23Z
105,10,18,137.94,resale,2026-04-12T21:03:23Z
105,17,13,137.94,resale,2026-04-12T21:03:23Z
105,17,14,137.94,resale,2026-04-12T21:03:23Z
105,24,11,137.94,resale,2026-04-12T21:03:23Z
105,24,12,137.94,resale,2026-04-12T21:03:23Z
106,3,1,266.2,resale,2026-04-12T21:03:23Z
106,3,2,266.2,resale,2026-04-12T21:03:23Z
106,12,7,266.2,resale,2026-04-12T21:03:23Z
106,12,8,266.2,resale,2026-04-12T21:03:23Z
107,14,19,193.6,resale,2026-04-12T21:03:23Z
107,14,20,193.6,resale,2026-04-12T21:03:23Z
107,21,3,193.6,resale,2026-04-12T21:03:23Z
107,21,4,193.6,resale,2026-04-12T21:03:23Z
107,21,17,193.6,resale,2026-04-12T21:03:23Z
107,21,18,193.6,resale,2026-04-12T21:03:23Z
108,15,8,151.25,resale,2026-04-12T21:03:23Z
108,15,9,151.25,resale,2026-04-12T21:03:23Z
108,19,4,151.25,resale,2026-04-12T21:03:23Z
108,19,5,151.25,resale,2026-04-12T21:03:23Z
111,14,11,121.0,resale,2026-04-12T21:03:23Z
111,14,12,121.0,resale,2026-04-12T21:03:23Z
111,23,11,121.0,resale,2026-04-12T21:03:23Z
111,23,12,121.0,resale,2026-04-12T21:03:23Z
112,16,7,111.32,resale,2026-04-12T21:03:23Z
112,16,8,111.32,resale,2026-04-12T21:03:23Z
112,23,19,111.32,resale,2026-04-12T21:03:23Z
112,23,20,111.32,resale,2026-04-12T21:03:23Z
112,25,13,111.32,resale,2026-04-12T21:03:23Z
112,25,14,111.32,resale,2026-04-12T21:03:23Z
112,30,7,111.32,resale,2026-04-12T21:03:23Z
112,30,8,111.32,resale,2026-04-12T21:03:23Z
112,31,1,111.32,resale,2026-04-12T21:03:23Z
112,31,2,111.32,resale,2026-04-12T21:03:23Z
113,4,1,121.0,resale,2026-04-12T21:03:23Z
113,4,2,121.0,resale,2026-04-12T21:03:23Z
114,10,5,102.85,resale,2026-04-12T21:03:23Z
114,10,6,102.85,resale,2026-04-12T21:03:23Z
115,20,3,150.04,resale,2026-04-12T21:03:23Z
115,20,4,150.04,resale,2026-04-12T21:03:23Z
116,23,14,211.75,resale,2026-04-12T21:03:23Z
116,23,15,211.75,resale,2026-04-12T21:03:23Z
117,28,5,181.5,resale,2026-04-12T21:03:23Z
117,28,6,181.5,resale,2026-04-12T21:03:23Z
118,4,5,145.2,resale,2026-04-12T21:03:23Z
118,4,6,145.2,resale,2026-04-12T21:03:23Z
119,3,19,332.75,resale,2026-04-12T21:03:23Z
119,3,20,332.75,resale,2026-04-12T21:03:23Z
119,5,17,332.75,resale,2026-04-12T21:03:23Z
119,5,18,332.75,resale,2026-04-12T21:03:23Z
119,5,19,332.75,resale,2026-04-12T21:03:23Z
119,5,20,332.75,resale,2026-04-12T21:03:23Z
119,15,2,332.75,resale,2026-04-12T21:03:23Z
119,15,3,332.75,resale,2026-04-12T21:03:23Z
119,19,7,332.75,resale,2026-04-12T21:03:23Z
119,19,8,332.75,resale,2026-04-12T21:03:23Z
119,21,19,332.75,resale,2026-04-12T21:03:23Z
119,21,20,332.75,resale,2026-04-12T21:03:23Z
120,21,6,181.5,resale,2026-04-12T21:03:23Z
120,21,7,181.5,resale,2026-04-12T21:03:23Z
121,26,3,133.1,resale,2026-04-12T21:03:23Z
121,26,4,133.1,resale,2026-04-12T21:03:23Z
124,12,9,116.16,resale,2026-04-12T21:03:23Z
124,12,10,116.16,resale,2026-04-12T21:03:23Z
124,12,11,116.16,resale,2026-04-12T21:03:23Z
124,12,12,116.16,resale,2026-04-12T21:03:23Z
303,3,10,96.8,resale,2026-04-12T21:03:23Z
303,3,11,96.8,resale,2026-04-12T21:03:23Z
320,1,12,110.3,standard,2026-04-12T21:03:23Z
320,1,13,110.3,standard,2026-04-12T21:03:23Z
322,4,6,85.91,resale,2026-04-12T21:03:23Z
322,4,7,85.91,resale,2026-04-12T21:03:23Z
323,8,9,90.75,resale,2026-04-12T21:03:23Z
323,8,10,90.75,resale,2026-04-12T21:03:23Z
325,2,1,96.8,resale,2026-04-12T21:03:23Z
