section,row,seat,price_usd,selection_type,scraped_at
101,17,11,143.99,resale,2026-04-12T21:03:23Z
101,17,12,143.99,resale,2026-04-12T21:03:23Z
101,13,5,143.99,resale,2026-04-12T21:03:23Z
101,13,6,143.99,resale,2026-04-12T21:03:23Z
101,13,7,143.99,resale,2026-04-12T21:03:23Z
101,13,8,143.99,resale,2026-04-12T21:03:23Z
101,1,13,143.99,resale,2026-04-12T21:03:23Z
101,1,14,143.99,resale,2026-04-12T21:03:23Z
101,20,1,143.99,resale,2026-04-12T21:03:23Z
101,20,2,143.99,resale,2026-04-12T21:03:23Z
101,22,1,143.99,resale,2026-04-12T21:03:23Z
101,22,2,143.99,resale,2026-04-12T21:03:23Z
101,29,1,143.99,resale,2026-04-12T21:03:23Z
101,29,2,143.99,resale,2026-04-12T21:03:23Z
101,30,6,143.99,resale,2026-04-12T21:03:23Z
101,30,7,143.99,resale,2026-04-12T21:03:23Z
102,12,3,133.1,resale,2026-04-12T21:03:23Z
102,12,4,133.1,resale,2026-04-12T21:03:23Z
102,12,8,133.1,resale,2026-04-12T21:03:23Z
102,12,9,133.1,resale,2026-04-12T21:03:23Z
102,13,1,133.1,resale,2026-04-12T21:03:23Z
102,13,2,133.1,resale,2026-04-12T21:03:23Z
102,14,10,133.1,resale,2026-04-12T21:03:23Z
102,14,9,133.1,resale,2026-04-12T21:03:23Z
102,35,10,133.1,resale,2026-04-12T21:03:23Z
102,35,11,133.1,resale,2026-04-12T21:03:23Z
102,35,12,133.1,resale,2026-04-12T21:03:23Z
102,35,13,133.1,resale,2026-04-12T21:03:23Z
102,35,14,133.1,resale,2026-04-12T21:03:23Z
102,35,15,133.1,resale,2026-04-12T21:03:23Z
103,20,7,121.0,resale,2026-04-12T21:03:23Z
103,20,8,121.0,resale,2026-04-12T21:03:23Z
103,32,1,121.0,resale,2026-04-12T21:03:23Z
103,32,2,121.0,resale,2026-04-12T21:03:23Z
104,11,1,129.47,resale,2026-04-12T21:03:23Z
104,11,2,129.47,resale,2026-04-12T21:03:23Z
104,11,3,129.47,resale,2026-04-12T21:03:23Z
104,11,4,129.47,resale,2026-04-12T21:03:23Z
