offer_id,section,quantity,price_usd,selection_type,scraped_at
GN6DCMJVGQZTCMJYGE3XYMJXMYYTOMTGGYYDK,103,2,223.68,resale,2026-03-28T20:59:59Z
GN6DCMJVGMYTQOBZGQYHYMJXMVSGEZRTGRRTK,103,1,182.91,resale,2026-03-28T20:59:59Z
GN6DCMJTGA4TEMBVHEZXYMJXMFQTANZTGAZTK,107,2,237.66,resale,2026-03-28T20:59:59Z
GJ6DK7BWGY,110,9,195.94,standard,2026-03-28T20:59:59Z
GN6DCMJUGI3TANBQGQZXYMJXMVSGIY3CME4TK,110,2,318.05,resale,2026-03-28T20:59:59Z
GJ6DK7BWGQ,112,2,237.07,standard,2026-03-28T20:59:59Z
GN6DCMJUGU3DCNBZHAZHYMJXMQ3GGNZZHE2TK,112,2,233.0,resale,2026-03-28T20:59:59Z
GJ6DK7BWGE,113,2,279.22,standard,2026-03-28T20:59:59Z
GJ6DK7BVHA,113,2,366.9,standard,2026-03-28T20:59:59Z
GN6DCMJVGQZTAMJQGEYHYMJXMYYTMOBZHA2DK,113,2,445.03,resale,2026-03-28T20:59:59Z
GN6DCMJVGM4TGMRWGIYHYMJXMYYDGM3BMM2DK,114,1,318.05,resale,2026-03-28T20:59:59Z
GN6DCMJVGQZDONJWGM3HYMJXMYYTKMRSGY4DK,115,1,349.5,resale,2026-03-28T20:59:59Z
GN6DCMJSHE3DGMZXG42XYMJXMJSDSZTFGAZTK,115,4,349.5,resale,2026-03-28T20:59:59Z
GN6DCMJVGAZDEMBTGYYXYMJXMU2TONJWG4ZTK,116,1,203.88,resale,2026-03-28T20:59:59Z
GN6DCMJVGEZTSNRZGQ2HYMJXMU4TKZTBGI4DK,116,2,233.0,resale,2026-03-28T20:59:59Z
GJ6DK7BWG4,117,1,185.35,standard,2026-03-28T20:59:59Z
GJ6DK7BWGU,117,2,175.62,standard,2026-03-28T20:59:59Z
GN6DCMJVGQZDEMZXGQ4HYMJXMYYTCZRYGM2DK,117,1,174.75,resale,2026-03-28T20:59:59Z
GN6DCMJTHAYTANJYGM4XYMJXMI2DENJSGAYDK,206,1,128.15,resale,2026-03-28T20:59:59Z
GN6DCMJVGQZDMMJQGE3XYMJXMYYTIMZTGQYTK,210,2,103.69,resale,2026-03-28T20:59:59Z
GN6DCMJTGY3DANZQGQZHYMJXMYYTANBSG43TK,224,2,142.13,resale,2026-03-28T20:59:59Z
GJ6DK7BWHE,225,4,144.44,standard,2026-03-28T20:59:59Z
GJ6DK7BXGA,225,2,108.58,standard,2026-03-28T20:59:59Z
GJ6DK7BWHA,225,5,164.98,standard,2026-03-28T20:59:59Z
GN6DCMJTHE4TGNJVGM2HYMJXMYYTONRRGU4TK,225,2,122.33,resale,2026-03-28T20:59:59Z
GJ6DK7BXGE,226,3,103.16,standard,2026-03-28T20:59:59Z
GJ6DK7BXGM,226,1,92.78,standard,2026-03-28T20:59:59Z
GN6DCMJVGQYDONBRHA4XYMJXMYYGCNRXGEZDK,230,2,116.5,resale,2026-03-28T20:59:59Z
GJ6DK7BXGI,231,1,98.21,standard,2026-03-28T20:59:59Z
GJ6DK7BXGQ,232,5,87.73,standard,2026-03-28T20:59:59Z
GJ6DK7BXHA,P04,2,288.3,standard,2026-03-28T20:59:59Z
