section,row,seat,price_usd,selection_type,scraped_at
101,A,7,103.16,standard,2026-04-02T22:00:00Z
101,A,8,103.16,standard,2026-04-02T22:00:00Z
101,I,4,103.16,standard,2026-04-02T22:00:00Z
101,I,3,103.16,standard,2026-04-02T22:00:00Z
101,L,13,103.16,standard,2026-04-02T22:00:00Z
101,L,14,103.16,standard,2026-04-02T22:00:00Z
101,X,5,103.16,standard,2026-04-02T22:00:00Z
101,X,6,103.16,standard,2026-04-02T22:00:00Z
101,Y,5,103.16,standard,2026-04-02T22:00:00Z
101,Y,6,103.16,standard,2026-04-02T22:00:00Z
102,P,1,100.19,resale,2026-04-02T22:00:00Z
102,P,16,100.19,resale,2026-04-02T22:00:00Z
102,P,17,100.19,resale,2026-04-02T22:00:00Z
102,P,2,100.19,resale,2026-04-02T22:00:00Z
102,R,1,100.19,resale,2026-04-02T22:00:00Z
102,R,2,100.19,resale,2026-04-02T22:00:00Z
102,U,7,100.19,resale,2026-04-02T22:00:00Z
102,U,8,100.19,resale,2026-04-02T22:00:00Z
102,U,1,100.19,resale,2026-04-02T22:00:00Z
102,U,2,100.19,resale,2026-04-02T22:00:00Z
102,X,1,100.19,resale,2026-04-02T22:00:00Z
102,X,2,100.19,resale,2026-04-02T22:00:00Z
103,A,1,100.19,resale,2026-04-02T22:00:00Z
103,A,2,100.19,resale,2026-04-02T22:00:00Z
103,BB,11,100.19,resale,2026-04-02T22:00:00Z
103,BB,12,100.19,resale,2026-04-02T22:00:00Z
103,N,1,100.19,resale,2026-04-02T22:00:00Z
103,N,2,100.19,resale,2026-04-02T22:00:00Z
103,Q,20,100.19,resale,2026-04-02T22:00:00Z
103,Q,21,100.19,resale,2026-04-02T22:00:00Z
103,V,4,100.19,resale,2026-04-02T22:00:00Z
103,V,5,100.19,resale,2026-04-02T22:00:00Z
103,W,27,100.19,resale,2026-04-02T22:00:00Z
103,W,28,100.19,resale,2026-04-02T22:00:00Z
103,X,1,100.19,resale,2026-04-02T22:00:00Z
103,X,2,100.19,resale,2026-04-02T22:00:00Z
104,N,11,151.93,standard,2026-04-02T22:00:00Z
104,N,12,151.93,standard,2026-04-02T22:00:00Z
105,A1,11,217.12,standard,2026-04-02T22:00:00Z
105,A1,12,217.12,standard,2026-04-02T22:00:00Z
105,A1,16,217.12,standard,2026-04-02T22:00:00Z
105,A1,17,217.12,standard,2026-04-02T22:00:00Z
105,E,7,217.12,standard,2026-04-02T22:00:00Z
105,E,8,217.12,standard,2026-04-02T22:00:00Z
105,E,11,217.12,standard,2026-04-02T22:00:00Z
105,E,12,217.12,standard,2026-04-02T22:00:00Z
105,F,11,217.12,standard,2026-04-02T22:00:00Z
105,F,12,217.12,standard,2026-04-02T22:00:00Z
105,K,12,217.12,standard,2026-04-02T22:00:00Z
105,K,13,217.12,standard,2026-04-02T22:00:00Z
106,D,7,151.93,standard,2026-04-02T22:00:00Z
106,D,8,151.93,standard,2026-04-02T22:00:00Z
106,I,17,151.93,standard,2026-04-02T22:00:00Z
106,I,18,151.93,standard,2026-04-02T22:00:00Z
106,M,1,151.93,standard,2026-04-02T22:00:00Z
106,M,2,151.93,standard,2026-04-02T22:00:00Z
106,P,1,151.93,standard,2026-04-02T22:00:00Z
106,P,2,151.93,standard,2026-04-02T22:00:00Z
106,Q,14,151.93,standard,2026-04-02T22:00:00Z
106,Q,15,151.93,standard,2026-04-02T22:00:00Z
107,AA,5,109.16,standard,2026-04-02T22:00:00Z
107,AA,6,109.16,standard,2026-04-02T22:00:00Z
107,C,4,109.16,standard,2026-04-02T22:00:00Z
107,C,3,109.16,standard,2026-04-02T22:00:00Z
107,G,9,109.16,standard,2026-04-02T22:00:00Z
107,G,10,109.16,standard,2026-04-02T22:00:00Z
107,K,13,109.16,standard,2026-04-02T22:00:00Z
107,K,14,109.16,standard,2026-04-02T22:00:00Z
107,M,4,109.16,standard,2026-04-02T22:00:00Z
107,M,1,109.16,standard,2026-04-02T22:00:00Z
107,M,2,109.16,standard,2026-04-02T22:00:00Z
107,M,3,109.16,standard,2026-04-02T22:00:00Z
107,Q,4,109.16,standard,2026-04-02T22:00:00Z
107,Q,3,109.16,standard,2026-04-02T22:00:00Z
107,U,4,109.16,standard,2026-04-02T22:00:00Z
107,U,3,109.16,standard,2026-04-02T22:00:00Z
107,W,4,109.16,standard,2026-04-02T22:00:00Z
107,W,3,109.16,standard,2026-04-02T22:00:00Z
109,A3,1,103.16,standard,2026-04-02T22:00:00Z
109,A3,2,103.16,standard,2026-04-02T22:00:00Z
109,H,4,103.16,standard,2026-04-02T22:00:00Z
109,H,12,103.16,standard,2026-04-02T22:00:00Z
109,H,13,103.16,standard,2026-04-02T22:00:00Z
109,H,3,103.16,standard,2026-04-02T22:00:00Z
109,J,6,103.16,standard,2026-04-02T22:00:00Z
109,J,7,103.16,standard,2026-04-02T22:00:00Z
110,B,7,109.51,resale,2026-04-02T22:00:00Z
110,B,8,109.51,resale,2026-04-02T22:00:00Z
110,CS3,5,109.51,resale,2026-04-02T22:00:00Z
110,CS3,6,109.51,resale,2026-04-02T22:00:00Z
110,I,15,109.51,resale,2026-04-02T22:00:00Z
110,I,16,109.51,resale,2026-04-02T22:00:00Z
