section,row,seat,price_usd,selection_type,scraped_at
101,L,9,110.21,standard,2026-04-03T22:00:00Z
101,L,10,110.21,standard,2026-04-03T22:00:00Z
102,O,15,151.45,resale,2026-04-03T22:00:00Z
102,O,16,151.45,resale,2026-04-03T22:00:00Z
103,M,13,96.7,resale,2026-04-03T22:00:00Z
103,M,14,96.7,resale,2026-04-03T22:00:00Z
103,O,15,96.7,resale,2026-04-03T22:00:00Z
103,O,16,96.7,resale,2026-04-03T22:00:00Z
103,O,29,96.7,resale,2026-04-03T22:00:00Z
103,O,30,96.7,resale,2026-04-03T22:00:00Z
103,R,35,96.7,resale,2026-04-03T22:00:00Z
103,R,36,96.7,resale,2026-04-03T22:00:00Z
103,Y,4,96.7,resale,2026-04-03T22:00:00Z
103,Y,5,96.7,resale,2026-04-03T22:00:00Z
104,I,17,175.62,standard,2026-04-03T22:00:00Z
104,I,18,175.62,standard,2026-04-03T22:00:00Z
104,L,7,175.62,standard,2026-04-03T22:00:00Z
104,L,8,175.62,standard,2026-04-03T22:00:00Z
104,L,9,175.62,standard,2026-04-03T22:00:00Z
104,L,10,175.62,standard,2026-04-03T22:00:00Z
105,I,7,281.93,resale,2026-04-03T22:00:00Z
105,I,8,281.93,resale,2026-04-03T22:00:00Z
105,O,21,281.93,resale,2026-04-03T22:00:00Z
105,O,22,281.93,resale,2026-04-03T22:00:00Z
106,A1,11,202.71,resale,2026-04-03T22:00:00Z
106,A1,12,202.71,resale,2026-04-03T22:00:00Z
106,F,13,202.71,resale,2026-04-03T22:00:00Z
106,F,14,202.71,resale,2026-04-03T22:00:00Z
106,P,1,202.71,resale,2026-04-03T22:00:00Z
106,P,2,202.71,resale,2026-04-03T22:00:00Z
107,AA,5,115.64,standard,2026-04-03T22:00:00Z
107,AA,6,115.64,standard,2026-04-03T22:00:00Z
107,M,1,115.64,standard,2026-04-03T22:00:00Z
107,M,2,115.64,standard,2026-04-03T22:00:00Z
107,M,13,115.64,standard,2026-04-03T22:00:00Z
107,M,14,115.64,standard,2026-04-03T22:00:00Z
107,M,27,115.64,standard,2026-04-03T22:00:00Z
107,M,28,115.64,standard,2026-04-03T22:00:00Z
107,P,1,115.64,standard,2026-04-03T22:00:00Z
107,P,2,115.64,standard,2026-04-03T22:00:00Z
107,Q,3,115.64,standard,2026-04-03T22:00:00Z
107,Q,4,115.64,standard,2026-04-03T22:00:00Z
107,Y,8,115.64,standard,2026-04-03T22:00:00Z
107,Y,9,115.64,standard,2026-04-03T22:00:00Z
108,L,3,96.05,standard,2026-04-03T22:00:00Z
108,L,4,96.05,standard,2026-04-03T22:00:00Z
109,C,3,110.21,standard,2026-04-03T22:00:00Z
109,C,4,110.21,standard,2026-04-03T22:00:00Z
109,C,9,110.21,standard,2026-04-03T22:00:00Z
