section,row,seat,price_usd,selection_type,scraped_at
103,1,9,20.0,resale,2026-04-02T00:05:24Z
103,1,10,20.0,resale,2026-04-02T00:05:24Z
103,2,10,20.0,resale,2026-04-02T00:05:24Z
103,2,11,20.0,resale,2026-04-02T00:05:24Z
103,7,3,20.0,resale,2026-04-02T00:05:24Z
103,7,4,20.0,resale,2026-04-02T00:05:24Z
133,8,9,24.0,resale,2026-04-02T00:05:24Z
133,8,10,24.0,resale,2026-04-02T00:05:24Z
133,12,9,24.0,resale,2026-04-02T00:05:24Z
133,12,10,24.0,resale,2026-04-02T00:05:24Z
18,23,3,114.39,resale,2026-04-02T00:05:24Z
18,23,4,114.39,resale,2026-04-02T00:05:24Z
18,20,11,114.39,resale,2026-04-02T00:05:24Z
18,20,12,114.39,resale,2026-04-02T00:05:24Z
139,2,9,19.0,resale,2026-04-02T00:05:24Z
139,2,10,19.0,resale,2026-04-02T00:05:24Z
139,9,7,19.0,resale,2026-04-02T00:05:24Z
139,9,8,19.0,resale,2026-04-02T00:05:24Z
22,7,7,55.35,resale,2026-04-02T00:05:24Z
22,7,8,55.35,resale,2026-04-02T00:05:24Z
22,13,15,55.35,resale,2026-04-02T00:05:24Z
22,13,16,55.35,resale,2026-04-02T00:05:24Z
22,13,17,55.35,resale,2026-04-02T00:05:24Z
22,13,18,55.35,resale,2026-04-02T00:05:24Z
127,3,1,33.21,resale,2026-04-02T00:05:24Z
127,3,2,33.21,resale,2026-04-02T00:05:24Z
8,26,13,92.25,resale,2026-04-02T00:05:24Z
8,26,14,92.25,resale,2026-04-02T00:05:24Z
8,17,11,92.25,resale,2026-04-02T00:05:24Z
8,17,12,92.25,resale,2026-04-02T00:05:24Z
20,17,3,81.18,resale,2026-04-02T00:05:24Z
20,17,4,81.18,resale,2026-04-02T00:05:24Z
109,1,13,19.0,resale,2026-04-02T00:05:24Z
109,1,14,19.0,resale,2026-04-02T00:05:24Z
109,15,5,19.0,resale,2026-04-02T00:05:24Z
109,15,6,19.0,resale,2026-04-02T00:05:24Z
