section,row,seat,price_usd,selection_type,scraped_at
104,FF,6,375.35,standard,2026-04-11T02:52:09Z
104,FF,7,375.35,standard,2026-04-11T02:52:09Z
104,K,1,375.35,standard,2026-04-11T02:52:09Z
104,K,2,375.35,standard,2026-04-11T02:52:09Z
106,J,4,322.0,standard,2026-04-11T02:52:09Z
106,J,3,322.0,standard,2026-04-11T02:52:09Z
107,AA,13,424.45,standard,2026-04-11T02:52:09Z
107,AA,14,424.45,standard,2026-04-11T02:52:09Z
107,D,1,424.45,standard,2026-04-11T02:52:09Z
107,D,2,424.45,standard,2026-04-11T02:52:09Z
107,FF,15,424.45,standard,2026-04-11T02:52:09Z
107,FF,16,424.45,standard,2026-04-11T02:52:09Z
108,G,1,322.0,standard,2026-04-11T02:52:09Z
108,G,2,322.0,standard,2026-04-11T02:52:09Z
113,CC,15,297.35,standard,2026-04-11T02:52:09Z
113,CC,16,297.35,standard,2026-04-11T02:52:09Z
117,V,18,338.25,resale,2026-04-11T02:52:09Z
117,V,19,338.25,resale,2026-04-11T02:52:09Z
118,X,7,215.25,resale,2026-04-11T02:52:09Z
118,X,8,215.25,resale,2026-04-11T02:52:09Z
119,CC,11,306.27,resale,2026-04-11T02:52:09Z
119,CC,12,306.27,resale,2026-04-11T02:52:09Z
119,J,9,306.27,resale,2026-04-11T02:52:09Z
119,J,10,306.27,resale,2026-04-11T02:52:09Z
119,V,4,306.27,resale,2026-04-11T02:52:09Z
119,V,3,306.27,resale,2026-04-11T02:52:09Z
120,K,15,350.55,resale,2026-04-11T02:52:09Z
120,K,16,350.55,resale,2026-04-11T02:52:09Z
121,C,1,246.0,resale,2026-04-11T02:52:09Z
121,C,2,246.0,resale,2026-04-11T02:52:09Z
123,E,4,274.29,resale,2026-04-11T02:52:09Z
123,E,3,274.29,resale,2026-04-11T02:52:09Z
126,BBB,1,479.9,standard,2026-04-11T02:52:09Z
126,BBB,2,479.9,standard,2026-04-11T02:52:09Z
2,2,1,1050.42,resale,2026-04-11T02:52:09Z
2,2,2,1050.42,resale,2026-04-11T02:52:09Z
205,H,19,159.9,resale,2026-04-11T02:52:09Z
205,H,20,159.9,resale,2026-04-11T02:52:09Z
209,R,16,246.0,resale,2026-04-11T02:52:09Z
209,R,17,246.0,resale,2026-04-11T02:52:09Z
211,J,15,123.0,resale,2026-04-11T02:52:09Z
211,J,16,123.0,resale,2026-04-11T02:52:09Z
211,Q,1,123.0,resale,2026-04-11T02:52:09Z
211,Q,2,123.0,resale,2026-04-11T02:52:09Z
213,L,10,102.45,standard,2026-04-11T02:52:09Z
213,L,11,102.45,standard,2026-04-11T02:52:09Z
218,B,7,307.5,resale,2026-04-11T02:52:09Z
218,B,8,307.5,resale,2026-04-11T02:52:09Z
8,2,5,2872.35,standard,2026-04-11T02:52:09Z
8,2,6,2872.35,standard,2026-04-11T02:52:09Z
