section,row,seat,price_usd,selection_type,scraped_at
102,13,1,357.0,resale,2026-04-03T22:30:00Z
102,13,2,357.0,resale,2026-04-03T22:30:00Z
106,6,9,461.72,resale,2026-04-03T22:30:00Z
106,6,10,461.72,resale,2026-04-03T22:30:00Z
106,6,11,461.72,resale,2026-04-03T22:30:00Z
106,6,12,461.72,resale,2026-04-03T22:30:00Z
106,6,13,461.72,resale,2026-04-03T22:30:00Z
106,6,14,461.72,resale,2026-04-03T22:30:00Z
106,17,11,461.72,resale,2026-04-03T22:30:00Z
106,17,12,461.72,resale,2026-04-03T22:30:00Z
107,5,7,566.44,resale,2026-04-03T22:30:00Z
107,5,8,566.44,resale,2026-04-03T22:30:00Z
107D,11,7,1428.0,resale,2026-04-03T22:30:00Z
107D,11,8,1428.0,resale,2026-04-03T22:30:00Z
108,8,9,451.01,resale,2026-04-03T22:30:00Z
108,8,10,451.01,resale,2026-04-03T22:30:00Z
109,10,11,379.61,resale,2026-04-03T22:30:00Z
109,10,12,379.61,resale,2026-04-03T22:30:00Z
109,11,13,379.61,resale,2026-04-03T22:30:00Z
109,11,14,379.61,resale,2026-04-03T22:30:00Z
113,22,13,339.15,resale,2026-04-03T22:30:00Z
113,22,14,339.15,resale,2026-04-03T22:30:00Z
114,10,7,374.85,resale,2026-04-03T22:30:00Z
114,10,8,374.85,resale,2026-04-03T22:30:00Z
114,11,12,374.85,resale,2026-04-03T22:30:00Z
114,11,13,374.85,resale,2026-04-03T22:30:00Z
115,3,3,357.0,resale,2026-04-03T22:30:00Z
115,3,4,357.0,resale,2026-04-03T22:30:00Z
115,7,1,357.0,resale,2026-04-03T22:30:00Z
115,7,2,357.0,resale,2026-04-03T22:30:00Z
115,7,3,357.0,resale,2026-04-03T22:30:00Z
115,7,4,357.0,resale,2026-04-03T22:30:00Z
115,19,1,357.0,resale,2026-04-03T22:30:00Z
115,19,2,357.0,resale,2026-04-03T22:30:00Z
116,20,3,416.5,resale,2026-04-03T22:30:00Z
116,20,4,416.5,resale,2026-04-03T22:30:00Z
116,21,15,416.5,resale,2026-04-03T22:30:00Z
116,21,16,416.5,resale,2026-04-03T22:30:00Z
117,6,13,654.5,resale,2026-04-03T22:30:00Z
117,6,14,654.5,resale,2026-04-03T22:30:00Z
117,9,3,654.5,resale,2026-04-03T22:30:00Z
117,9,4,654.5,resale,2026-04-03T22:30:00Z
117,10,9,654.5,resale,2026-04-03T22:30:00Z
117,10,10,654.5,resale,2026-04-03T22:30:00Z
117,12,17,654.5,resale,2026-04-03T22:30:00Z
117,12,18,654.5,resale,2026-04-03T22:30:00Z
117,14,14,654.5,resale,2026-04-03T22:30:00Z
117,14,15,654.5,resale,2026-04-03T22:30:00Z
118,7,17,540.26,resale,2026-04-03T22:30:00Z
118,7,18,540.26,resale,2026-04-03T22:30:00Z
118,7,19,540.26,resale,2026-04-03T22:30:00Z
118,7,20,540.26,resale,2026-04-03T22:30:00Z
118,22,21,540.26,resale,2026-04-03T22:30:00Z
118,22,22,540.26,resale,2026-04-03T22:30:00Z
120,4,1,559.3,resale,2026-04-03T22:30:00Z
120,4,2,559.3,resale,2026-04-03T22:30:00Z
120,6,7,559.3,resale,2026-04-03T22:30:00Z
120,6,8,559.3,resale,2026-04-03T22:30:00Z
2,5,9,577.15,resale,2026-04-03T22:30:00Z
2,5,10,577.15,resale,2026-04-03T22:30:00Z
210,20,7,357.0,resale,2026-04-03T22:30:00Z
210,20,8,357.0,resale,2026-04-03T22:30:00Z
222,19,12,358.19,resale,2026-04-03T22:30:00Z
222,19,13,358.19,resale,2026-04-03T22:30:00Z
223,4,8,355.81,resale,2026-04-03T22:30:00Z
223,4,9,355.81,resale,2026-04-03T22:30:00Z
223,12,21,355.81,resale,2026-04-03T22:30:00Z
223,12,22,355.81,resale,2026-04-03T22:30:00Z
223,19,1,355.81,resale,2026-04-03T22:30:00Z
223,19,2,355.81,resale,2026-04-03T22:30:00Z
224,5,12,420.07,resale,2026-04-03T22:30:00Z
224,5,13,420.07,resale,2026-04-03T22:30:00Z
224,15,4,420.07,resale,2026-04-03T22:30:00Z
224,15,5,420.07,resale,2026-04-03T22:30:00Z
225,16,1,327.25,resale,2026-04-03T22:30:00Z
225,16,2,327.25,resale,2026-04-03T22:30:00Z
227,5,1,291.55,resale,2026-04-03T22:30:00Z
227,5,2,291.55,resale,2026-04-03T22:30:00Z
227,5,11,291.55,resale,2026-04-03T22:30:00Z
227,5,12,291.55,resale,2026-04-03T22:30:00Z
4D,A,2,1785.0,resale,2026-04-03T22:30:00Z
4D,A,9,1785.0,resale,2026-04-03T22:30:00Z
4D,A,10,1785.0,resale,2026-04-03T22:30:00Z
8,3,7,485.52,resale,2026-04-03T22:30:00Z
8,3,8,485.52,resale,2026-04-03T22:30:00Z
MC61,2,3,474.81,resale,2026-04-03T22:30:00Z
MC61,2,4,474.81,resale,2026-04-03T22:30:00Z
MC62,1,1,595.0,resale,2026-04-03T22:30:00Z
MC62,1,2,595.0,resale,2026-04-03T22:30:00Z
