section,row,seat,price_usd,selection_type,scraped_at
1,2,5,1190.0,resale,2026-04-10T00:22:03Z
1,2,6,1190.0,resale,2026-04-10T00:22:03Z
101,7,1,583.1,resale,2026-04-10T00:22:03Z
101,7,2,583.1,resale,2026-04-10T00:22:03Z
102,9,15,952.0,resale,2026-04-10T00:22:03Z
102,9,16,952.0,resale,2026-04-10T00:22:03Z
105,16,17,595.0,resale,2026-04-10T00:22:03Z
105,16,18,595.0,resale,2026-04-10T00:22:03Z
106,16,1,833.0,resale,2026-04-10T00:22:03Z
106,16,2,833.0,resale,2026-04-10T00:22:03Z
109,2,9,1130.5,resale,2026-04-10T00:22:03Z
109,2,10,1130.5,resale,2026-04-10T00:22:03Z
112,17,17,595.0,resale,2026-04-10T00:22:03Z
112,17,18,595.0,resale,2026-04-10T00:22:03Z
112,17,19,595.0,resale,2026-04-10T00:22:03Z
112,17,20,595.0,resale,2026-04-10T00:22:03Z
117,10,11,833.0,resale,2026-04-10T00:22:03Z
117,10,12,833.0,resale,2026-04-10T00:22:03Z
117,10,5,833.0,resale,2026-04-10T00:22:03Z
117,10,6,833.0,resale,2026-04-10T00:22:03Z
12D,2,11,2380.0,resale,2026-04-10T00:22:03Z
12D,2,12,2380.0,resale,2026-04-10T00:22:03Z
202,2,13,416.5,resale,2026-04-10T00:22:03Z
202,2,14,416.5,resale,2026-04-10T00:22:03Z
206,2,15,464.1,resale,2026-04-10T00:22:03Z
206,2,16,464.1,resale,2026-04-10T00:22:03Z
206,4,8,464.1,resale,2026-04-10T00:22:03Z
206,4,9,464.1,resale,2026-04-10T00:22:03Z
207,6,1,416.5,resale,2026-04-10T00:22:03Z
207,6,2,416.5,resale,2026-04-10T00:22:03Z
208,16,17,446.25,resale,2026-04-10T00:22:03Z
208,16,18,446.25,resale,2026-04-10T00:22:03Z
209,1,1,712.81,resale,2026-04-10T00:22:03Z
209,1,2,712.81,resale,2026-04-10T00:22:03Z
213,11,1,497.42,resale,2026-04-10T00:22:03Z
213,11,2,497.42,resale,2026-04-10T00:22:03Z
226,2,4,416.5,resale,2026-04-10T00:22:03Z
226,2,3,416.5,resale,2026-04-10T00:22:03Z
226,3,7,416.5,resale,2026-04-10T00:22:03Z
226,3,8,416.5,resale,2026-04-10T00:22:03Z
226,6,14,416.5,resale,2026-04-10T00:22:03Z
226,6,15,416.5,resale,2026-04-10T00:22:03Z
328,2,1,422.45,resale,2026-04-10T00:22:03Z
328,2,2,422.45,resale,2026-04-10T00:22:03Z
6D,A,11,2380.0,resale,2026-04-10T00:22:03Z
6D,A,12,2380.0,resale,2026-04-10T00:22:03Z
8,17,1,624.75,resale,2026-04-10T00:22:03Z
8,17,2,624.75,resale,2026-04-10T00:22:03Z
8,4,13,624.75,resale,2026-04-10T00:22:03Z
8,4,14,624.75,resale,2026-04-10T00:22:03Z
8,4,15,624.75,resale,2026-04-10T00:22:03Z
8,4,16,624.75,resale,2026-04-10T00:22:03Z
