section,row,seat,price_usd,selection_type,scraped_at
1,5,10,210.6,resale,2026-04-12T22:52:20Z
1,5,9,210.6,resale,2026-04-12T22:52:20Z
1,9,10,210.6,resale,2026-04-12T22:52:20Z
1,9,9,210.6,resale,2026-04-12T22:52:20Z
101,9,16,187.2,resale,2026-04-12T22:52:20Z
101,9,17,187.2,resale,2026-04-12T22:52:20Z
103,13,5,377.91,resale,2026-04-12T22:52:20Z
103,13,6,377.91,resale,2026-04-12T22:52:20Z
105,13,7,327.6,resale,2026-04-12T22:52:20Z
105,13,8,327.6,resale,2026-04-12T22:52:20Z
105,16,11,327.6,resale,2026-04-12T22:52:20Z
105,16,12,327.6,resale,2026-04-12T22:52:20Z
106,10,11,183.69,resale,2026-04-12T22:52:20Z
106,10,12,183.69,resale,2026-04-12T22:52:20Z
106,11,11,183.69,resale,2026-04-12T22:52:20Z
106,11,12,183.69,resale,2026-04-12T22:52:20Z
106,21,1,183.69,resale,2026-04-12T22:52:20Z
106,21,2,183.69,resale,2026-04-12T22:52:20Z
106,6,9,183.69,resale,2026-04-12T22:52:20Z
106,6,10,183.69,resale,2026-04-12T22:52:20Z
106,6,11,183.69,resale,2026-04-12T22:52:20Z
106,6,12,183.69,resale,2026-04-12T22:52:20Z
106,6,13,183.69,resale,2026-04-12T22:52:20Z
106,6,14,183.69,resale,2026-04-12T22:52:20Z
107,17,3,175.5,resale,2026-04-12T22:52:20Z
107,17,4,175.5,resale,2026-04-12T22:52:20Z
107,17,5,175.5,resale,2026-04-12T22:52:20Z
107,17,6,175.5,resale,2026-04-12T22:52:20Z
108,12,3,292.5,resale,2026-04-12T22:52:20Z
108,12,4,292.5,resale,2026-04-12T22:52:20Z
108,3,11,292.5,resale,2026-04-12T22:52:20Z
108,3,12,292.5,resale,2026-04-12T22:52:20Z
108,8,9,292.5,resale,2026-04-12T22:52:20Z
108,8,10,292.5,resale,2026-04-12T22:52:20Z
109,20,20,210.6,resale,2026-04-12T22:52:20Z
109,20,21,210.6,resale,2026-04-12T22:52:20Z
112,12,16,204.75,resale,2026-04-12T22:52:20Z
112,12,17,204.75,resale,2026-04-12T22:52:20Z
112,12,2,204.75,resale,2026-04-12T22:52:20Z
112,13,1,204.75,resale,2026-04-12T22:52:20Z
112,13,2,204.75,resale,2026-04-12T22:52:20Z
112,16,3,204.75,resale,2026-04-12T22:52:20Z
112,16,4,204.75,resale,2026-04-12T22:52:20Z
112,6,13,204.75,resale,2026-04-12T22:52:20Z
112,6,14,204.75,resale,2026-04-12T22:52:20Z
113,7,1,360.36,resale,2026-04-12T22:52:20Z
113,7,2,360.36,resale,2026-04-12T22:52:20Z
114,10,17,210.6,resale,2026-04-12T22:52:20Z
114,10,18,210.6,resale,2026-04-12T22:52:20Z
114,10,3,210.6,resale,2026-04-12T22:52:20Z
114,10,4,210.6,resale,2026-04-12T22:52:20Z
114,11,14,210.6,resale,2026-04-12T22:52:20Z
114,11,15,210.6,resale,2026-04-12T22:52:20Z
114,5,10,210.6,resale,2026-04-12T22:52:20Z
114,5,11,210.6,resale,2026-04-12T22:52:20Z
115,19,1,187.2,resale,2026-04-12T22:52:20Z
115,19,2,187.2,resale,2026-04-12T22:52:20Z
115,7,14,187.2,resale,2026-04-12T22:52:20Z
115,7,15,187.2,resale,2026-04-12T22:52:20Z
116,12,1,403.65,resale,2026-04-12T22:52:20Z
116,12,2,403.65,resale,2026-04-12T22:52:20Z
116,7,7,403.65,resale,2026-04-12T22:52:20Z
116,7,8,403.65,resale,2026-04-12T22:52:20Z
116,7,1,403.65,resale,2026-04-12T22:52:20Z
116,7,2,403.65,resale,2026-04-12T22:52:20Z
117,10,10,203.58,resale,2026-04-12T22:52:20Z
117,10,11,203.58,resale,2026-04-12T22:52:20Z
117,10,12,203.58,resale,2026-04-12T22:52:20Z
117,10,9,203.58,resale,2026-04-12T22:52:20Z
117,12,1,203.58,resale,2026-04-12T22:52:20Z
117,12,2,203.58,resale,2026-04-12T22:52:20Z
117,15,10,203.58,resale,2026-04-12T22:52:20Z
117,15,9,203.58,resale,2026-04-12T22:52:20Z
117,20,10,203.58,resale,2026-04-12T22:52:20Z
117,20,11,203.58,resale,2026-04-12T22:52:20Z
117,20,12,203.58,resale,2026-04-12T22:52:20Z
117,20,9,203.58,resale,2026-04-12T22:52:20Z
118,15,1,292.5,resale,2026-04-12T22:52:20Z
118,15,2,292.5,resale,2026-04-12T22:52:20Z
118,22,17,292.5,resale,2026-04-12T22:52:20Z
118,22,18,292.5,resale,2026-04-12T22:52:20Z
118,7,17,292.5,resale,2026-04-12T22:52:20Z
118,7,18,292.5,resale,2026-04-12T22:52:20Z
118,7,19,292.5,resale,2026-04-12T22:52:20Z
118,7,20,292.5,resale,2026-04-12T22:52:20Z
119,17,1,251.55,resale,2026-04-12T22:52:20Z
119,17,2,251.55,resale,2026-04-12T22:52:20Z
119,19,17,251.55,resale,2026-04-12T22:52:20Z
119,19,18,251.55,resale,2026-04-12T22:52:20Z
119,20,16,251.55,resale,2026-04-12T22:52:20Z
119,20,17,251.55,resale,2026-04-12T22:52:20Z
11D,3,1,643.5,resale,2026-04-12T22:52:20Z
11D,3,2,643.5,resale,2026-04-12T22:52:20Z
120,16,1,321.75,resale,2026-04-12T22:52:20Z
120,16,2,321.75,resale,2026-04-12T22:52:20Z
120,19,20,321.75,resale,2026-04-12T22:52:20Z
120,19,21,321.75,resale,2026-04-12T22:52:20Z
12D,1,5,1053.0,resale,2026-04-12T22:52:20Z
12D,1,6,1053.0,resale,2026-04-12T22:52:20Z
12D,4,9,1053.0,resale,2026-04-12T22:52:20Z
12D,4,10,1053.0,resale,2026-04-12T22:52:20Z
12D,4,11,1053.0,resale,2026-04-12T22:52:20Z
12D,4,12,1053.0,resale,2026-04-12T22:52:20Z
2,4,3,389.61,resale,2026-04-12T22:52:20Z
2,4,4,389.61,resale,2026-04-12T22:52:20Z
2,7,10,389.61,resale,2026-04-12T22:52:20Z
2,7,9,389.61,resale,2026-04-12T22:52:20Z
202,4,12,292.5,resale,2026-04-12T22:52:20Z
202,4,13,292.5,resale,2026-04-12T22:52:20Z
206,1,10,210.6,resale,2026-04-12T22:52:20Z
206,1,11,210.6,resale,2026-04-12T22:52:20Z
210,14,4,187.2,resale,2026-04-12T22:52:20Z
210,14,5,187.2,resale,2026-04-12T22:52:20Z
210,22,21,187.2,resale,2026-04-12T22:52:20Z
210,22,22,187.2,resale,2026-04-12T22:52:20Z
212,16,3,205.92,resale,2026-04-12T22:52:20Z
212,16,4,205.92,resale,2026-04-12T22:52:20Z
224,17,3,117.0,resale,2026-04-12T22:52:20Z
224,17,4,117.0,resale,2026-04-12T22:52:20Z
224,11,17,117.0,resale,2026-04-12T22:52:20Z
224,11,18,117.0,resale,2026-04-12T22:52:20Z
224,5,12,117.0,resale,2026-04-12T22:52:20Z
224,5,13,117.0,resale,2026-04-12T22:52:20Z
225,10,1,171.99,resale,2026-04-12T22:52:20Z
225,10,2,171.99,resale,2026-04-12T22:52:20Z
225,7,4,171.99,resale,2026-04-12T22:52:20Z
225,7,1,171.99,resale,2026-04-12T22:52:20Z
225,7,2,171.99,resale,2026-04-12T22:52:20Z
225,7,3,171.99,resale,2026-04-12T22:52:20Z
225,9,5,171.99,resale,2026-04-12T22:52:20Z
225,9,6,171.99,resale,2026-04-12T22:52:20Z
227,5,1,234.0,resale,2026-04-12T22:52:20Z
227,5,2,234.0,resale,2026-04-12T22:52:20Z
3,13,3,345.15,resale,2026-04-12T22:52:20Z
3,13,4,345.15,resale,2026-04-12T22:52:20Z
3,6,5,345.15,resale,2026-04-12T22:52:20Z
3,6,6,345.15,resale,2026-04-12T22:52:20Z
313,1,1,234.0,resale,2026-04-12T22:52:20Z
313,1,2,234.0,resale,2026-04-12T22:52:20Z
315,2,5,198.9,resale,2026-04-12T22:52:20Z
315,2,6,198.9,resale,2026-04-12T22:52:20Z
414,1,4,181.35,resale,2026-04-12T22:52:20Z
414,1,3,181.35,resale,2026-04-12T22:52:20Z
4D,2,17,2028.78,resale,2026-04-12T22:52:20Z
4D,2,18,2028.78,resale,2026-04-12T22:52:20Z
6D,A,11,1170.0,resale,2026-04-12T22:52:20Z
6D,A,12,1170.0,resale,2026-04-12T22:52:20Z
