section,row,seat,price_usd,selection_type,scraped_at
1,15,5,671.55,resale,2026-05-04T23:14:44Z
1,15,6,671.55,resale,2026-05-04T23:14:44Z
1,4,5,671.55,resale,2026-05-04T23:14:44Z
1,4,6,671.55,resale,2026-05-04T23:14:44Z
1,6,1,671.55,resale,2026-05-04T23:14:44Z
1,6,2,671.55,resale,2026-05-04T23:14:44Z
1,8,5,671.55,resale,2026-05-04T23:14:44Z
1,8,6,671.55,resale,2026-05-04T23:14:44Z
1,9,5,671.55,resale,2026-05-04T23:14:44Z
1,9,6,671.55,resale,2026-05-04T23:14:44Z
101,14,7,695.75,resale,2026-05-04T23:14:44Z
101,14,8,695.75,resale,2026-05-04T23:14:44Z
101,16,1,695.75,resale,2026-05-04T23:14:44Z
101,16,2,695.75,resale,2026-05-04T23:14:44Z
101,19,15,695.75,resale,2026-05-04T23:14:44Z
101,19,16,695.75,resale,2026-05-04T23:14:44Z
101,7,4,695.75,resale,2026-05-04T23:14:44Z
101,7,3,695.75,resale,2026-05-04T23:14:44Z
102,15,20,434.1,standard,2026-05-04T23:14:44Z
102,15,21,434.1,standard,2026-05-04T23:14:44Z
102,16,3,434.1,standard,2026-05-04T23:14:44Z
102,16,4,434.1,standard,2026-05-04T23:14:44Z
102,22,24,434.1,standard,2026-05-04T23:14:44Z
102,22,25,434.1,standard,2026-05-04T23:14:44Z
102,8,4,434.1,standard,2026-05-04T23:14:44Z
102,8,3,434.1,standard,2026-05-04T23:14:44Z
103,14,5,629.2,resale,2026-05-04T23:14:44Z
103,14,6,629.2,resale,2026-05-04T23:14:44Z
103,6,4,629.2,resale,2026-05-04T23:14:44Z
103,6,5,629.2,resale,2026-05-04T23:14:44Z
103,6,6,629.2,resale,2026-05-04T23:14:44Z
103,6,3,629.2,resale,2026-05-04T23:14:44Z
103,7,13,629.2,resale,2026-05-04T23:14:44Z
103,7,14,629.2,resale,2026-05-04T23:14:44Z
104,11,18,502.15,resale,2026-05-04T23:14:44Z
104,11,19,502.15,resale,2026-05-04T23:14:44Z
104,14,10,502.15,resale,2026-05-04T23:14:44Z
104,14,11,502.15,resale,2026-05-04T23:14:44Z
104,14,12,502.15,resale,2026-05-04T23:14:44Z
104,14,13,502.15,resale,2026-05-04T23:14:44Z
104,14,14,502.15,resale,2026-05-04T23:14:44Z
104,14,15,502.15,resale,2026-05-04T23:14:44Z
104,14,16,502.15,resale,2026-05-04T23:14:44Z
104,14,17,502.15,resale,2026-05-04T23:14:44Z
104,14,9,502.15,resale,2026-05-04T23:14:44Z
104,22,16,502.15,resale,2026-05-04T23:14:44Z
104,22,17,502.15,resale,2026-05-04T23:14:44Z
104,6,9,502.15,resale,2026-05-04T23:14:44Z
104,6,10,502.15,resale,2026-05-04T23:14:44Z
