section,row,seat,price_usd,selection_type,scraped_at
101,18,1,665.5,resale,2026-04-01T01:30:00Z
101,18,2,665.5,resale,2026-04-01T01:30:00Z
101,8,13,665.5,resale,2026-04-01T01:30:00Z
101,8,14,665.5,resale,2026-04-01T01:30:00Z
102,4,1,667.92,resale,2026-04-01T01:30:00Z
102,4,2,667.92,resale,2026-04-01T01:30:00Z
102,5,13,667.92,resale,2026-04-01T01:30:00Z
102,5,14,667.92,resale,2026-04-01T01:30:00Z
102,8,1,667.92,resale,2026-04-01T01:30:00Z
102,8,2,667.92,resale,2026-04-01T01:30:00Z
103,16,3,453.75,resale,2026-04-01T01:30:00Z
103,16,4,453.75,resale,2026-04-01T01:30:00Z
104,17,7,314.6,resale,2026-04-01T01:30:00Z
104,17,8,314.6,resale,2026-04-01T01:30:00Z
104,16,1,314.6,resale,2026-04-01T01:30:00Z
104,16,2,314.6,resale,2026-04-01T01:30:00Z
104,9,1,314.6,resale,2026-04-01T01:30:00Z
104,9,2,314.6,resale,2026-04-01T01:30:00Z
105,17,11,302.5,resale,2026-04-01T01:30:00Z
105,17,12,302.5,resale,2026-04-01T01:30:00Z
105,17,2,302.5,resale,2026-04-01T01:30:00Z
105,12,1,302.5,resale,2026-04-01T01:30:00Z
105,12,2,302.5,resale,2026-04-01T01:30:00Z
105,12,5,302.5,resale,2026-04-01T01:30:00Z
105,12,6,302.5,resale,2026-04-01T01:30:00Z
105,14,3,302.5,resale,2026-04-01T01:30:00Z
105,14,4,302.5,resale,2026-04-01T01:30:00Z
105,16,10,302.5,resale,2026-04-01T01:30:00Z
105,16,9,302.5,resale,2026-04-01T01:30:00Z
106,11,3,295.24,resale,2026-04-01T01:30:00Z
106,11,4,295.24,resale,2026-04-01T01:30:00Z
106,14,3,295.24,resale,2026-04-01T01:30:00Z
106,14,4,295.24,resale,2026-04-01T01:30:00Z
106,19,3,295.24,resale,2026-04-01T01:30:00Z
106,19,4,295.24,resale,2026-04-01T01:30:00Z
107,11,3,568.7,resale,2026-04-01T01:30:00Z
107,11,4,568.7,resale,2026-04-01T01:30:00Z
107,11,5,568.7,resale,2026-04-01T01:30:00Z
107,11,6,568.7,resale,2026-04-01T01:30:00Z
107,11,7,568.7,resale,2026-04-01T01:30:00Z
107,11,8,568.7,resale,2026-04-01T01:30:00Z
107,15,4,568.7,resale,2026-04-01T01:30:00Z
