section,row,seat,price_usd,selection_type,scraped_at
101,11,20,184.5,resale,2026-04-12T23:32:58Z
101,11,21,184.5,resale,2026-04-12T23:32:58Z
101,19,18,184.5,resale,2026-04-12T23:32:58Z
101,19,19,184.5,resale,2026-04-12T23:32:58Z
101,19,20,184.5,resale,2026-04-12T23:32:58Z
101,19,21,184.5,resale,2026-04-12T23:32:58Z
101,1,19,184.5,resale,2026-04-12T23:32:58Z
101,1,20,184.5,resale,2026-04-12T23:32:58Z
101,20,8,184.5,resale,2026-04-12T23:32:58Z
101,20,9,184.5,resale,2026-04-12T23:32:58Z
101,2,12,184.5,resale,2026-04-12T23:32:58Z
101,2,13,184.5,resale,2026-04-12T23:32:58Z
101,2,14,184.5,resale,2026-04-12T23:32:58Z
101,2,15,184.5,resale,2026-04-12T23:32:58Z
101,6,13,184.5,resale,2026-04-12T23:32:58Z
101,6,14,184.5,resale,2026-04-12T23:32:58Z
101,7,20,184.5,resale,2026-04-12T23:32:58Z
101,7,21,184.5,resale,2026-04-12T23:32:58Z
101,B,18,184.5,resale,2026-04-12T23:32:58Z
101,B,19,184.5,resale,2026-04-12T23:32:58Z
102,10,16,135.79,resale,2026-04-12T23:32:58Z
102,10,17,135.79,resale,2026-04-12T23:32:58Z
102,12,18,135.79,resale,2026-04-12T23:32:58Z
102,12,19,135.79,resale,2026-04-12T23:32:58Z
102,14,20,135.79,resale,2026-04-12T23:32:58Z
102,14,21,135.79,resale,2026-04-12T23:32:58Z
102,15,1,135.79,resale,2026-04-12T23:32:58Z
102,15,2,135.79,resale,2026-04-12T23:32:58Z
102,16,20,135.79,resale,2026-04-12T23:32:58Z
102,16,21,135.79,resale,2026-04-12T23:32:58Z
102,18,10,135.79,resale,2026-04-12T23:32:58Z
102,18,9,135.79,resale,2026-04-12T23:32:58Z
102,1,5,135.79,resale,2026-04-12T23:32:58Z
102,1,6,135.79,resale,2026-04-12T23:32:58Z
102,20,13,135.79,resale,2026-04-12T23:32:58Z
102,20,14,135.79,resale,2026-04-12T23:32:58Z
102,8,4,135.79,resale,2026-04-12T23:32:58Z
102,8,1,135.79,resale,2026-04-12T23:32:58Z
102,8,2,135.79,resale,2026-04-12T23:32:58Z
102,8,3,135.79,resale,2026-04-12T23:32:58Z
102,9,1,135.79,resale,2026-04-12T23:32:58Z
102,9,2,135.79,resale,2026-04-12T23:32:58Z
103,17,7,129.15,resale,2026-04-12T23:32:58Z
103,17,8,129.15,resale,2026-04-12T23:32:58Z
103,13,11,129.15,resale,2026-04-12T23:32:58Z
103,13,12,129.15,resale,2026-04-12T23:32:58Z
103,14,7,129.15,resale,2026-04-12T23:32:58Z
103,14,8,129.15,resale,2026-04-12T23:32:58Z
103,15,12,129.15,resale,2026-04-12T23:32:58Z
103,15,13,129.15,resale,2026-04-12T23:32:58Z
103,18,1,129.15,resale,2026-04-12T23:32:58Z
103,18,2,129.15,resale,2026-04-12T23:32:58Z
103,7,1,129.15,resale,2026-04-12T23:32:58Z
103,7,2,129.15,resale,2026-04-12T23:32:58Z
103,8,4,129.15,resale,2026-04-12T23:32:58Z
103,8,3,129.15,resale,2026-04-12T23:32:58Z
104,14,7,146.37,resale,2026-04-12T23:32:58Z
104,14,8,146.37,resale,2026-04-12T23:32:58Z
104,15,11,146.37,resale,2026-04-12T23:32:58Z
104,15,12,146.37,resale,2026-04-12T23:32:58Z
104,15,7,146.37,resale,2026-04-12T23:32:58Z
104,15,8,146.37,resale,2026-04-12T23:32:58Z
104,16,14,146.37,resale,2026-04-12T23:32:58Z
104,16,15,146.37,resale,2026-04-12T23:32:58Z
104,18,10,146.37,resale,2026-04-12T23:32:58Z
104,18,9,146.37,resale,2026-04-12T23:32:58Z
105,17,13,123.0,resale,2026-04-12T23:32:58Z
105,17,14,123.0,resale,2026-04-12T23:32:58Z
105,12,3,123.0,resale,2026-04-12T23:32:58Z
105,12,4,123.0,resale,2026-04-12T23:32:58Z
105,16,3,123.0,resale,2026-04-12T23:32:58Z
105,16,4,123.0,resale,2026-04-12T23:32:58Z
105,19,10,123.0,resale,2026-04-12T23:32:58Z
105,19,11,123.0,resale,2026-04-12T23:32:58Z
105,19,12,123.0,resale,2026-04-12T23:32:58Z
105,19,13,123.0,resale,2026-04-12T23:32:58Z
105,19,14,123.0,resale,2026-04-12T23:32:58Z
105,19,15,123.0,resale,2026-04-12T23:32:58Z
105,20,1,123.0,resale,2026-04-12T23:32:58Z
105,20,2,123.0,resale,2026-04-12T23:32:58Z
105,C,1,123.0,resale,2026-04-12T23:32:58Z
105,C,2,123.0,resale,2026-04-12T23:32:58Z
105,D,1,123.0,resale,2026-04-12T23:32:58Z
105,D,2,123.0,resale,2026-04-12T23:32:58Z
105,F,4,123.0,resale,2026-04-12T23:32:58Z
105,F,5,123.0,resale,2026-04-12T23:32:58Z
105,K,5,123.0,resale,2026-04-12T23:32:58Z
105,K,6,123.0,resale,2026-04-12T23:32:58Z
106,17,14,86.1,resale,2026-04-12T23:32:58Z
106,17,15,86.1,resale,2026-04-12T23:32:58Z
106,10,17,86.1,resale,2026-04-12T23:32:58Z
106,10,18,86.1,resale,2026-04-12T23:32:58Z
106,12,3,86.1,resale,2026-04-12T23:32:58Z
106,12,4,86.1,resale,2026-04-12T23:32:58Z
106,13,1,86.1,resale,2026-04-12T23:32:58Z
106,13,2,86.1,resale,2026-04-12T23:32:58Z
106,14,25,86.1,resale,2026-04-12T23:32:58Z
106,14,26,86.1,resale,2026-04-12T23:32:58Z
106,14,27,86.1,resale,2026-04-12T23:32:58Z
106,14,28,86.1,resale,2026-04-12T23:32:58Z
106,14,3,86.1,resale,2026-04-12T23:32:58Z
106,14,4,86.1,resale,2026-04-12T23:32:58Z
106,16,1,86.1,resale,2026-04-12T23:32:58Z
106,16,2,86.1,resale,2026-04-12T23:32:58Z
106,16,3,86.1,resale,2026-04-12T23:32:58Z
106,16,4,86.1,resale,2026-04-12T23:32:58Z
106,19,3,86.1,resale,2026-04-12T23:32:58Z
106,19,4,86.1,resale,2026-04-12T23:32:58Z
106,3,1,86.1,resale,2026-04-12T23:32:58Z
106,3,2,86.1,resale,2026-04-12T23:32:58Z
106,B,5,86.1,resale,2026-04-12T23:32:58Z
106,B,6,86.1,resale,2026-04-12T23:32:58Z
106,B,7,86.1,resale,2026-04-12T23:32:58Z
106,B,8,86.1,resale,2026-04-12T23:32:58Z
106,D,6,86.1,resale,2026-04-12T23:32:58Z
106,D,7,86.1,resale,2026-04-12T23:32:58Z
106,D,8,86.1,resale,2026-04-12T23:32:58Z
106,D,9,86.1,resale,2026-04-12T23:32:58Z
106,F,4,86.1,resale,2026-04-12T23:32:58Z
106,F,5,86.1,resale,2026-04-12T23:32:58Z
106,F,6,86.1,resale,2026-04-12T23:32:58Z
106,F,3,86.1,resale,2026-04-12T23:32:58Z
106,G,8,86.1,resale,2026-04-12T23:32:58Z
106,G,9,86.1,resale,2026-04-12T23:32:58Z
106,L,5,86.1,resale,2026-04-12T23:32:58Z
106,L,6,86.1,resale,2026-04-12T23:32:58Z
107,10,16,98.4,resale,2026-04-12T23:32:58Z
107,10,17,98.4,resale,2026-04-12T23:32:58Z
107,11,3,98.4,resale,2026-04-12T23:32:58Z
107,11,4,98.4,resale,2026-04-12T23:32:58Z
107,11,5,98.4,resale,2026-04-12T23:32:58Z
107,11,6,98.4,resale,2026-04-12T23:32:58Z
107,11,7,98.4,resale,2026-04-12T23:32:58Z
107,11,8,98.4,resale,2026-04-12T23:32:58Z
107,13,1,98.4,resale,2026-04-12T23:32:58Z
107,13,2,98.4,resale,2026-04-12T23:32:58Z
107,14,23,98.4,resale,2026-04-12T23:32:58Z
107,14,24,98.4,resale,2026-04-12T23:32:58Z
107,14,25,98.4,resale,2026-04-12T23:32:58Z
107,14,26,98.4,resale,2026-04-12T23:32:58Z
107,16,5,98.4,resale,2026-04-12T23:32:58Z
107,16,6,98.4,resale,2026-04-12T23:32:58Z
107,18W,5,98.4,resale,2026-04-12T23:32:58Z
107,18W,6,98.4,resale,2026-04-12T23:32:58Z
107,4,4,98.4,resale,2026-04-12T23:32:58Z
107,4,3,98.4,resale,2026-04-12T23:32:58Z
107,6,10,98.4,resale,2026-04-12T23:32:58Z
107,6,11,98.4,resale,2026-04-12T23:32:58Z
107,6,12,98.4,resale,2026-04-12T23:32:58Z
107,6,13,98.4,resale,2026-04-12T23:32:58Z
107,H,1,98.4,resale,2026-04-12T23:32:58Z
107,H,2,98.4,resale,2026-04-12T23:32:58Z
107,K,6,98.4,resale,2026-04-12T23:32:58Z
107,K,7,98.4,resale,2026-04-12T23:32:58Z
107,K,1,98.4,resale,2026-04-12T23:32:58Z
107,K,2,98.4,resale,2026-04-12T23:32:58Z
107,M,1,98.4,resale,2026-04-12T23:32:58Z
107,M,2,98.4,resale,2026-04-12T23:32:58Z
108,17,22,92.25,resale,2026-04-12T23:32:58Z
108,17,23,92.25,resale,2026-04-12T23:32:58Z
108,11,10,92.25,resale,2026-04-12T23:32:58Z
108,11,16,92.25,resale,2026-04-12T23:32:58Z
108,11,17,92.25,resale,2026-04-12T23:32:58Z
108,11,7,92.25,resale,2026-04-12T23:32:58Z
108,11,8,92.25,resale,2026-04-12T23:32:58Z
108,11,9,92.25,resale,2026-04-12T23:32:58Z
108,12,10,92.25,resale,2026-04-12T23:32:58Z
108,12,11,92.25,resale,2026-04-12T23:32:58Z
108,13,17,92.25,resale,2026-04-12T23:32:58Z
108,13,18,92.25,resale,2026-04-12T23:32:58Z
