section,row,seat,price_usd,selection_type,scraped_at
101,C,1,219.71,resale,2026-04-27T23:02:02Z
101,C,2,219.71,resale,2026-04-27T23:02:02Z
103,1,4,372.0,resale,2026-04-27T23:02:02Z
103,1,5,372.0,resale,2026-04-27T23:02:02Z
103,7,6,372.0,resale,2026-04-27T23:02:02Z
103,7,7,372.0,resale,2026-04-27T23:02:02Z
104,4,10,336.01,standard,2026-04-27T23:02:02Z
104,4,11,336.01,standard,2026-04-27T23:02:02Z
104,6,9,336.01,standard,2026-04-27T23:02:02Z
104,6,10,336.01,standard,2026-04-27T23:02:02Z
104,WCC,1,336.01,standard,2026-04-27T23:02:02Z
104,WCC,2,336.01,standard,2026-04-27T23:02:02Z
105,12,1,404.78,standard,2026-04-27T23:02:02Z
105,12,2,404.78,standard,2026-04-27T23:02:02Z
105,16,19,404.78,standard,2026-04-27T23:02:02Z
105,16,20,404.78,standard,2026-04-27T23:02:02Z
106,7,7,404.78,standard,2026-04-27T23:02:02Z
106,7,8,404.78,standard,2026-04-27T23:02:02Z
106,WCC,10,404.78,standard,2026-04-27T23:02:02Z
106,WCC,9,404.78,standard,2026-04-27T23:02:02Z
108,11,3,348.75,resale,2026-04-27T23:02:02Z
108,11,4,348.75,resale,2026-04-27T23:02:02Z
109A,28,27,232.5,resale,2026-04-27T23:02:02Z
109A,28,28,232.5,resale,2026-04-27T23:02:02Z
110,13,10,232.5,resale,2026-04-27T23:02:02Z
110,13,9,232.5,resale,2026-04-27T23:02:02Z
110,15,7,232.5,resale,2026-04-27T23:02:02Z
110,15,8,232.5,resale,2026-04-27T23:02:02Z
110,18,10,232.5,resale,2026-04-27T23:02:02Z
110,18,11,232.5,resale,2026-04-27T23:02:02Z
111A,28,38,231.34,resale,2026-04-27T23:02:02Z
111A,28,39,231.34,resale,2026-04-27T23:02:02Z
111A,28,40,231.34,resale,2026-04-27T23:02:02Z
111A,28,41,231.34,resale,2026-04-27T23:02:02Z
113,13,5,383.63,resale,2026-04-27T23:02:02Z
113,13,6,383.63,resale,2026-04-27T23:02:02Z
114,10,19,387.11,resale,2026-04-27T23:02:02Z
114,10,20,387.11,resale,2026-04-27T23:02:02Z
114,WCC,1,387.11,resale,2026-04-27T23:02:02Z
114,WCC,2,387.11,resale,2026-04-27T23:02:02Z
114,WCC,7,387.11,resale,2026-04-27T23:02:02Z
114,WCC,8,387.11,resale,2026-04-27T23:02:02Z
115,11,1,383.63,resale,2026-04-27T23:02:02Z
115,11,2,383.63,resale,2026-04-27T23:02:02Z
115,11,3,383.63,resale,2026-04-27T23:02:02Z
115,11,4,383.63,resale,2026-04-27T23:02:02Z
116,12,5,290.63,resale,2026-04-27T23:02:02Z
116,12,6,290.63,resale,2026-04-27T23:02:02Z
116,6,7,290.63,resale,2026-04-27T23:02:02Z
116,6,8,290.63,resale,2026-04-27T23:02:02Z
