offer_id,section,quantity,price_usd,selection_type,scraped_at
GJ6DC7BWGQ,101,5,185.69,standard,2026-03-22T02:17:09Z
GJ6DC7BWGA,101,11,337.5,standard,2026-03-22T02:17:09Z
GN6DCMJUG42TEMZVGAZXYMJXMRRWIZRSGU4TK,101,4,196.35,resale,2026-03-22T02:17:09Z
GJ6DC7BWGM,102,11,209.04,standard,2026-03-22T02:17:09Z
GJ6DC7BWGI,103,35,244.08,standard,2026-03-22T02:17:09Z
GJ6DC7BWGE,104,22,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BVGU,105,1,496.34,standard,2026-03-22T02:17:09Z
GJ6DC7BVHA,105,4,373.7,standard,2026-03-22T02:17:09Z
GJ6DC7BVHE,105,14,337.5,standard,2026-03-22T02:17:09Z
GJ6DC7BVG4,106,2,402.92,standard,2026-03-22T02:17:09Z
GN6DCMJTG4YTIMJUHA4HYMJXMQ4TKNTBGY2DK,106,2,238.0,resale,2026-03-22T02:17:09Z
GJ6DC7BVGY,107,4,496.34,standard,2026-03-22T02:17:09Z
GJ6DC7BVG4,107,4,402.92,standard,2026-03-22T02:17:09Z
GJ6DC7BVHA,108,6,373.7,standard,2026-03-22T02:17:09Z
GJ6DC7BWGE,109,10,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BWGI,110,18,244.08,standard,2026-03-22T02:17:09Z
GJ6DC7BWGA,111,2,337.5,standard,2026-03-22T02:17:09Z
GJ6DC7BWGM,111,4,209.04,standard,2026-03-22T02:17:09Z
GJ6DC7BWGQ,112,16,185.69,standard,2026-03-22T02:17:09Z
GJ6DC7BWGA,112,6,337.5,standard,2026-03-22T02:17:09Z
GN6DCMJUGY4DGOBRGU3XYMJXMRRWCNJSMQ4DK,112,2,121.38,resale,2026-03-22T02:17:09Z
GJ6DC7BWGQ,113,23,185.69,standard,2026-03-22T02:17:09Z
GJ6DC7BWGA,113,5,337.5,standard,2026-03-22T02:17:09Z
GJ6DC7BWGI,115,18,244.08,standard,2026-03-22T02:17:09Z
GN6DCMJUGY4TSNJUGQ4HYMJXMRRTSNDDGE4TK,115,2,136.85,resale,2026-03-22T02:17:09Z
GJ6DC7BWGE,116,7,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BVHA,117,8,373.7,standard,2026-03-22T02:17:09Z
GJ6DC7BVHE,117,19,337.5,standard,2026-03-22T02:17:09Z
GJ6DC7BVGQ,118,2,694.87,standard,2026-03-22T02:17:09Z
GJ6DC7BVGY,118,3,496.34,standard,2026-03-22T02:17:09Z
GJ6DC7BVG4,118,3,402.92,standard,2026-03-22T02:17:09Z
GJ6DC7BVGY,119,4,496.34,standard,2026-03-22T02:17:09Z
GN6DCMBXGM3DQMBZGE3HYMJXME3WKYJQGIYTK,119,2,562.87,resale,2026-03-22T02:17:09Z
GJ6DC7BVGU,120,4,496.34,standard,2026-03-22T02:17:09Z
GJ6DC7BVHA,120,1,373.7,standard,2026-03-22T02:17:09Z
GJ6DC7BVHE,120,8,337.5,standard,2026-03-22T02:17:09Z
GJ6DC7BWGE,121,16,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BWGI,122,27,244.08,standard,2026-03-22T02:17:09Z
GN6DCMJUG43DEOBUGY2HYMJXMRSDGNZTGM3TK,122,2,119.0,resale,2026-03-22T02:17:09Z
GJ6DC7BWGM,123,26,209.04,standard,2026-03-22T02:17:09Z
GJ6DC7BWGA,124,17,337.5,standard,2026-03-22T02:17:09Z
GJ6DC7BWGQ,124,20,185.69,standard,2026-03-22T02:17:09Z
GJ6DC7BWG4,202,3,174.01,standard,2026-03-22T02:17:09Z
GJ6DC7BWG4,203,6,174.01,standard,2026-03-22T02:17:09Z
GN6DCMJUGI3DEOJSGM3XYMJXMRSDKM3EGMYDK,204,2,119.0,resale,2026-03-22T02:17:09Z
GJ6DC7BWG4,204,3,174.01,standard,2026-03-22T02:17:09Z
GN6DCMJUGM2TSOBQGY2XYMJXMRRWCNJSMUZDK,204,2,114.24,resale,2026-03-22T02:17:09Z
GJ6DC7BWGY,207,9,209.04,standard,2026-03-22T02:17:09Z
GJ6DC7BWGU,208,6,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BWGU,209,4,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BWGU,210,10,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BWGU,211,10,290.79,standard,2026-03-22T02:17:09Z
GJ6DC7BWGY,212,9,209.04,standard,2026-03-22T02:17:09Z
GJ6DCMBWGAYDANL4GY3A,213,14,314.15,standard,2026-03-22T02:17:09Z
GJ6DC7BWGY,214,9,209.04,standard,2026-03-22T02:17:09Z
GJ6DC7BWGY,215,4,209.04,standard,2026-03-22T02:17:09Z
GN6DCMJUGY4DGNRYGI4HYMJXMRQTGYRQGZSTK,215,2,476.0,resale,2026-03-22T02:17:09Z
GN6DCMJUGY4DENJTGI2XYMJXMRQTGMBZGY4DK,215,1,297.5,resale,2026-03-22T02:17:09Z
GJ6DC7BWGU,216,10,290.79,standard,2026-03-22T02:17:09Z
