section,row,seat,price_usd,selection_type,scraped_at
V510,D,12,,,2026-07-04T00:45:38Z
V510,D,13,,,2026-07-04T00:45:38Z
V510,D,14,,,2026-07-04T00:45:38Z
V510,D,15,,,2026-07-04T00:45:38Z
V510,D,16,,,2026-07-04T00:45:38Z
V402,B,1,,,2026-07-04T00:45:38Z
V402,B,2,,,2026-07-04T00:45:38Z
V402,B,3,,,2026-07-04T00:45:38Z
V402,B,4,,,2026-07-04T00:45:38Z
V402,B,5,,,2026-07-04T00:45:38Z
V402,B,6,,,2026-07-04T00:45:38Z
V402,B,7,,,2026-07-04T00:45:38Z
V402,B,8,,,2026-07-04T00:45:38Z
V531,C,15,,,2026-07-04T00:45:38Z
V531,C,16,,,2026-07-04T00:45:38Z
V531,C,17,,,2026-07-04T00:45:38Z
V531,C,18,,,2026-07-04T00:45:38Z
V531,C,19,,,2026-07-04T00:45:38Z
V531,C,20,,,2026-07-04T00:45:38Z
V531,C,21,,,2026-07-04T00:45:38Z
V531,C,22,,,2026-07-04T00:45:38Z
V435,B,1,,,2026-07-04T00:45:38Z
V435,B,2,,,2026-07-04T00:45:38Z
V435,B,3,,,2026-07-04T00:45:38Z
V435,B,4,,,2026-07-04T00:45:38Z
V435,B,5,,,2026-07-04T00:45:38Z
V435,B,6,,,2026-07-04T00:45:38Z
V435,B,7,,,2026-07-04T00:45:38Z
V435,B,8,,,2026-07-04T00:45:38Z
V435,J,9,,,2026-07-04T00:45:38Z
V435,J,10,,,2026-07-04T00:45:38Z
V435,J,11,,,2026-07-04T00:45:38Z
V435,J,12,,,2026-07-04T00:45:38Z
V434,B,1,,,2026-07-04T00:45:38Z
V434,B,2,,,2026-07-04T00:45:38Z
V434,B,3,,,2026-07-04T00:45:38Z
V434,B,4,,,2026-07-04T00:45:38Z
V434,B,5,,,2026-07-04T00:45:38Z
V434,B,6,,,2026-07-04T00:45:38Z
V434,B,7,,,2026-07-04T00:45:38Z
V434,B,8,,,2026-07-04T00:45:38Z
V515,R,17,,,2026-07-04T00:45:38Z
V515,R,18,,,2026-07-04T00:45:38Z
V515,R,19,,,2026-07-04T00:45:38Z
V515,R,20,,,2026-07-04T00:45:38Z
T232,J,17,,,2026-07-04T00:45:38Z
T232,J,18,,,2026-07-04T00:45:38Z
T232,J,19,,,2026-07-04T00:45:38Z
T232,J,20,,,2026-07-04T00:45:38Z
V508,D,9,,,2026-07-04T00:45:38Z
V508,D,10,,,2026-07-04T00:45:38Z
V508,D,11,,,2026-07-04T00:45:38Z
V508,D,12,,,2026-07-04T00:45:38Z
V508,K,9,,,2026-07-04T00:45:38Z
V508,K,10,,,2026-07-04T00:45:38Z
V508,K,11,,,2026-07-04T00:45:38Z
V508,K,12,,,2026-07-04T00:45:38Z
V508,K,13,,,2026-07-04T00:45:38Z
V508,K,14,,,2026-07-04T00:45:38Z
V508,K,15,,,2026-07-04T00:45:38Z
V508,K,16,,,2026-07-04T00:45:38Z
P249,G,1,,,2026-07-04T00:45:38Z
P249,G,2,,,2026-07-04T00:45:38Z
V436,B,1,,,2026-07-04T00:45:38Z
V436,B,2,,,2026-07-04T00:45:38Z
V436,B,3,,,2026-07-04T00:45:38Z
V436,B,4,,,2026-07-04T00:45:38Z
V436,B,5,,,2026-07-04T00:45:38Z
V436,B,6,,,2026-07-04T00:45:38Z
V436,B,7,,,2026-07-04T00:45:38Z
V436,B,8,,,2026-07-04T00:45:38Z
V526,P,9,,,2026-07-04T00:45:38Z
V526,P,10,,,2026-07-04T00:45:38Z
V526,P,11,,,2026-07-04T00:45:38Z
V526,P,12,,,2026-07-04T00:45:38Z
V526,P,13,,,2026-07-04T00:45:38Z
V526,R,5,,,2026-07-04T00:45:38Z
V526,R,6,,,2026-07-04T00:45:38Z
V526,R,7,,,2026-07-04T00:45:38Z
V526,R,8,,,2026-07-04T00:45:38Z
V526,R,9,,,2026-07-04T00:45:38Z
V526,R,10,,,2026-07-04T00:45:38Z
V526,R,11,,,2026-07-04T00:45:38Z
V526,R,12,,,2026-07-04T00:45:38Z
V431,J,1,,,2026-07-04T00:45:38Z
