section,row,seat,price_usd,selection_type,scraped_at
V410,C,18,,,2026-07-19T01:12:23Z
V410,C,19,,,2026-07-19T01:12:23Z
F108,D,3,,,2026-07-19T01:12:23Z
F108,D,4,,,2026-07-19T01:12:23Z
P258,H,13,,,2026-07-19T01:12:23Z
P258,H,14,,,2026-07-19T01:12:23Z
P258,J,9,,,2026-07-19T01:12:23Z
P258,J,10,,,2026-07-19T01:12:23Z
P258,J,11,,,2026-07-19T01:12:23Z
P258,J,12,,,2026-07-19T01:12:23Z
V425,C,9,,,2026-07-19T01:12:23Z
V425,C,10,,,2026-07-19T01:12:23Z
V425,C,11,,,2026-07-19T01:12:23Z
V425,C,12,,,2026-07-19T01:12:23Z
V425,C,13,,,2026-07-19T01:12:23Z
V425,C,14,,,2026-07-19T01:12:23Z
V425,C,15,,,2026-07-19T01:12:23Z
V425,C,16,,,2026-07-19T01:12:23Z
V431,A,9,,,2026-07-19T01:12:23Z
V431,A,10,,,2026-07-19T01:12:23Z
V431,A,11,,,2026-07-19T01:12:23Z
V431,A,12,,,2026-07-19T01:12:23Z
F110,F,5,,,2026-07-19T01:12:23Z
F110,F,6,,,2026-07-19T01:12:23Z
F110,G,9,,,2026-07-19T01:12:23Z
F110,G,10,,,2026-07-19T01:12:23Z
F110,Y,11,,,2026-07-19T01:12:23Z
F110,Y,12,,,2026-07-19T01:12:23Z
F110,Z,13,,,2026-07-19T01:12:23Z
F110,Z,14,,,2026-07-19T01:12:23Z
F110,V,15,,,2026-07-19T01:12:23Z
F110,V,16,,,2026-07-19T01:12:23Z
F110,V,17,,,2026-07-19T01:12:23Z
F110,V,18,,,2026-07-19T01:12:23Z
C339,A,8,,,2026-07-19T01:12:23Z
C339,A,9,,,2026-07-19T01:12:23Z
C339,B,5,,,2026-07-19T01:12:23Z
C339,B,6,,,2026-07-19T01:12:23Z
C342,A,1,,,2026-07-19T01:12:23Z
C342,A,2,,,2026-07-19T01:12:23Z
C342,A,3,,,2026-07-19T01:12:23Z
C342,A,4,,,2026-07-19T01:12:23Z
C342,A,5,,,2026-07-19T01:12:23Z
C342,A,6,,,2026-07-19T01:12:23Z
C342,A,7,,,2026-07-19T01:12:23Z
C342,A,8,,,2026-07-19T01:12:23Z
C342,D,1,,,2026-07-19T01:12:23Z
C342,D,2,,,2026-07-19T01:12:23Z
C342,C,1,,,2026-07-19T01:12:23Z
C342,C,2,,,2026-07-19T01:12:23Z
C342,C,3,,,2026-07-19T01:12:23Z
C342,C,4,,,2026-07-19T01:12:23Z
C342,C,5,,,2026-07-19T01:12:23Z
C342,C,6,,,2026-07-19T01:12:23Z
C342,C,7,,,2026-07-19T01:12:23Z
C342,C,8,,,2026-07-19T01:12:23Z
C348,A,4,,,2026-07-19T01:12:23Z
C348,A,5,,,2026-07-19T01:12:23Z
C348,A,6,,,2026-07-19T01:12:23Z
C348,A,7,,,2026-07-19T01:12:23Z
V406,B,1,,,2026-07-19T01:12:23Z
V406,B,2,,,2026-07-19T01:12:23Z
V406,B,3,,,2026-07-19T01:12:23Z
V406,B,4,,,2026-07-19T01:12:23Z
V406,B,5,,,2026-07-19T01:12:23Z
V406,B,6,,,2026-07-19T01:12:23Z
V406,B,7,,,2026-07-19T01:12:23Z
V406,B,8,,,2026-07-19T01:12:23Z
V406,B,9,,,2026-07-19T01:12:23Z
V532,B,4,,,2026-07-19T01:12:23Z
V532,B,5,,,2026-07-19T01:12:23Z
V532,B,6,,,2026-07-19T01:12:23Z
V532,B,7,,,2026-07-19T01:12:23Z
V532,B,8,,,2026-07-19T01:12:23Z
V532,B,9,,,2026-07-19T01:12:23Z
V532,B,10,,,2026-07-19T01:12:23Z
V532,B,11,,,2026-07-19T01:12:23Z
V538,B,1,,,2026-07-19T01:12:23Z
V538,B,2,,,2026-07-19T01:12:23Z
V538,B,3,,,2026-07-19T01:12:23Z
V538,B,4,,,2026-07-19T01:12:23Z
V538,B,5,,,2026-07-19T01:12:23Z
V538,B,6,,,2026-07-19T01:12:23Z
V538,B,7,,,2026-07-19T01:12:23Z
V538,B,8,,,2026-07-19T01:12:23Z
C314,E,5,,,2026-07-19T01:12:23Z
C314,E,6,,,2026-07-19T01:12:23Z
C310,A,5,,,2026-07-19T01:12:23Z
C310,A,6,,,2026-07-19T01:12:23Z
C310,B,9,,,2026-07-19T01:12:23Z
C310,B,10,,,2026-07-19T01:12:23Z
V411,C,24,,,2026-07-19T01:12:23Z
V411,C,25,,,2026-07-19T01:12:23Z
F130,E,9,,,2026-07-19T01:12:23Z
F130,E,10,,,2026-07-19T01:12:23Z
F130,J,9,,,2026-07-19T01:12:23Z
F130,J,10,,,2026-07-19T01:12:23Z
P247,B,14,,,2026-07-19T01:12:23Z
P247,B,15,,,2026-07-19T01:12:23Z
P247,B,16,,,2026-07-19T01:12:23Z
P247,B,17,,,2026-07-19T01:12:23Z
P244,B,7,,,2026-07-19T01:12:23Z
P244,B,8,,,2026-07-19T01:12:23Z
P244,B,9,,,2026-07-19T01:12:23Z
P244,B,10,,,2026-07-19T01:12:23Z
P248,B,3,,,2026-07-19T01:12:23Z
P248,B,4,,,2026-07-19T01:12:23Z
P248,B,5,,,2026-07-19T01:12:23Z
P248,B,6,,,2026-07-19T01:12:23Z
P248,C,5,,,2026-07-19T01:12:23Z
P248,C,6,,,2026-07-19T01:12:23Z
P248,C,7,,,2026-07-19T01:12:23Z
P248,C,8,,,2026-07-19T01:12:23Z
P248,C,9,,,2026-07-19T01:12:23Z
P248,C,10,,,2026-07-19T01:12:23Z
P248,C,11,,,2026-07-19T01:12:23Z
V417,H,3,,,2026-07-19T01:12:23Z
V417,H,4,,,2026-07-19T01:12:23Z
V417,H,5,,,2026-07-19T01:12:23Z
V417,H,6,,,2026-07-19T01:12:23Z
T223,B,17,,,2026-07-19T01:12:23Z
T223,B,18,,,2026-07-19T01:12:23Z
T223,C,3,,,2026-07-19T01:12:23Z
T223,C,4,,,2026-07-19T01:12:23Z
T223,C,5,,,2026-07-19T01:12:23Z
T223,C,6,,,2026-07-19T01:12:23Z
C312,B,3,,,2026-07-19T01:12:23Z
C312,B,4,,,2026-07-19T01:12:23Z
C312,B,5,,,2026-07-19T01:12:23Z
C312,B,6,,,2026-07-19T01:12:23Z
C309,G,11,,,2026-07-19T01:12:23Z
C309,G,12,,,2026-07-19T01:12:23Z
C309,A,3,,,2026-07-19T01:12:23Z
C309,A,4,,,2026-07-19T01:12:23Z
C309,A,5,,,2026-07-19T01:12:23Z
C309,A,6,,,2026-07-19T01:12:23Z
F129,E,13,,,2026-07-19T01:12:23Z
F129,E,14,,,2026-07-19T01:12:23Z
P246,B,13,,,2026-07-19T01:12:23Z
P246,B,14,,,2026-07-19T01:12:23Z
P246,B,15,,,2026-07-19T01:12:23Z
P246,B,16,,,2026-07-19T01:12:23Z
T205,F,3,,,2026-07-19T01:12:23Z
T205,F,4,,,2026-07-19T01:12:23Z
T205,F,5,,,2026-07-19T01:12:23Z
T205,F,6,,,2026-07-19T01:12:23Z
