section,row,seat,price_usd,selection_type,scraped_at
C312,B,9,,,2026-07-19T19:09:57Z
C312,B,10,,,2026-07-19T19:09:57Z
C319,B,5,,,2026-07-19T19:09:57Z
C319,B,6,,,2026-07-19T19:09:57Z
C331,B,1,,,2026-07-19T19:09:57Z
C331,B,2,,,2026-07-19T19:09:57Z
C338,A,1,,,2026-07-19T19:09:57Z
C338,A,2,,,2026-07-19T19:09:57Z
C338,A,3,,,2026-07-19T19:09:57Z
C338,A,4,,,2026-07-19T19:09:57Z
C340,A,1,,,2026-07-19T19:09:57Z
C340,A,2,,,2026-07-19T19:09:57Z
C345,A,7,,,2026-07-19T19:09:57Z
C345,A,8,,,2026-07-19T19:09:57Z
F104,C,8,,,2026-07-19T19:09:57Z
F104,C,9,,,2026-07-19T19:09:57Z
F106,B,11,,,2026-07-19T19:09:57Z
F106,B,12,,,2026-07-19T19:09:57Z
F107,A,7,,,2026-07-19T19:09:57Z
F107,A,8,,,2026-07-19T19:09:57Z
F108,D,3,,,2026-07-19T19:09:57Z
F108,D,4,,,2026-07-19T19:09:57Z
F108,D,5,,,2026-07-19T19:09:57Z
F108,D,6,,,2026-07-19T19:09:57Z
F128,C,5,,,2026-07-19T19:09:57Z
F128,C,6,,,2026-07-19T19:09:57Z
F128,C,7,,,2026-07-19T19:09:57Z
F128,C,8,,,2026-07-19T19:09:57Z
F128,C,9,,,2026-07-19T19:09:57Z
F128,C,10,,,2026-07-19T19:09:57Z
F128,C,11,,,2026-07-19T19:09:57Z
F131,F,7,,,2026-07-19T19:09:57Z
F131,F,8,,,2026-07-19T19:09:57Z
F131,F,9,,,2026-07-19T19:09:57Z
F131,F,10,,,2026-07-19T19:09:57Z
F131,F,11,,,2026-07-19T19:09:57Z
F131,F,12,,,2026-07-19T19:09:57Z
F131,G,14,,,2026-07-19T19:09:57Z
F131,G,15,,,2026-07-19T19:09:57Z
F132,C,1,,,2026-07-19T19:09:57Z
F132,C,2,,,2026-07-19T19:09:57Z
F132,C,3,,,2026-07-19T19:09:57Z
F132,C,4,,,2026-07-19T19:09:57Z
F132,C,5,,,2026-07-19T19:09:57Z
F132,C,6,,,2026-07-19T19:09:57Z
P238,A,5,,,2026-07-19T19:09:57Z
P238,A,6,,,2026-07-19T19:09:57Z
P238,A,7,,,2026-07-19T19:09:57Z
P238,A,8,,,2026-07-19T19:09:57Z
P238,D,20,,,2026-07-19T19:09:57Z
P238,D,21,,,2026-07-19T19:09:57Z
P238,D,22,,,2026-07-19T19:09:57Z
P238,D,23,,,2026-07-19T19:09:57Z
P238,J,9,,,2026-07-19T19:09:57Z
P238,J,10,,,2026-07-19T19:09:57Z
P238,J,11,,,2026-07-19T19:09:57Z
P238,J,12,,,2026-07-19T19:09:57Z
P238,J,13,,,2026-07-19T19:09:57Z
P238,J,14,,,2026-07-19T19:09:57Z
P239,C,5,,,2026-07-19T19:09:57Z
P239,C,6,,,2026-07-19T19:09:57Z
P239,C,7,,,2026-07-19T19:09:57Z
P239,C,8,,,2026-07-19T19:09:57Z
P240,B,9,,,2026-07-19T19:09:57Z
P240,B,10,,,2026-07-19T19:09:57Z
P240,B,11,,,2026-07-19T19:09:57Z
P240,B,12,,,2026-07-19T19:09:57Z
P244,B,10,,,2026-07-19T19:09:57Z
P244,B,11,,,2026-07-19T19:09:57Z
P244,B,12,,,2026-07-19T19:09:57Z
P244,B,13,,,2026-07-19T19:09:57Z
P245,A,12,,,2026-07-19T19:09:57Z
P245,A,13,,,2026-07-19T19:09:57Z
P245,A,14,,,2026-07-19T19:09:57Z
P245,A,15,,,2026-07-19T19:09:57Z
P245,A,16,,,2026-07-19T19:09:57Z
P245,B,5,,,2026-07-19T19:09:57Z
P245,B,6,,,2026-07-19T19:09:57Z
P245,B,7,,,2026-07-19T19:09:57Z
P245,B,8,,,2026-07-19T19:09:57Z
P245,B,9,,,2026-07-19T19:09:57Z
P245,B,10,,,2026-07-19T19:09:57Z
P245,B,11,,,2026-07-19T19:09:57Z
P246,B,13,,,2026-07-19T19:09:57Z
P246,B,14,,,2026-07-19T19:09:57Z
P246,B,15,,,2026-07-19T19:09:57Z
P246,B,16,,,2026-07-19T19:09:57Z
P247,B,14,,,2026-07-19T19:09:57Z
P247,B,15,,,2026-07-19T19:09:57Z
P247,B,16,,,2026-07-19T19:09:57Z
P247,B,17,,,2026-07-19T19:09:57Z
P248,B,3,,,2026-07-19T19:09:57Z
P248,B,4,,,2026-07-19T19:09:57Z
P248,B,5,,,2026-07-19T19:09:57Z
P248,B,6,,,2026-07-19T19:09:57Z
P257,C,10,,,2026-07-19T19:09:57Z
P257,C,11,,,2026-07-19T19:09:57Z
P257,C,12,,,2026-07-19T19:09:57Z
