section,row,seat,price_usd,selection_type,scraped_at
T208,A,11,,,2026-07-21T01:14:36Z
T208,A,12,,,2026-07-21T01:14:36Z
T208,F,16,,,2026-07-21T01:14:36Z
T208,F,17,,,2026-07-21T01:14:36Z
T208,F,18,,,2026-07-21T01:14:36Z
T208,F,19,,,2026-07-21T01:14:36Z
F104,C,8,,,2026-07-21T01:14:36Z
F104,C,9,,,2026-07-21T01:14:36Z
F104,K,1,,,2026-07-21T01:14:36Z
F104,K,2,,,2026-07-21T01:14:36Z
T229,C,5,,,2026-07-21T01:14:36Z
T229,C,6,,,2026-07-21T01:14:36Z
T229,C,7,,,2026-07-21T01:14:36Z
T229,C,8,,,2026-07-21T01:14:36Z
T229,C,9,,,2026-07-21T01:14:36Z
T229,C,10,,,2026-07-21T01:14:36Z
P247,B,14,,,2026-07-21T01:14:36Z
P247,B,15,,,2026-07-21T01:14:36Z
P247,B,16,,,2026-07-21T01:14:36Z
P247,B,17,,,2026-07-21T01:14:36Z
P248,B,3,,,2026-07-21T01:14:36Z
P248,B,4,,,2026-07-21T01:14:36Z
P248,B,5,,,2026-07-21T01:14:36Z
P248,B,6,,,2026-07-21T01:14:36Z
P248,C,5,,,2026-07-21T01:14:36Z
P248,C,6,,,2026-07-21T01:14:36Z
P248,C,7,,,2026-07-21T01:14:36Z
P248,C,8,,,2026-07-21T01:14:36Z
P248,C,9,,,2026-07-21T01:14:36Z
P248,C,10,,,2026-07-21T01:14:36Z
P248,C,11,,,2026-07-21T01:14:36Z
P248,C,12,,,2026-07-21T01:14:36Z
P248,C,13,,,2026-07-21T01:14:36Z
P248,C,14,,,2026-07-21T01:14:36Z
P248,C,15,,,2026-07-21T01:14:36Z
P248,C,16,,,2026-07-21T01:14:36Z
P246,B,13,,,2026-07-21T01:14:36Z
P246,B,14,,,2026-07-21T01:14:36Z
P246,B,15,,,2026-07-21T01:14:36Z
P246,B,16,,,2026-07-21T01:14:36Z
T206,H,16,,,2026-07-21T01:14:36Z
T206,H,17,,,2026-07-21T01:14:36Z
T206,H,18,,,2026-07-21T01:14:36Z
T206,H,19,,,2026-07-21T01:14:36Z
T206,H,20,,,2026-07-21T01:14:36Z
T206,H,21,,,2026-07-21T01:14:36Z
T206,H,22,,,2026-07-21T01:14:36Z
T206,H,23,,,2026-07-21T01:14:36Z
F132,H,1,,,2026-07-21T01:14:36Z
F132,H,2,,,2026-07-21T01:14:36Z
F132,H,3,,,2026-07-21T01:14:36Z
F132,H,4,,,2026-07-21T01:14:36Z
F132,Z,1,,,2026-07-21T01:14:36Z
F132,Z,2,,,2026-07-21T01:14:36Z
F132,Z,3,,,2026-07-21T01:14:36Z
F132,Z,4,,,2026-07-21T01:14:36Z
T225,A,13,,,2026-07-21T01:14:36Z
T225,A,14,,,2026-07-21T01:14:36Z
T225,D,7,,,2026-07-21T01:14:36Z
T225,D,8,,,2026-07-21T01:14:36Z
C319,B,3,,,2026-07-21T01:14:36Z
C319,B,4,,,2026-07-21T01:14:36Z
C319,G,5,,,2026-07-21T01:14:36Z
C319,G,6,,,2026-07-21T01:14:36Z
C319,G,7,,,2026-07-21T01:14:36Z
