section,row,seat,price_usd,selection_type,scraped_at
C338,A,1,,,2026-07-29T00:42:28Z
C338,A,2,,,2026-07-29T00:42:28Z
C338,A,3,,,2026-07-29T00:42:28Z
C338,A,4,,,2026-07-29T00:42:28Z
F107,A,7,,,2026-07-29T00:42:28Z
F107,A,8,,,2026-07-29T00:42:28Z
F108,D,3,,,2026-07-29T00:42:28Z
F108,D,4,,,2026-07-29T00:42:28Z
F128,C,5,,,2026-07-29T00:42:28Z
F128,C,6,,,2026-07-29T00:42:28Z
F128,C,7,,,2026-07-29T00:42:28Z
F128,C,8,,,2026-07-29T00:42:28Z
F128,C,9,,,2026-07-29T00:42:28Z
F128,C,10,,,2026-07-29T00:42:28Z
F128,D,15,,,2026-07-29T00:42:28Z
F128,D,16,,,2026-07-29T00:42:28Z
F128,D,17,,,2026-07-29T00:42:28Z
F128,D,18,,,2026-07-29T00:42:28Z
F129,A,7,,,2026-07-29T00:42:28Z
F129,A,8,,,2026-07-29T00:42:28Z
P237,E,15,,,2026-07-29T00:42:28Z
P237,E,16,,,2026-07-29T00:42:28Z
P237,E,17,,,2026-07-29T00:42:28Z
P237,E,18,,,2026-07-29T00:42:28Z
P238,D,7,,,2026-07-29T00:42:28Z
P238,D,8,,,2026-07-29T00:42:28Z
P238,D,9,,,2026-07-29T00:42:28Z
P238,D,10,,,2026-07-29T00:42:28Z
P238,J,9,,,2026-07-29T00:42:28Z
P238,J,10,,,2026-07-29T00:42:28Z
P238,J,11,,,2026-07-29T00:42:28Z
P238,J,12,,,2026-07-29T00:42:28Z
P238,J,13,,,2026-07-29T00:42:28Z
P238,J,14,,,2026-07-29T00:42:28Z
P239,C,5,,,2026-07-29T00:42:28Z
P239,C,6,,,2026-07-29T00:42:28Z
P239,C,7,,,2026-07-29T00:42:28Z
P239,C,8,,,2026-07-29T00:42:28Z
P239,E,24,,,2026-07-29T00:42:28Z
P239,E,25,,,2026-07-29T00:42:28Z
P244,B,7,,,2026-07-29T00:42:28Z
P244,B,8,,,2026-07-29T00:42:28Z
P244,B,9,,,2026-07-29T00:42:28Z
P244,B,10,,,2026-07-29T00:42:28Z
P245,B,5,,,2026-07-29T00:42:28Z
P245,B,6,,,2026-07-29T00:42:28Z
P245,B,7,,,2026-07-29T00:42:28Z
P245,B,8,,,2026-07-29T00:42:28Z
P245,B,9,,,2026-07-29T00:42:28Z
P245,B,10,,,2026-07-29T00:42:28Z
P246,B,13,,,2026-07-29T00:42:28Z
P246,B,14,,,2026-07-29T00:42:28Z
P247,B,14,,,2026-07-29T00:42:28Z
P247,B,15,,,2026-07-29T00:42:28Z
P247,B,16,,,2026-07-29T00:42:28Z
P247,B,17,,,2026-07-29T00:42:28Z
P248,B,3,,,2026-07-29T00:42:28Z
P248,B,4,,,2026-07-29T00:42:28Z
P248,B,5,,,2026-07-29T00:42:28Z
P248,B,6,,,2026-07-29T00:42:28Z
P248,C,5,,,2026-07-29T00:42:28Z
P248,C,6,,,2026-07-29T00:42:28Z
P248,C,7,,,2026-07-29T00:42:28Z
P248,C,8,,,2026-07-29T00:42:28Z
P248,C,9,,,2026-07-29T00:42:28Z
P248,C,10,,,2026-07-29T00:42:28Z
P257,C,10,,,2026-07-29T00:42:28Z
P257,C,11,,,2026-07-29T00:42:28Z
P258,J,9,,,2026-07-29T00:42:28Z
P258,J,10,,,2026-07-29T00:42:28Z
P258,J,11,,,2026-07-29T00:42:28Z
P258,J,12,,,2026-07-29T00:42:28Z
P259,H,5,,,2026-07-29T00:42:28Z
P259,H,6,,,2026-07-29T00:42:28Z
P259,H,7,,,2026-07-29T00:42:28Z
P259,H,8,,,2026-07-29T00:42:28Z
P259,H,9,,,2026-07-29T00:42:28Z
P259,H,10,,,2026-07-29T00:42:28Z
P260,J,5,,,2026-07-29T00:42:28Z
P260,J,6,,,2026-07-29T00:42:28Z
P260,J,7,,,2026-07-29T00:42:28Z
P260,J,8,,,2026-07-29T00:42:28Z
P260,J,9,,,2026-07-29T00:42:28Z
P260,J,10,,,2026-07-29T00:42:28Z
T204,A,10,,,2026-07-29T00:42:28Z
T204,A,11,,,2026-07-29T00:42:28Z
T204,A,12,,,2026-07-29T00:42:28Z
T204,A,13,,,2026-07-29T00:42:28Z
T204,B,15,,,2026-07-29T00:42:28Z
T204,B,16,,,2026-07-29T00:42:28Z
T205,B,11,,,2026-07-29T00:42:28Z
T205,B,12,,,2026-07-29T00:42:28Z
T205,C,15,,,2026-07-29T00:42:28Z
T205,C,16,,,2026-07-29T00:42:28Z
T205,C,17,,,2026-07-29T00:42:28Z
T205,C,18,,,2026-07-29T00:42:28Z
T205,H,21,,,2026-07-29T00:42:28Z
T205,H,22,,,2026-07-29T00:42:28Z
T229,C,5,,,2026-07-29T00:42:28Z
T229,C,6,,,2026-07-29T00:42:28Z
T229,C,7,,,2026-07-29T00:42:28Z
T229,C,8,,,2026-07-29T00:42:28Z
T229,C,9,,,2026-07-29T00:42:28Z
T229,C,10,,,2026-07-29T00:42:28Z
V427,A,13,,,2026-07-29T00:42:28Z
V427,A,14,,,2026-07-29T00:42:28Z
