section,row,seat,price_usd,selection_type,scraped_at
106,26,15,,,2026-07-05T18:32:35Z
106,26,16,,,2026-07-05T18:32:35Z
107,28,8,,,2026-07-05T18:32:35Z
107,28,9,,,2026-07-05T18:32:35Z
114,11,5,,,2026-07-05T18:32:35Z
114,11,6,,,2026-07-05T18:32:35Z
114,11,7,,,2026-07-05T18:32:35Z
114,11,8,,,2026-07-05T18:32:35Z
116,12,9,,,2026-07-05T18:32:35Z
116,12,10,,,2026-07-05T18:32:35Z
116,12,11,,,2026-07-05T18:32:35Z
116,12,12,,,2026-07-05T18:32:35Z
116,12,13,,,2026-07-05T18:32:35Z
116,12,14,,,2026-07-05T18:32:35Z
128,26,15,,,2026-07-05T18:32:35Z
128,26,16,,,2026-07-05T18:32:35Z
129,17,13,,,2026-07-05T18:32:35Z
129,17,14,,,2026-07-05T18:32:35Z
132,20,7,,,2026-07-05T18:32:35Z
132,20,8,,,2026-07-05T18:32:35Z
132,28,13,,,2026-07-05T18:32:35Z
132,28,14,,,2026-07-05T18:32:35Z
152,17,13,,,2026-07-05T18:32:35Z
152,17,14,,,2026-07-05T18:32:35Z
152,22,1,,,2026-07-05T18:32:35Z
152,22,2,,,2026-07-05T18:32:35Z
152,22,3,,,2026-07-05T18:32:35Z
152,22,4,,,2026-07-05T18:32:35Z
153,13,13,,,2026-07-05T18:32:35Z
153,13,14,,,2026-07-05T18:32:35Z
153,15,19,,,2026-07-05T18:32:35Z
153,15,20,,,2026-07-05T18:32:35Z
153,15,21,,,2026-07-05T18:32:35Z
153,15,22,,,2026-07-05T18:32:35Z
153,15,23,,,2026-07-05T18:32:35Z
153,15,24,,,2026-07-05T18:32:35Z
154,14,9,,,2026-07-05T18:32:35Z
154,14,10,,,2026-07-05T18:32:35Z
154,14,11,,,2026-07-05T18:32:35Z
154,14,12,,,2026-07-05T18:32:35Z
154,20,1,,,2026-07-05T18:32:35Z
154,20,2,,,2026-07-05T18:32:35Z
155,16,11,,,2026-07-05T18:32:35Z
155,16,12,,,2026-07-05T18:32:35Z
155,16,13,,,2026-07-05T18:32:35Z
155,16,14,,,2026-07-05T18:32:35Z
155,16,15,,,2026-07-05T18:32:35Z
155,16,16,,,2026-07-05T18:32:35Z
155,16,17,,,2026-07-05T18:32:35Z
155,16,18,,,2026-07-05T18:32:35Z
156,7,6,,,2026-07-05T18:32:35Z
156,7,7,,,2026-07-05T18:32:35Z
156,7,8,,,2026-07-05T18:32:35Z
156,7,9,,,2026-07-05T18:32:35Z
156,13,3,,,2026-07-05T18:32:35Z
156,13,4,,,2026-07-05T18:32:35Z
231,1,9,,,2026-07-05T18:32:35Z
231,1,10,,,2026-07-05T18:32:35Z
233,3,7,,,2026-07-05T18:32:35Z
233,3,8,,,2026-07-05T18:32:35Z
233,6,5,,,2026-07-05T18:32:35Z
233,6,6,,,2026-07-05T18:32:35Z
235,5,1,,,2026-07-05T18:32:35Z
235,5,2,,,2026-07-05T18:32:35Z
236,2,6,,,2026-07-05T18:32:35Z
236,2,7,,,2026-07-05T18:32:35Z
236,3,3,,,2026-07-05T18:32:35Z
236,3,4,,,2026-07-05T18:32:35Z
251,6,1,,,2026-07-05T18:32:35Z
251,6,2,,,2026-07-05T18:32:35Z
251,6,3,,,2026-07-05T18:32:35Z
251,6,4,,,2026-07-05T18:32:35Z
251,9,7,,,2026-07-05T18:32:35Z
251,9,8,,,2026-07-05T18:32:35Z
251,9,9,,,2026-07-05T18:32:35Z
251,9,10,,,2026-07-05T18:32:35Z
253,6,1,,,2026-07-05T18:32:35Z
253,6,2,,,2026-07-05T18:32:35Z
253,12,12,,,2026-07-05T18:32:35Z
253,12,13,,,2026-07-05T18:32:35Z
253,12,14,,,2026-07-05T18:32:35Z
253,12,15,,,2026-07-05T18:32:35Z
254,4,5,,,2026-07-05T18:32:35Z
254,4,6,,,2026-07-05T18:32:35Z
255,6,3,,,2026-07-05T18:32:35Z
255,6,4,,,2026-07-05T18:32:35Z
255,6,5,,,2026-07-05T18:32:35Z
255,6,6,,,2026-07-05T18:32:35Z
255,6,7,,,2026-07-05T18:32:35Z
255,6,8,,,2026-07-05T18:32:35Z
255,9,18,,,2026-07-05T18:32:35Z
255,9,19,,,2026-07-05T18:32:35Z
305,1,3,,,2026-07-05T18:32:35Z
305,1,4,,,2026-07-05T18:32:35Z
309,2,14,,,2026-07-05T18:32:35Z
309,2,15,,,2026-07-05T18:32:35Z
309,2,16,,,2026-07-05T18:32:35Z
309,2,17,,,2026-07-05T18:32:35Z
309,2,18,,,2026-07-05T18:32:35Z
309,4,3,,,2026-07-05T18:32:35Z
309,4,4,,,2026-07-05T18:32:35Z
310,1,3,,,2026-07-05T18:32:35Z
310,1,4,,,2026-07-05T18:32:35Z
310,4,9,,,2026-07-05T18:32:35Z
310,4,10,,,2026-07-05T18:32:35Z
310,4,11,,,2026-07-05T18:32:35Z
310,4,12,,,2026-07-05T18:32:35Z
310,4,13,,,2026-07-05T18:32:35Z
310,4,14,,,2026-07-05T18:32:35Z
310,4,15,,,2026-07-05T18:32:35Z
310,4,16,,,2026-07-05T18:32:35Z
311,4,9,,,2026-07-05T18:32:35Z
311,4,10,,,2026-07-05T18:32:35Z
313,5,1,,,2026-07-05T18:32:35Z
313,5,2,,,2026-07-05T18:32:35Z
313,8,3,,,2026-07-05T18:32:35Z
313,8,4,,,2026-07-05T18:32:35Z
313,8,5,,,2026-07-05T18:32:35Z
313,8,6,,,2026-07-05T18:32:35Z
313,8,7,,,2026-07-05T18:32:35Z
313,8,8,,,2026-07-05T18:32:35Z
314,3,7,,,2026-07-05T18:32:35Z
314,3,8,,,2026-07-05T18:32:35Z
315,7,1,,,2026-07-05T18:32:35Z
315,7,2,,,2026-07-05T18:32:35Z
316,4,13,,,2026-07-05T18:32:35Z
316,4,14,,,2026-07-05T18:32:35Z
317,1,1,,,2026-07-05T18:32:35Z
317,1,2,,,2026-07-05T18:32:35Z
320,2,5,,,2026-07-05T18:32:35Z
320,2,6,,,2026-07-05T18:32:35Z
321,4,13,,,2026-07-05T18:32:35Z
321,4,14,,,2026-07-05T18:32:35Z
321,8,5,,,2026-07-05T18:32:35Z
321,8,6,,,2026-07-05T18:32:35Z
321,8,7,,,2026-07-05T18:32:35Z
321,8,8,,,2026-07-05T18:32:35Z
325,9,1,,,2026-07-05T18:32:35Z
325,9,2,,,2026-07-05T18:32:35Z
325,9,3,,,2026-07-05T18:32:35Z
325,9,4,,,2026-07-05T18:32:35Z
327,3,10,,,2026-07-05T18:32:35Z
327,3,11,,,2026-07-05T18:32:35Z
328,5,15,,,2026-07-05T18:32:35Z
328,5,16,,,2026-07-05T18:32:35Z
328,5,17,,,2026-07-05T18:32:35Z
328,5,18,,,2026-07-05T18:32:35Z
328,5,19,,,2026-07-05T18:32:35Z
328,5,20,,,2026-07-05T18:32:35Z
