section,row,seat,price_usd,selection_type,scraped_at
332,1,4,,,2026-07-21T23:16:07Z
332,1,5,,,2026-07-21T23:16:07Z
124,19,5,,,2026-07-21T23:16:07Z
124,19,6,,,2026-07-21T23:16:07Z
417,1,7,,,2026-07-21T23:16:07Z
417,1,8,,,2026-07-21T23:16:07Z
321,3,4,,,2026-07-21T23:16:07Z
321,3,5,,,2026-07-21T23:16:07Z
310,2,16,,,2026-07-21T23:16:07Z
310,2,17,,,2026-07-21T23:16:07Z
132,25,13,,,2026-07-21T23:16:07Z
132,25,14,,,2026-07-21T23:16:07Z
132,23,12,,,2026-07-21T23:16:07Z
132,23,13,,,2026-07-21T23:16:07Z
324,3,9,,,2026-07-21T23:16:07Z
324,3,10,,,2026-07-21T23:16:07Z
102,10,1,,,2026-07-21T23:16:07Z
102,10,2,,,2026-07-21T23:16:07Z
154,12,16,,,2026-07-21T23:16:07Z
154,12,17,,,2026-07-21T23:16:07Z
154,10,9,,,2026-07-21T23:16:07Z
154,10,10,,,2026-07-21T23:16:07Z
155,11,18,,,2026-07-21T23:16:07Z
155,11,19,,,2026-07-21T23:16:07Z
155,13,1,,,2026-07-21T23:16:07Z
155,13,2,,,2026-07-21T23:16:07Z
153,11,21,,,2026-07-21T23:16:07Z
153,11,22,,,2026-07-21T23:16:07Z
313,2,1,,,2026-07-21T23:16:07Z
313,2,2,,,2026-07-21T23:16:07Z
315,7,1,,,2026-07-21T23:16:07Z
315,7,2,,,2026-07-21T23:16:07Z
315,5,14,,,2026-07-21T23:16:07Z
315,5,15,,,2026-07-21T23:16:07Z
127,26,3,,,2026-07-21T23:16:07Z
127,26,4,,,2026-07-21T23:16:07Z
314,4,1,,,2026-07-21T23:16:07Z
314,4,2,,,2026-07-21T23:16:07Z
125,18,15,,,2026-07-21T23:16:07Z
125,18,16,,,2026-07-21T23:16:07Z
