section,row,seat,price_usd,selection_type,scraped_at
154,3,8,,,2026-07-06T22:53:22Z
154,3,9,,,2026-07-06T22:53:22Z
154,9,5,,,2026-07-06T22:53:22Z
154,9,6,,,2026-07-06T22:53:22Z
154,9,7,,,2026-07-06T22:53:22Z
154,9,8,,,2026-07-06T22:53:22Z
154,16,1,,,2026-07-06T22:53:22Z
154,16,2,,,2026-07-06T22:53:22Z
154,12,5,,,2026-07-06T22:53:22Z
154,12,6,,,2026-07-06T22:53:22Z
148,2,5,,,2026-07-06T22:53:22Z
148,2,6,,,2026-07-06T22:53:22Z
148,15,3,,,2026-07-06T22:53:22Z
148,15,4,,,2026-07-06T22:53:22Z
148,11,5,,,2026-07-06T22:53:22Z
148,11,6,,,2026-07-06T22:53:22Z
148,8,5,,,2026-07-06T22:53:22Z
148,8,6,,,2026-07-06T22:53:22Z
132D,B,1,,,2026-07-06T22:53:22Z
132D,B,2,,,2026-07-06T22:53:22Z
132D,B,3,,,2026-07-06T22:53:22Z
132D,B,4,,,2026-07-06T22:53:22Z
165D,B,1,,,2026-07-06T22:53:22Z
165D,B,2,,,2026-07-06T22:53:22Z
165D,B,3,,,2026-07-06T22:53:22Z
165D,B,4,,,2026-07-06T22:53:22Z
142,3,9,,,2026-07-06T22:53:22Z
142,3,10,,,2026-07-06T22:53:22Z
142,3,11,,,2026-07-06T22:53:22Z
142,3,12,,,2026-07-06T22:53:22Z
142,1,5,,,2026-07-06T22:53:22Z
142,1,6,,,2026-07-06T22:53:22Z
142,1,7,,,2026-07-06T22:53:22Z
142,1,8,,,2026-07-06T22:53:22Z
149,8,5,,,2026-07-06T22:53:22Z
149,8,6,,,2026-07-06T22:53:22Z
149,8,7,,,2026-07-06T22:53:22Z
149,8,8,,,2026-07-06T22:53:22Z
149,13,5,,,2026-07-06T22:53:22Z
149,13,6,,,2026-07-06T22:53:22Z
149,10,5,,,2026-07-06T22:53:22Z
149,10,6,,,2026-07-06T22:53:22Z
149,10,7,,,2026-07-06T22:53:22Z
149,10,8,,,2026-07-06T22:53:22Z
163D,B,5,,,2026-07-06T22:53:22Z
163D,B,6,,,2026-07-06T22:53:22Z
147,3,7,,,2026-07-06T22:53:22Z
147,3,8,,,2026-07-06T22:53:22Z
147,12,5,,,2026-07-06T22:53:22Z
147,12,6,,,2026-07-06T22:53:22Z
147,12,7,,,2026-07-06T22:53:22Z
147,12,8,,,2026-07-06T22:53:22Z
147,14,5,,,2026-07-06T22:53:22Z
147,14,6,,,2026-07-06T22:53:22Z
147,2,7,,,2026-07-06T22:53:22Z
147,2,8,,,2026-07-06T22:53:22Z
147,9,3,,,2026-07-06T22:53:22Z
147,9,4,,,2026-07-06T22:53:22Z
251,1,9,,,2026-07-06T22:53:22Z
251,1,10,,,2026-07-06T22:53:22Z
251,3,14,,,2026-07-06T22:53:22Z
251,3,15,,,2026-07-06T22:53:22Z
251,3,16,,,2026-07-06T22:53:22Z
251,3,17,,,2026-07-06T22:53:22Z
250,2,9,,,2026-07-06T22:53:22Z
250,2,10,,,2026-07-06T22:53:22Z
250,2,11,,,2026-07-06T22:53:22Z
250,2,12,,,2026-07-06T22:53:22Z
250,4,9,,,2026-07-06T22:53:22Z
250,4,10,,,2026-07-06T22:53:22Z
250,DR,13,,,2026-07-06T22:53:22Z
250,DR,14,,,2026-07-06T22:53:22Z
136D,C,5,,,2026-07-06T22:53:22Z
136D,C,6,,,2026-07-06T22:53:22Z
136D,C,7,,,2026-07-06T22:53:22Z
136D,C,8,,,2026-07-06T22:53:22Z
136D,A,5,,,2026-07-06T22:53:22Z
136D,A,6,,,2026-07-06T22:53:22Z
136D,A,7,,,2026-07-06T22:53:22Z
136D,A,8,,,2026-07-06T22:53:22Z
253,2,5,,,2026-07-06T22:53:22Z
253,2,6,,,2026-07-06T22:53:22Z
253,15,1,,,2026-07-06T22:53:22Z
253,15,2,,,2026-07-06T22:53:22Z
253,5,1,,,2026-07-06T22:53:22Z
253,5,2,,,2026-07-06T22:53:22Z
163,1,1,,,2026-07-06T22:53:22Z
163,1,2,,,2026-07-06T22:53:22Z
163,17,1,,,2026-07-06T22:53:22Z
163,17,2,,,2026-07-06T22:53:22Z
