section,row,seat,price_usd,selection_type,scraped_at
246,2,7,,,2026-07-23T20:23:35Z
246,2,8,,,2026-07-23T20:23:35Z
246,9,10,,,2026-07-23T20:23:35Z
246,9,11,,,2026-07-23T20:23:35Z
440,1,11,,,2026-07-23T20:23:35Z
440,1,12,,,2026-07-23T20:23:35Z
440,8,12,,,2026-07-23T20:23:35Z
440,8,13,,,2026-07-23T20:23:35Z
440,8,14,,,2026-07-23T20:23:35Z
440,8,15,,,2026-07-23T20:23:35Z
342,1,5,,,2026-07-23T20:23:35Z
342,1,6,,,2026-07-23T20:23:35Z
342,8,3,,,2026-07-23T20:23:35Z
342,8,4,,,2026-07-23T20:23:35Z
159,G,5,,,2026-07-23T20:23:35Z
159,G,6,,,2026-07-23T20:23:35Z
159,G,7,,,2026-07-23T20:23:35Z
159,G,8,,,2026-07-23T20:23:35Z
159,J,7,,,2026-07-23T20:23:35Z
159,J,8,,,2026-07-23T20:23:35Z
159,3,5,,,2026-07-23T20:23:35Z
159,3,6,,,2026-07-23T20:23:35Z
345,3,3,,,2026-07-23T20:23:35Z
345,3,4,,,2026-07-23T20:23:35Z
248,2,8,,,2026-07-23T20:23:35Z
248,2,9,,,2026-07-23T20:23:35Z
358,3,6,,,2026-07-23T20:23:35Z
358,3,7,,,2026-07-23T20:23:35Z
358,1,12,,,2026-07-23T20:23:35Z
358,1,13,,,2026-07-23T20:23:35Z
359,1,9,,,2026-07-23T20:23:35Z
359,1,10,,,2026-07-23T20:23:35Z
360,1,8,,,2026-07-23T20:23:35Z
360,1,9,,,2026-07-23T20:23:35Z
334,1,11,,,2026-07-23T20:23:35Z
334,1,12,,,2026-07-23T20:23:35Z
448,11,1,,,2026-07-23T20:23:35Z
448,11,2,,,2026-07-23T20:23:35Z
448,6,14,,,2026-07-23T20:23:35Z
448,6,15,,,2026-07-23T20:23:35Z
340,1,12,,,2026-07-23T20:23:35Z
340,1,13,,,2026-07-23T20:23:35Z
340,6,1,,,2026-07-23T20:23:35Z
340,6,2,,,2026-07-23T20:23:35Z
340,6,3,,,2026-07-23T20:23:35Z
340,6,4,,,2026-07-23T20:23:35Z
CH10,B,6,,,2026-07-23T20:23:35Z
CH10,B,7,,,2026-07-23T20:23:35Z
439,1,1,,,2026-07-23T20:23:35Z
439,1,2,,,2026-07-23T20:23:35Z
439,1,3,,,2026-07-23T20:23:35Z
439,1,4,,,2026-07-23T20:23:35Z
439,10,12,,,2026-07-23T20:23:35Z
439,10,13,,,2026-07-23T20:23:35Z
439,10,14,,,2026-07-23T20:23:35Z
439,10,15,,,2026-07-23T20:23:35Z
449,1,5,,,2026-07-23T20:23:35Z
449,1,6,,,2026-07-23T20:23:35Z
453,1,5,,,2026-07-23T20:23:35Z
453,1,6,,,2026-07-23T20:23:35Z
335,5,1,,,2026-07-23T20:23:35Z
335,5,2,,,2026-07-23T20:23:35Z
335,5,3,,,2026-07-23T20:23:35Z
335,5,4,,,2026-07-23T20:23:35Z
335,1,16,,,2026-07-23T20:23:35Z
335,1,17,,,2026-07-23T20:23:35Z
346,9,5,,,2026-07-23T20:23:35Z
346,9,6,,,2026-07-23T20:23:35Z
442,3,5,,,2026-07-23T20:23:35Z
442,3,6,,,2026-07-23T20:23:35Z
442,3,7,,,2026-07-23T20:23:35Z
442,3,8,,,2026-07-23T20:23:35Z
339,1,15,,,2026-07-23T20:23:35Z
339,1,16,,,2026-07-23T20:23:35Z
249,6,7,,,2026-07-23T20:23:35Z
249,6,8,,,2026-07-23T20:23:35Z
341,5,9,,,2026-07-23T20:23:35Z
341,5,10,,,2026-07-23T20:23:35Z
341,5,11,,,2026-07-23T20:23:35Z
341,5,12,,,2026-07-23T20:23:35Z
445,4,7,,,2026-07-23T20:23:35Z
445,4,8,,,2026-07-23T20:23:35Z
445,4,9,,,2026-07-23T20:23:35Z
445,4,10,,,2026-07-23T20:23:35Z
445,4,11,,,2026-07-23T20:23:35Z
445,4,12,,,2026-07-23T20:23:35Z
239,2,4,,,2026-07-23T20:23:35Z
239,2,5,,,2026-07-23T20:23:35Z
353,1,7,,,2026-07-23T20:23:35Z
353,1,8,,,2026-07-23T20:23:35Z
450,4,7,,,2026-07-23T20:23:35Z
450,4,8,,,2026-07-23T20:23:35Z
450,1,14,,,2026-07-23T20:23:35Z
450,1,15,,,2026-07-23T20:23:35Z
450,1,16,,,2026-07-23T20:23:35Z
450,1,17,,,2026-07-23T20:23:35Z
454,4,7,,,2026-07-23T20:23:35Z
454,4,8,,,2026-07-23T20:23:35Z
357,3,13,,,2026-07-23T20:23:35Z
357,3,14,,,2026-07-23T20:23:35Z
357,3,15,,,2026-07-23T20:23:35Z
357,3,16,,,2026-07-23T20:23:35Z
437,4,3,,,2026-07-23T20:23:35Z
437,4,4,,,2026-07-23T20:23:35Z
437,4,5,,,2026-07-23T20:23:35Z
437,4,6,,,2026-07-23T20:23:35Z
437,9,12,,,2026-07-23T20:23:35Z
437,9,13,,,2026-07-23T20:23:35Z
253,2,7,,,2026-07-23T20:23:35Z
253,2,8,,,2026-07-23T20:23:35Z
250,4,3,,,2026-07-23T20:23:35Z
250,4,4,,,2026-07-23T20:23:35Z
446,4,9,,,2026-07-23T20:23:35Z
446,4,10,,,2026-07-23T20:23:35Z
446,4,11,,,2026-07-23T20:23:35Z
446,4,12,,,2026-07-23T20:23:35Z
446,4,13,,,2026-07-23T20:23:35Z
251,6,13,,,2026-07-23T20:23:35Z
251,6,14,,,2026-07-23T20:23:35Z
344,9,15,,,2026-07-23T20:23:35Z
344,9,16,,,2026-07-23T20:23:35Z
337,3,17,,,2026-07-23T20:23:35Z
337,3,18,,,2026-07-23T20:23:35Z
337,3,19,,,2026-07-23T20:23:35Z
337,3,20,,,2026-07-23T20:23:35Z
447,10,2,,,2026-07-23T20:23:35Z
447,10,3,,,2026-07-23T20:23:35Z
195,8,6,,,2026-07-23T20:23:35Z
195,8,7,,,2026-07-23T20:23:35Z
195,8,8,,,2026-07-23T20:23:35Z
195,8,9,,,2026-07-23T20:23:35Z
195,8,10,,,2026-07-23T20:23:35Z
195,8,11,,,2026-07-23T20:23:35Z
195,16,18,,,2026-07-23T20:23:35Z
195,16,19,,,2026-07-23T20:23:35Z
263,2,17,,,2026-07-23T20:23:35Z
263,2,18,,,2026-07-23T20:23:35Z
189,16,2,,,2026-07-23T20:23:35Z
189,16,3,,,2026-07-23T20:23:35Z
189,16,4,,,2026-07-23T20:23:35Z
189,16,5,,,2026-07-23T20:23:35Z
189,16,6,,,2026-07-23T20:23:35Z
189,16,7,,,2026-07-23T20:23:35Z
193,14,17,,,2026-07-23T20:23:35Z
193,14,18,,,2026-07-23T20:23:35Z
193,14,19,,,2026-07-23T20:23:35Z
193,14,20,,,2026-07-23T20:23:35Z
