section,row,seat,price_usd,selection_type,scraped_at
15RS,J,14,,,2026-07-04T01:11:07Z
15RS,J,15,,,2026-07-04T01:11:07Z
15RS,O,8,,,2026-07-04T01:11:07Z
15RS,O,9,,,2026-07-04T01:11:07Z
15RS,O,10,,,2026-07-04T01:11:07Z
15RS,O,11,,,2026-07-04T01:11:07Z
15RS,O,12,,,2026-07-04T01:11:07Z
15RS,O,13,,,2026-07-04T01:11:07Z
15RS,L,14,,,2026-07-04T01:11:07Z
15RS,L,15,,,2026-07-04T01:11:07Z
15RS,L,16,,,2026-07-04T01:11:07Z
15RS,L,17,,,2026-07-04T01:11:07Z
15RS,P,9,,,2026-07-04T01:11:07Z
15RS,P,10,,,2026-07-04T01:11:07Z
15RS,P,11,,,2026-07-04T01:11:07Z
15RS,P,12,,,2026-07-04T01:11:07Z
15RS,P,13,,,2026-07-04T01:11:07Z
15RS,P,14,,,2026-07-04T01:11:07Z
15RS,P,5,,,2026-07-04T01:11:07Z
15RS,P,6,,,2026-07-04T01:11:07Z
15RS,C,16,,,2026-07-04T01:11:07Z
15RS,C,17,,,2026-07-04T01:11:07Z
15RS,C,10,,,2026-07-04T01:11:07Z
15RS,C,11,,,2026-07-04T01:11:07Z
15RS,E,9,,,2026-07-04T01:11:07Z
15RS,E,10,,,2026-07-04T01:11:07Z
15RS,E,16,,,2026-07-04T01:11:07Z
15RS,E,17,,,2026-07-04T01:11:07Z
112LG,S,1,,,2026-07-04T01:11:07Z
112LG,S,2,,,2026-07-04T01:11:07Z
112LG,S,5,,,2026-07-04T01:11:07Z
112LG,S,6,,,2026-07-04T01:11:07Z
112LG,P,3,,,2026-07-04T01:11:07Z
112LG,P,4,,,2026-07-04T01:11:07Z
233CL,B,7,,,2026-07-04T01:11:07Z
233CL,B,8,,,2026-07-04T01:11:07Z
2RS,P,8,,,2026-07-04T01:11:07Z
2RS,P,9,,,2026-07-04T01:11:07Z
2RS,N,11,,,2026-07-04T01:11:07Z
2RS,N,12,,,2026-07-04T01:11:07Z
2RS,N,13,,,2026-07-04T01:11:07Z
2RS,N,14,,,2026-07-04T01:11:07Z
2RS,N,15,,,2026-07-04T01:11:07Z
2RS,N,16,,,2026-07-04T01:11:07Z
2RS,T,9,,,2026-07-04T01:11:07Z
2RS,T,10,,,2026-07-04T01:11:07Z
2RS,T,11,,,2026-07-04T01:11:07Z
2RS,T,12,,,2026-07-04T01:11:07Z
2RS,T,13,,,2026-07-04T01:11:07Z
2RS,T,14,,,2026-07-04T01:11:07Z
2RS,T,15,,,2026-07-04T01:11:07Z
2RS,T,16,,,2026-07-04T01:11:07Z
2RS,M,18,,,2026-07-04T01:11:07Z
2RS,M,19,,,2026-07-04T01:11:07Z
2RS,S,15,,,2026-07-04T01:11:07Z
2RS,S,16,,,2026-07-04T01:11:07Z
102LG,S,3,,,2026-07-04T01:11:07Z
102LG,S,4,,,2026-07-04T01:11:07Z
102LG,T,5,,,2026-07-04T01:11:07Z
102LG,T,6,,,2026-07-04T01:11:07Z
102LG,H,6,,,2026-07-04T01:11:07Z
102LG,H,7,,,2026-07-04T01:11:07Z
122LG,S,7,,,2026-07-04T01:11:07Z
122LG,S,4,,,2026-07-04T01:11:07Z
122LG,S,8,,,2026-07-04T01:11:07Z
122LG,S,3,,,2026-07-04T01:11:07Z
122LG,P,3,,,2026-07-04T01:11:07Z
122LG,P,4,,,2026-07-04T01:11:07Z
122LG,G,1,,,2026-07-04T01:11:07Z
122LG,G,2,,,2026-07-04T01:11:07Z
122LG,G,3,,,2026-07-04T01:11:07Z
122LG,G,4,,,2026-07-04T01:11:07Z
1RS,G,7,,,2026-07-04T01:11:07Z
1RS,G,8,,,2026-07-04T01:11:07Z
1RS,G,9,,,2026-07-04T01:11:07Z
1RS,G,10,,,2026-07-04T01:11:07Z
1RS,P,20,,,2026-07-04T01:11:07Z
1RS,P,21,,,2026-07-04T01:11:07Z
1RS,R,12,,,2026-07-04T01:11:07Z
1RS,R,13,,,2026-07-04T01:11:07Z
149LG,C,1,,,2026-07-04T01:11:07Z
149LG,C,2,,,2026-07-04T01:11:07Z
149LG,D,5,,,2026-07-04T01:11:07Z
149LG,D,6,,,2026-07-04T01:11:07Z
149LG,D,7,,,2026-07-04T01:11:07Z
149LG,D,8,,,2026-07-04T01:11:07Z
149LG,H,3,,,2026-07-04T01:11:07Z
149LG,H,4,,,2026-07-04T01:11:07Z
149LG,O,5,,,2026-07-04T01:11:07Z
149LG,O,6,,,2026-07-04T01:11:07Z
103LG,S,3,,,2026-07-04T01:11:07Z
103LG,S,4,,,2026-07-04T01:11:07Z
103LG,K,4,,,2026-07-04T01:11:07Z
103LG,K,5,,,2026-07-04T01:11:07Z
127LG,B,3,,,2026-07-04T01:11:07Z
127LG,B,4,,,2026-07-04T01:11:07Z
313PL,J,5,,,2026-07-04T01:11:07Z
313PL,J,6,,,2026-07-04T01:11:07Z
313PL,J,7,,,2026-07-04T01:11:07Z
313PL,J,8,,,2026-07-04T01:11:07Z
313PL,J,9,,,2026-07-04T01:11:07Z
313PL,J,10,,,2026-07-04T01:11:07Z
313PL,J,11,,,2026-07-04T01:11:07Z
313PL,J,12,,,2026-07-04T01:11:07Z
313PL,B,5,,,2026-07-04T01:11:07Z
313PL,B,6,,,2026-07-04T01:11:07Z
313PL,B,7,,,2026-07-04T01:11:07Z
313PL,B,8,,,2026-07-04T01:11:07Z
313PL,P,16,,,2026-07-04T01:11:07Z
313PL,P,17,,,2026-07-04T01:11:07Z
313PL,Q,2,,,2026-07-04T01:11:07Z
313PL,Q,3,,,2026-07-04T01:11:07Z
313PL,Q,4,,,2026-07-04T01:11:07Z
313PL,Q,5,,,2026-07-04T01:11:07Z
313PL,Q,6,,,2026-07-04T01:11:07Z
313PL,T,4,,,2026-07-04T01:11:07Z
313PL,T,5,,,2026-07-04T01:11:07Z
313PL,T,6,,,2026-07-04T01:11:07Z
313PL,T,7,,,2026-07-04T01:11:07Z
313PL,T,8,,,2026-07-04T01:11:07Z
35FD,U,1,,,2026-07-04T01:11:07Z
35FD,U,2,,,2026-07-04T01:11:07Z
35FD,U,5,,,2026-07-04T01:11:07Z
35FD,U,6,,,2026-07-04T01:11:07Z
35FD,W,5,,,2026-07-04T01:11:07Z
35FD,W,6,,,2026-07-04T01:11:07Z
35FD,W,7,,,2026-07-04T01:11:07Z
35FD,W,8,,,2026-07-04T01:11:07Z
116LG,T,3,,,2026-07-04T01:11:07Z
116LG,T,4,,,2026-07-04T01:11:07Z
116LG,L,3,,,2026-07-04T01:11:07Z
116LG,L,4,,,2026-07-04T01:11:07Z
116LG,R,1,,,2026-07-04T01:11:07Z
116LG,R,2,,,2026-07-04T01:11:07Z
8RS,A,5,,,2026-07-04T01:11:07Z
8RS,A,6,,,2026-07-04T01:11:07Z
8RS,K,17,,,2026-07-04T01:11:07Z
8RS,K,18,,,2026-07-04T01:11:07Z
8RS,P,15,,,2026-07-04T01:11:07Z
8RS,P,16,,,2026-07-04T01:11:07Z
8RS,T,11,,,2026-07-04T01:11:07Z
8RS,T,12,,,2026-07-04T01:11:07Z
