section,row,seat,price_usd,selection_type,scraped_at
13TD,A,4,,,2026-07-07T01:19:13Z
13TD,A,5,,,2026-07-07T01:19:13Z
13TD,A,8,,,2026-07-07T01:19:13Z
13TD,A,9,,,2026-07-07T01:19:13Z
13TD,A,10,,,2026-07-07T01:19:13Z
13TD,A,11,,,2026-07-07T01:19:13Z
13TD,A,12,,,2026-07-07T01:19:13Z
13TD,A,13,,,2026-07-07T01:19:13Z
13TD,A,14,,,2026-07-07T01:19:13Z
13TD,A,15,,,2026-07-07T01:19:13Z
13TD,B,13,,,2026-07-07T01:19:13Z
13TD,B,14,,,2026-07-07T01:19:13Z
13TD,B,15,,,2026-07-07T01:19:13Z
13TD,B,16,,,2026-07-07T01:19:13Z
13TD,B,17,,,2026-07-07T01:19:13Z
13TD,K,7,,,2026-07-07T01:19:13Z
13TD,K,8,,,2026-07-07T01:19:13Z
13TD,K,9,,,2026-07-07T01:19:13Z
13TD,K,10,,,2026-07-07T01:19:13Z
13TD,K,11,,,2026-07-07T01:19:13Z
13TD,K,12,,,2026-07-07T01:19:13Z
13TD,K,13,,,2026-07-07T01:19:13Z
13TD,K,14,,,2026-07-07T01:19:13Z
13TD,K,3,,,2026-07-07T01:19:13Z
13TD,K,4,,,2026-07-07T01:19:13Z
13TD,N,15,,,2026-07-07T01:19:13Z
13TD,N,16,,,2026-07-07T01:19:13Z
13TD,N,17,,,2026-07-07T01:19:13Z
13TD,N,18,,,2026-07-07T01:19:13Z
13TD,N,19,,,2026-07-07T01:19:13Z
13TD,N,20,,,2026-07-07T01:19:13Z
9TD,O,18,,,2026-07-07T01:19:13Z
9TD,O,19,,,2026-07-07T01:19:13Z
9TD,O,20,,,2026-07-07T01:19:13Z
9TD,O,21,,,2026-07-07T01:19:13Z
9TD,O,22,,,2026-07-07T01:19:13Z
9TD,O,23,,,2026-07-07T01:19:13Z
9TD,O,3,,,2026-07-07T01:19:13Z
9TD,O,4,,,2026-07-07T01:19:13Z
9TD,O,5,,,2026-07-07T01:19:13Z
9TD,O,6,,,2026-07-07T01:19:13Z
9TD,N,9,,,2026-07-07T01:19:13Z
9TD,N,10,,,2026-07-07T01:19:13Z
9TD,N,11,,,2026-07-07T01:19:13Z
9TD,N,12,,,2026-07-07T01:19:13Z
9TD,N,13,,,2026-07-07T01:19:13Z
9TD,N,14,,,2026-07-07T01:19:13Z
9TD,N,15,,,2026-07-07T01:19:13Z
9TD,N,16,,,2026-07-07T01:19:13Z
9TD,N,17,,,2026-07-07T01:19:13Z
9TD,N,18,,,2026-07-07T01:19:13Z
9TD,N,19,,,2026-07-07T01:19:13Z
9TD,N,20,,,2026-07-07T01:19:13Z
9TD,N,21,,,2026-07-07T01:19:13Z
9TD,M,20,,,2026-07-07T01:19:13Z
9TD,M,21,,,2026-07-07T01:19:13Z
9TD,A,8,,,2026-07-07T01:19:13Z
9TD,A,9,,,2026-07-07T01:19:13Z
9TD,A,10,,,2026-07-07T01:19:13Z
9TD,A,11,,,2026-07-07T01:19:13Z
9TD,A,12,,,2026-07-07T01:19:13Z
9TD,A,13,,,2026-07-07T01:19:13Z
40FD,D,1,,,2026-07-07T01:19:13Z
40FD,D,2,,,2026-07-07T01:19:13Z
40FD,D,5,,,2026-07-07T01:19:13Z
40FD,D,6,,,2026-07-07T01:19:13Z
40FD,C,7,,,2026-07-07T01:19:13Z
40FD,C,8,,,2026-07-07T01:19:13Z
140LG,B,3,,,2026-07-07T01:19:13Z
140LG,B,4,,,2026-07-07T01:19:13Z
140LG,O,3,,,2026-07-07T01:19:13Z
140LG,O,4,,,2026-07-07T01:19:13Z
50FD,B,3,,,2026-07-07T01:19:13Z
50FD,B,4,,,2026-07-07T01:19:13Z
50FD,B,5,,,2026-07-07T01:19:13Z
50FD,B,6,,,2026-07-07T01:19:13Z
50FD,B,7,,,2026-07-07T01:19:13Z
50FD,B,8,,,2026-07-07T01:19:13Z
50FD,B,9,,,2026-07-07T01:19:13Z
50FD,B,10,,,2026-07-07T01:19:13Z
50FD,AA,1,,,2026-07-07T01:19:13Z
50FD,AA,2,,,2026-07-07T01:19:13Z
50FD,AA,3,,,2026-07-07T01:19:13Z
50FD,AA,4,,,2026-07-07T01:19:13Z
