section,row,seat,price_usd,selection_type,scraped_at
7RS,J,19,,,2026-07-31T01:11:26Z
7RS,J,20,,,2026-07-31T01:11:26Z
7RS,E,13,,,2026-07-31T01:11:26Z
7RS,E,14,,,2026-07-31T01:11:26Z
7RS,E,10,,,2026-07-31T01:11:26Z
7RS,E,9,,,2026-07-31T01:11:26Z
7RS,A,3,,,2026-07-31T01:11:26Z
7RS,A,4,,,2026-07-31T01:11:26Z
7RS,P,3,,,2026-07-31T01:11:26Z
7RS,P,21,,,2026-07-31T01:11:26Z
7RS,P,22,,,2026-07-31T01:11:26Z
7RS,P,4,,,2026-07-31T01:11:26Z
7RS,P,5,,,2026-07-31T01:11:26Z
7RS,P,6,,,2026-07-31T01:11:26Z
7RS,P,7,,,2026-07-31T01:11:26Z
7RS,P,8,,,2026-07-31T01:11:26Z
7RS,P,9,,,2026-07-31T01:11:26Z
7RS,P,10,,,2026-07-31T01:11:26Z
7RS,B,13,,,2026-07-31T01:11:26Z
7RS,B,14,,,2026-07-31T01:11:26Z
7RS,O,5,,,2026-07-31T01:11:26Z
7RS,O,6,,,2026-07-31T01:11:26Z
7RS,O,7,,,2026-07-31T01:11:26Z
7RS,O,8,,,2026-07-31T01:11:26Z
7RS,N,3,,,2026-07-31T01:11:26Z
7RS,N,4,,,2026-07-31T01:11:26Z
7RS,N,5,,,2026-07-31T01:11:26Z
7RS,N,6,,,2026-07-31T01:11:26Z
7RS,N,11,,,2026-07-31T01:11:26Z
7RS,N,12,,,2026-07-31T01:11:26Z
7RS,N,13,,,2026-07-31T01:11:26Z
7RS,N,14,,,2026-07-31T01:11:26Z
7RS,N,15,,,2026-07-31T01:11:26Z
7RS,N,16,,,2026-07-31T01:11:26Z
313PL,J,5,,,2026-07-31T01:11:26Z
313PL,J,6,,,2026-07-31T01:11:26Z
313PL,J,7,,,2026-07-31T01:11:26Z
313PL,J,8,,,2026-07-31T01:11:26Z
313PL,J,9,,,2026-07-31T01:11:26Z
313PL,J,10,,,2026-07-31T01:11:26Z
313PL,J,11,,,2026-07-31T01:11:26Z
