section,row,seat,price_usd,selection_type,scraped_at
551,L,7,,,2026-07-02T21:40:35Z
551,L,8,,,2026-07-02T21:40:35Z
551,L,9,,,2026-07-02T21:40:35Z
551,L,10,,,2026-07-02T21:40:35Z
551,L,11,,,2026-07-02T21:40:35Z
551,L,12,,,2026-07-02T21:40:35Z
551,L,13,,,2026-07-02T21:40:35Z
551,L,14,,,2026-07-02T21:40:35Z
316,A,5,,,2026-07-02T21:40:35Z
316,A,6,,,2026-07-02T21:40:35Z
316,A,7,,,2026-07-02T21:40:35Z
316,A,8,,,2026-07-02T21:40:35Z
316,A,1,,,2026-07-02T21:40:35Z
316,A,2,,,2026-07-02T21:40:35Z
557,H,12,,,2026-07-02T21:40:35Z
557,H,13,,,2026-07-02T21:40:35Z
557,H,14,,,2026-07-02T21:40:35Z
557,H,15,,,2026-07-02T21:40:35Z
557,H,16,,,2026-07-02T21:40:35Z
557,F,7,,,2026-07-02T21:40:35Z
557,F,8,,,2026-07-02T21:40:35Z
557,F,9,,,2026-07-02T21:40:35Z
557,F,10,,,2026-07-02T21:40:35Z
144,V,3,,,2026-07-02T21:40:35Z
144,V,4,,,2026-07-02T21:40:35Z
144,V,5,,,2026-07-02T21:40:35Z
144,V,6,,,2026-07-02T21:40:35Z
144,W,3,,,2026-07-02T21:40:35Z
144,W,4,,,2026-07-02T21:40:35Z
144,W,5,,,2026-07-02T21:40:35Z
144,W,6,,,2026-07-02T21:40:35Z
144,J,5,,,2026-07-02T21:40:35Z
144,J,6,,,2026-07-02T21:40:35Z
144,M,5,,,2026-07-02T21:40:35Z
144,M,6,,,2026-07-02T21:40:35Z
144,M,7,,,2026-07-02T21:40:35Z
144,M,8,,,2026-07-02T21:40:35Z
144,M,9,,,2026-07-02T21:40:35Z
144,M,10,,,2026-07-02T21:40:35Z
138,P,7,,,2026-07-02T21:40:35Z
138,P,8,,,2026-07-02T21:40:35Z
138,C,3,,,2026-07-02T21:40:35Z
138,C,4,,,2026-07-02T21:40:35Z
138,D,9,,,2026-07-02T21:40:35Z
138,D,10,,,2026-07-02T21:40:35Z
138,F,1,,,2026-07-02T21:40:35Z
138,F,2,,,2026-07-02T21:40:35Z
138,F,3,,,2026-07-02T21:40:35Z
138,F,4,,,2026-07-02T21:40:35Z
138,F,5,,,2026-07-02T21:40:35Z
138,F,6,,,2026-07-02T21:40:35Z
138,F,7,,,2026-07-02T21:40:35Z
138,F,8,,,2026-07-02T21:40:35Z
138,M,5,,,2026-07-02T21:40:35Z
138,M,6,,,2026-07-02T21:40:35Z
138,L,7,,,2026-07-02T21:40:35Z
138,L,8,,,2026-07-02T21:40:35Z
151,Z,1,,,2026-07-02T21:40:35Z
151,Z,2,,,2026-07-02T21:40:35Z
151,U,3,,,2026-07-02T21:40:35Z
151,U,4,,,2026-07-02T21:40:35Z
151,U,5,,,2026-07-02T21:40:35Z
151,U,6,,,2026-07-02T21:40:35Z
151,U,7,,,2026-07-02T21:40:35Z
151,Y,7,,,2026-07-02T21:40:35Z
151,Y,8,,,2026-07-02T21:40:35Z
111,F,7,,,2026-07-02T21:40:35Z
111,F,8,,,2026-07-02T21:40:35Z
111,F,9,,,2026-07-02T21:40:35Z
111,F,10,,,2026-07-02T21:40:35Z
111,E,7,,,2026-07-02T21:40:35Z
111,E,8,,,2026-07-02T21:40:35Z
128,E,5,,,2026-07-02T21:40:35Z
128,E,6,,,2026-07-02T21:40:35Z
128,E,7,,,2026-07-02T21:40:35Z
128,E,8,,,2026-07-02T21:40:35Z
128,E,9,,,2026-07-02T21:40:35Z
128,E,10,,,2026-07-02T21:40:35Z
128,M,7,,,2026-07-02T21:40:35Z
128,M,8,,,2026-07-02T21:40:35Z
128,L,1,,,2026-07-02T21:40:35Z
128,L,2,,,2026-07-02T21:40:35Z
128,L,3,,,2026-07-02T21:40:35Z
128,L,4,,,2026-07-02T21:40:35Z
128,L,5,,,2026-07-02T21:40:35Z
128,L,6,,,2026-07-02T21:40:35Z
