section,row,seat,price_usd,selection_type,scraped_at
554,D,7,,,2026-07-20T21:40:53Z
554,D,8,,,2026-07-20T21:40:53Z
554,D,11,,,2026-07-20T21:40:53Z
554,D,12,,,2026-07-20T21:40:53Z
554,D,13,,,2026-07-20T21:40:53Z
554,D,14,,,2026-07-20T21:40:53Z
554,D,15,,,2026-07-20T21:40:53Z
554,D,16,,,2026-07-20T21:40:53Z
554,H,9,,,2026-07-20T21:40:53Z
554,H,10,,,2026-07-20T21:40:53Z
554,G,17,,,2026-07-20T21:40:53Z
554,G,18,,,2026-07-20T21:40:53Z
554,B,7,,,2026-07-20T21:40:53Z
554,B,8,,,2026-07-20T21:40:53Z
554,J,1,,,2026-07-20T21:40:53Z
554,J,2,,,2026-07-20T21:40:53Z
554,E,7,,,2026-07-20T21:40:53Z
554,E,8,,,2026-07-20T21:40:53Z
554,E,9,,,2026-07-20T21:40:53Z
554,E,10,,,2026-07-20T21:40:53Z
554,C,14,,,2026-07-20T21:40:53Z
554,C,15,,,2026-07-20T21:40:53Z
554,C,16,,,2026-07-20T21:40:53Z
554,C,17,,,2026-07-20T21:40:53Z
178,P,7,,,2026-07-20T21:40:53Z
178,P,8,,,2026-07-20T21:40:53Z
178,P,9,,,2026-07-20T21:40:53Z
178,P,10,,,2026-07-20T21:40:53Z
178,P,11,,,2026-07-20T21:40:53Z
178,P,12,,,2026-07-20T21:40:53Z
438,C,1,,,2026-07-20T21:40:53Z
438,C,2,,,2026-07-20T21:40:53Z
438,C,3,,,2026-07-20T21:40:53Z
438,C,4,,,2026-07-20T21:40:53Z
438,C,5,,,2026-07-20T21:40:53Z
438,C,6,,,2026-07-20T21:40:53Z
552,B,7,,,2026-07-20T21:40:53Z
552,B,8,,,2026-07-20T21:40:53Z
552,B,9,,,2026-07-20T21:40:53Z
552,B,10,,,2026-07-20T21:40:53Z
552,B,11,,,2026-07-20T21:40:53Z
552,B,14,,,2026-07-20T21:40:53Z
552,B,15,,,2026-07-20T21:40:53Z
552,B,16,,,2026-07-20T21:40:53Z
552,B,17,,,2026-07-20T21:40:53Z
