section,row,seat,price_usd,selection_type,scraped_at
102,30,1,86.94,standard,2026-07-05T20:03:36Z
102,30,2,86.94,standard,2026-07-05T20:03:36Z
102,30,3,86.94,standard,2026-07-05T20:03:36Z
102,34,1,86.94,standard,2026-07-05T20:03:36Z
102,34,2,86.94,standard,2026-07-05T20:03:36Z
102,34,3,86.94,standard,2026-07-05T20:03:36Z
102,34,4,86.94,standard,2026-07-05T20:03:36Z
102,34,5,86.94,standard,2026-07-05T20:03:36Z
102,34,6,86.94,standard,2026-07-05T20:03:36Z
102,34,7,86.94,standard,2026-07-05T20:03:36Z
102,34,8,86.94,standard,2026-07-05T20:03:36Z
102,35,1,86.94,standard,2026-07-05T20:03:36Z
102,35,2,86.94,standard,2026-07-05T20:03:36Z
102,35,3,86.94,standard,2026-07-05T20:03:36Z
102,35,4,86.94,standard,2026-07-05T20:03:36Z
102,35,5,86.94,standard,2026-07-05T20:03:36Z
102,35,6,86.94,standard,2026-07-05T20:03:36Z
102,35,7,86.94,standard,2026-07-05T20:03:36Z
102,35,8,86.94,standard,2026-07-05T20:03:36Z
102,36,3,86.94,standard,2026-07-05T20:03:36Z
102,36,4,86.94,standard,2026-07-05T20:03:36Z
102,36,5,86.94,standard,2026-07-05T20:03:36Z
102,36,6,86.94,standard,2026-07-05T20:03:36Z
102,36,7,86.94,standard,2026-07-05T20:03:36Z
102,36,8,86.94,standard,2026-07-05T20:03:36Z
102,37,1,86.94,standard,2026-07-05T20:03:36Z
102,37,2,86.94,standard,2026-07-05T20:03:36Z
102,37,3,86.94,standard,2026-07-05T20:03:36Z
102,37,4,86.94,standard,2026-07-05T20:03:36Z
102,36,1,86.94,standard,2026-07-05T20:03:36Z
102,36,2,86.94,standard,2026-07-05T20:03:36Z
102,39A,1,86.94,standard,2026-07-05T20:03:36Z
102,39A,2,86.94,standard,2026-07-05T20:03:36Z
102,39A,3,86.94,standard,2026-07-05T20:03:36Z
102,39A,4,86.94,standard,2026-07-05T20:03:36Z
103,28,10,86.94,standard,2026-07-05T20:03:36Z
103,28,8,86.94,standard,2026-07-05T20:03:36Z
103,28,9,86.94,standard,2026-07-05T20:03:36Z
103,29,11,86.94,standard,2026-07-05T20:03:36Z
103,29,12,86.94,standard,2026-07-05T20:03:36Z
103,29,8,86.94,standard,2026-07-05T20:03:36Z
103,37,10,86.94,standard,2026-07-05T20:03:36Z
103,37,11,86.94,standard,2026-07-05T20:03:36Z
103,37,12,86.94,standard,2026-07-05T20:03:36Z
103,37,13,86.94,standard,2026-07-05T20:03:36Z
103,37,14,86.94,standard,2026-07-05T20:03:36Z
103,37,15,86.94,standard,2026-07-05T20:03:36Z
103,37,16,86.94,standard,2026-07-05T20:03:36Z
103,37,17,86.94,standard,2026-07-05T20:03:36Z
103,37,18,86.94,standard,2026-07-05T20:03:36Z
103,37,2,86.94,standard,2026-07-05T20:03:36Z
103,37,3,86.94,standard,2026-07-05T20:03:36Z
103,37,4,86.94,standard,2026-07-05T20:03:36Z
103,37,5,86.94,standard,2026-07-05T20:03:36Z
103,37,6,86.94,standard,2026-07-05T20:03:36Z
103,37,7,86.94,standard,2026-07-05T20:03:36Z
103,37,8,86.94,standard,2026-07-05T20:03:36Z
103,37,9,86.94,standard,2026-07-05T20:03:36Z
103,30,10,86.94,standard,2026-07-05T20:03:36Z
103,30,7,86.94,standard,2026-07-05T20:03:36Z
103,30,8,86.94,standard,2026-07-05T20:03:36Z
103,30,9,86.94,standard,2026-07-05T20:03:36Z
103,31,10,86.94,standard,2026-07-05T20:03:36Z
103,31,11,86.94,standard,2026-07-05T20:03:36Z
103,31,12,86.94,standard,2026-07-05T20:03:36Z
103,31,13,86.94,standard,2026-07-05T20:03:36Z
103,31,14,86.94,standard,2026-07-05T20:03:36Z
103,31,15,86.94,standard,2026-07-05T20:03:36Z
103,31,6,86.94,standard,2026-07-05T20:03:36Z
103,31,7,86.94,standard,2026-07-05T20:03:36Z
103,31,8,86.94,standard,2026-07-05T20:03:36Z
103,31,9,86.94,standard,2026-07-05T20:03:36Z
