section,row,seat,price_usd,selection_type,scraped_at
4,1,12,,,2026-07-28T21:40:52Z
4,1,13,,,2026-07-28T21:40:52Z
4,1,14,,,2026-07-28T21:40:52Z
4,1,15,,,2026-07-28T21:40:52Z
4,4,7,,,2026-07-28T21:40:52Z
4,4,8,,,2026-07-28T21:40:52Z
4,2,1,,,2026-07-28T21:40:52Z
4,2,2,,,2026-07-28T21:40:52Z
4,2,3,,,2026-07-28T21:40:52Z
4,2,4,,,2026-07-28T21:40:52Z
4,2,5,,,2026-07-28T21:40:52Z
4,2,6,,,2026-07-28T21:40:52Z
4,2,7,,,2026-07-28T21:40:52Z
4,2,8,,,2026-07-28T21:40:52Z
135,1,1,,,2026-07-28T21:40:52Z
135,1,2,,,2026-07-28T21:40:52Z
135,1,3,,,2026-07-28T21:40:52Z
135,1,4,,,2026-07-28T21:40:52Z
FL3,CC,11,,,2026-07-28T21:40:52Z
FL3,CC,12,,,2026-07-28T21:40:52Z
FL3,BB,15,,,2026-07-28T21:40:52Z
FL3,BB,16,,,2026-07-28T21:40:52Z
28,16,4,,,2026-07-28T21:40:52Z
28,16,5,,,2026-07-28T21:40:52Z
28,16,6,,,2026-07-28T21:40:52Z
28,16,7,,,2026-07-28T21:40:52Z
28,18,3,,,2026-07-28T21:40:52Z
28,18,4,,,2026-07-28T21:40:52Z
28,18,5,,,2026-07-28T21:40:52Z
28,18,6,,,2026-07-28T21:40:52Z
28,18,7,,,2026-07-28T21:40:52Z
28,18,8,,,2026-07-28T21:40:52Z
24,G,7,,,2026-07-28T21:40:52Z
24,G,8,,,2026-07-28T21:40:52Z
24,D,2,,,2026-07-28T21:40:52Z
24,D,3,,,2026-07-28T21:40:52Z
24,3,13,,,2026-07-28T21:40:52Z
24,3,14,,,2026-07-28T21:40:52Z
24,2,1,,,2026-07-28T21:40:52Z
24,2,2,,,2026-07-28T21:40:52Z
24,2,3,,,2026-07-28T21:40:52Z
24,2,4,,,2026-07-28T21:40:52Z
203,1,1,,,2026-07-28T21:40:52Z
203,1,2,,,2026-07-28T21:40:52Z
203,1,3,,,2026-07-28T21:40:52Z
203,1,4,,,2026-07-28T21:40:52Z
203,1,5,,,2026-07-28T21:40:52Z
203,1,6,,,2026-07-28T21:40:52Z
203,1,7,,,2026-07-28T21:40:52Z
203,1,8,,,2026-07-28T21:40:52Z
203,4,1,,,2026-07-28T21:40:52Z
203,4,10,,,2026-07-28T21:40:52Z
203,4,11,,,2026-07-28T21:40:52Z
203,4,12,,,2026-07-28T21:40:52Z
203,4,2,,,2026-07-28T21:40:52Z
203,4,3,,,2026-07-28T21:40:52Z
203,4,4,,,2026-07-28T21:40:52Z
203,4,5,,,2026-07-28T21:40:52Z
203,4,6,,,2026-07-28T21:40:52Z
203,4,7,,,2026-07-28T21:40:52Z
203,4,8,,,2026-07-28T21:40:52Z
203,4,9,,,2026-07-28T21:40:52Z
203,8,1,,,2026-07-28T21:40:52Z
203,8,10,,,2026-07-28T21:40:52Z
203,8,11,,,2026-07-28T21:40:52Z
203,8,12,,,2026-07-28T21:40:52Z
203,8,2,,,2026-07-28T21:40:52Z
203,8,3,,,2026-07-28T21:40:52Z
203,8,4,,,2026-07-28T21:40:52Z
203,8,5,,,2026-07-28T21:40:52Z
203,8,6,,,2026-07-28T21:40:52Z
203,8,7,,,2026-07-28T21:40:52Z
203,8,8,,,2026-07-28T21:40:52Z
203,8,9,,,2026-07-28T21:40:52Z
202,1,1,,,2026-07-28T21:40:52Z
202,1,2,,,2026-07-28T21:40:52Z
202,1,3,,,2026-07-28T21:40:52Z
202,1,4,,,2026-07-28T21:40:52Z
202,1,5,,,2026-07-28T21:40:52Z
202,1,6,,,2026-07-28T21:40:52Z
202,1,7,,,2026-07-28T21:40:52Z
202,1,8,,,2026-07-28T21:40:52Z
202,7,15,,,2026-07-28T21:40:52Z
202,7,16,,,2026-07-28T21:40:52Z
202,8,3,,,2026-07-28T21:40:52Z
202,8,4,,,2026-07-28T21:40:52Z
202,8,5,,,2026-07-28T21:40:52Z
202,8,6,,,2026-07-28T21:40:52Z
202,8,7,,,2026-07-28T21:40:52Z
202,8,8,,,2026-07-28T21:40:52Z
202,8,9,,,2026-07-28T21:40:52Z
202,8,10,,,2026-07-28T21:40:52Z
202,8,11,,,2026-07-28T21:40:52Z
202,8,12,,,2026-07-28T21:40:52Z
202,8,13,,,2026-07-28T21:40:52Z
226,1,1,,,2026-07-28T21:40:52Z
226,1,2,,,2026-07-28T21:40:52Z
226,13,1,,,2026-07-28T21:40:52Z
226,13,2,,,2026-07-28T21:40:52Z
226,11,10,,,2026-07-28T21:40:52Z
226,11,11,,,2026-07-28T21:40:52Z
226,11,12,,,2026-07-28T21:40:52Z
226,11,2,,,2026-07-28T21:40:52Z
