section,row,seat,price_usd,selection_type,scraped_at
115,AA,2,,,2026-07-11T00:00:37Z
115,AA,3,,,2026-07-11T00:00:37Z
115,AA,13,,,2026-07-11T00:00:37Z
115,AA,14,,,2026-07-11T00:00:37Z
115,L,9,,,2026-07-11T00:00:37Z
115,L,10,,,2026-07-11T00:00:37Z
115,Y,13,,,2026-07-11T00:00:37Z
115,Y,14,,,2026-07-11T00:00:37Z
115,CC,11,,,2026-07-11T00:00:37Z
115,CC,12,,,2026-07-11T00:00:37Z
115,CC,13,,,2026-07-11T00:00:37Z
115,CC,14,,,2026-07-11T00:00:37Z
115,X,11,,,2026-07-11T00:00:37Z
115,X,12,,,2026-07-11T00:00:37Z
115,X,13,,,2026-07-11T00:00:37Z
115,X,14,,,2026-07-11T00:00:37Z
115,T,9,,,2026-07-11T00:00:37Z
115,T,10,,,2026-07-11T00:00:37Z
115,T,11,,,2026-07-11T00:00:37Z
115,T,12,,,2026-07-11T00:00:37Z
115,N,15,,,2026-07-11T00:00:37Z
115,N,16,,,2026-07-11T00:00:37Z
115,P,12,,,2026-07-11T00:00:37Z
115,P,13,,,2026-07-11T00:00:37Z
108,BB,6,,,2026-07-11T00:00:37Z
108,BB,7,,,2026-07-11T00:00:37Z
108,JJ,12,,,2026-07-11T00:00:37Z
108,JJ,13,,,2026-07-11T00:00:37Z
108,JJ,14,,,2026-07-11T00:00:37Z
108,JJ,15,,,2026-07-11T00:00:37Z
108,JJ,16,,,2026-07-11T00:00:37Z
108,JJ,17,,,2026-07-11T00:00:37Z
108,JJ,18,,,2026-07-11T00:00:37Z
108,JJ,19,,,2026-07-11T00:00:37Z
108,SS,14,,,2026-07-11T00:00:37Z
108,SS,15,,,2026-07-11T00:00:37Z
108,SS,16,,,2026-07-11T00:00:37Z
108,SS,17,,,2026-07-11T00:00:37Z
108,SS,18,,,2026-07-11T00:00:37Z
108,SS,19,,,2026-07-11T00:00:37Z
108,SS,20,,,2026-07-11T00:00:37Z
108,SS,21,,,2026-07-11T00:00:37Z
108,WW,3,,,2026-07-11T00:00:37Z
108,WW,4,,,2026-07-11T00:00:37Z
108,WW,5,,,2026-07-11T00:00:37Z
108,WW,6,,,2026-07-11T00:00:37Z
108,WW,7,,,2026-07-11T00:00:37Z
108,WW,8,,,2026-07-11T00:00:37Z
108,WW,9,,,2026-07-11T00:00:37Z
108,WW,10,,,2026-07-11T00:00:37Z
108,AA,6,,,2026-07-11T00:00:37Z
108,AA,7,,,2026-07-11T00:00:37Z
108,AA,8,,,2026-07-11T00:00:37Z
108,AA,9,,,2026-07-11T00:00:37Z
108,AA,10,,,2026-07-11T00:00:37Z
108,AA,11,,,2026-07-11T00:00:37Z
108,AA,12,,,2026-07-11T00:00:37Z
108,AA,13,,,2026-07-11T00:00:37Z
108,EE,14,,,2026-07-11T00:00:37Z
108,EE,15,,,2026-07-11T00:00:37Z
108,EE,16,,,2026-07-11T00:00:37Z
108,EE,17,,,2026-07-11T00:00:37Z
108,EE,18,,,2026-07-11T00:00:37Z
108,EE,19,,,2026-07-11T00:00:37Z
108,LL,12,,,2026-07-11T00:00:37Z
108,LL,13,,,2026-07-11T00:00:37Z
108,LL,14,,,2026-07-11T00:00:37Z
108,LL,15,,,2026-07-11T00:00:37Z
108,LL,16,,,2026-07-11T00:00:37Z
108,Z,12,,,2026-07-11T00:00:37Z
108,Z,13,,,2026-07-11T00:00:37Z
111,LL,3,,,2026-07-11T00:00:37Z
111,LL,4,,,2026-07-11T00:00:37Z
111,LL,5,,,2026-07-11T00:00:37Z
111,LL,6,,,2026-07-11T00:00:37Z
111,LL,7,,,2026-07-11T00:00:37Z
111,LL,8,,,2026-07-11T00:00:37Z
111,L,7,,,2026-07-11T00:00:37Z
111,L,8,,,2026-07-11T00:00:37Z
111,L,9,,,2026-07-11T00:00:37Z
111,L,10,,,2026-07-11T00:00:37Z
111,L,11,,,2026-07-11T00:00:37Z
111,L,12,,,2026-07-11T00:00:37Z
111,MM,5,,,2026-07-11T00:00:37Z
111,MM,6,,,2026-07-11T00:00:37Z
111,MM,7,,,2026-07-11T00:00:37Z
111,MM,8,,,2026-07-11T00:00:37Z
111,GG,9,,,2026-07-11T00:00:37Z
111,GG,10,,,2026-07-11T00:00:37Z
111,RR,11,,,2026-07-11T00:00:37Z
111,RR,12,,,2026-07-11T00:00:37Z
111,RR,13,,,2026-07-11T00:00:37Z
111,RR,14,,,2026-07-11T00:00:37Z
111,RR,15,,,2026-07-11T00:00:37Z
111,B,3,,,2026-07-11T00:00:37Z
111,B,4,,,2026-07-11T00:00:37Z
111,SS,12,,,2026-07-11T00:00:37Z
111,SS,13,,,2026-07-11T00:00:37Z
111,SS,14,,,2026-07-11T00:00:37Z
111,SS,15,,,2026-07-11T00:00:37Z
111,SS,16,,,2026-07-11T00:00:37Z
111,SS,17,,,2026-07-11T00:00:37Z
111,E,5,,,2026-07-11T00:00:37Z
111,E,6,,,2026-07-11T00:00:37Z
111,E,7,,,2026-07-11T00:00:37Z
111,E,8,,,2026-07-11T00:00:37Z
111,E,9,,,2026-07-11T00:00:37Z
111,E,10,,,2026-07-11T00:00:37Z
111,E,11,,,2026-07-11T00:00:37Z
111,E,12,,,2026-07-11T00:00:37Z
111,E,13,,,2026-07-11T00:00:37Z
111,E,14,,,2026-07-11T00:00:37Z
111,V,1,,,2026-07-11T00:00:37Z
111,V,2,,,2026-07-11T00:00:37Z
111,V,3,,,2026-07-11T00:00:37Z
111,V,4,,,2026-07-11T00:00:37Z
111,V,5,,,2026-07-11T00:00:37Z
111,V,6,,,2026-07-11T00:00:37Z
111,NN,4,,,2026-07-11T00:00:37Z
111,NN,5,,,2026-07-11T00:00:37Z
111,NN,6,,,2026-07-11T00:00:37Z
111,NN,7,,,2026-07-11T00:00:37Z
111,NN,8,,,2026-07-11T00:00:37Z
111,NN,9,,,2026-07-11T00:00:37Z
111,NN,10,,,2026-07-11T00:00:37Z
111,NN,11,,,2026-07-11T00:00:37Z
111,D,9,,,2026-07-11T00:00:37Z
111,D,10,,,2026-07-11T00:00:37Z
111,D,11,,,2026-07-11T00:00:37Z
111,D,12,,,2026-07-11T00:00:37Z
111,JJ,6,,,2026-07-11T00:00:37Z
111,JJ,7,,,2026-07-11T00:00:37Z
111,JJ,8,,,2026-07-11T00:00:37Z
111,JJ,9,,,2026-07-11T00:00:37Z
111,JJ,10,,,2026-07-11T00:00:37Z
111,JJ,11,,,2026-07-11T00:00:37Z
111,JJ,12,,,2026-07-11T00:00:37Z
111,JJ,13,,,2026-07-11T00:00:37Z
128,X,11,,,2026-07-11T00:00:37Z
128,X,12,,,2026-07-11T00:00:37Z
128,X,13,,,2026-07-11T00:00:37Z
128,X,14,,,2026-07-11T00:00:37Z
128,KK,3,,,2026-07-11T00:00:37Z
128,KK,4,,,2026-07-11T00:00:37Z
128,JJ,7,,,2026-07-11T00:00:37Z
128,JJ,8,,,2026-07-11T00:00:37Z
128,JJ,9,,,2026-07-11T00:00:37Z
128,JJ,10,,,2026-07-11T00:00:37Z
128,J,11,,,2026-07-11T00:00:37Z
128,J,12,,,2026-07-11T00:00:37Z
128,W,11,,,2026-07-11T00:00:37Z
128,W,12,,,2026-07-11T00:00:37Z
128,MM,10,,,2026-07-11T00:00:37Z
128,MM,11,,,2026-07-11T00:00:37Z
128,MM,12,,,2026-07-11T00:00:37Z
128,MM,13,,,2026-07-11T00:00:37Z
118,U,4,,,2026-07-11T00:00:37Z
118,U,5,,,2026-07-11T00:00:37Z
134,L,1,,,2026-07-11T00:00:37Z
134,L,2,,,2026-07-11T00:00:37Z
134,L,3,,,2026-07-11T00:00:37Z
134,L,4,,,2026-07-11T00:00:37Z
134,HH,1,,,2026-07-11T00:00:37Z
134,HH,2,,,2026-07-11T00:00:37Z
134,HH,3,,,2026-07-11T00:00:37Z
134,HH,4,,,2026-07-11T00:00:37Z
134,HH,5,,,2026-07-11T00:00:37Z
134,HH,6,,,2026-07-11T00:00:37Z
134,UU,17,,,2026-07-11T00:00:37Z
134,UU,18,,,2026-07-11T00:00:37Z
134,UU,19,,,2026-07-11T00:00:37Z
134,UU,20,,,2026-07-11T00:00:37Z
134,UU,21,,,2026-07-11T00:00:37Z
134,UU,22,,,2026-07-11T00:00:37Z
134,UU,23,,,2026-07-11T00:00:37Z
134,UU,24,,,2026-07-11T00:00:37Z
134,W,9,,,2026-07-11T00:00:37Z
134,W,10,,,2026-07-11T00:00:37Z
134,T,1,,,2026-07-11T00:00:37Z
134,T,2,,,2026-07-11T00:00:37Z
134,T,3,,,2026-07-11T00:00:37Z
134,T,4,,,2026-07-11T00:00:37Z
134,T,5,,,2026-07-11T00:00:37Z
134,T,6,,,2026-07-11T00:00:37Z
134,T,7,,,2026-07-11T00:00:37Z
134,T,8,,,2026-07-11T00:00:37Z
134,J,18,,,2026-07-11T00:00:37Z
134,J,19,,,2026-07-11T00:00:37Z
134,NN,1,,,2026-07-11T00:00:37Z
134,NN,2,,,2026-07-11T00:00:37Z
134,NN,3,,,2026-07-11T00:00:37Z
134,NN,4,,,2026-07-11T00:00:37Z
134,EE,7,,,2026-07-11T00:00:37Z
134,EE,8,,,2026-07-11T00:00:37Z
134,EE,9,,,2026-07-11T00:00:37Z
134,EE,10,,,2026-07-11T00:00:37Z
134,EE,11,,,2026-07-11T00:00:37Z
134,EE,12,,,2026-07-11T00:00:37Z
134,EE,13,,,2026-07-11T00:00:37Z
134,EE,14,,,2026-07-11T00:00:37Z
134,S,1,,,2026-07-11T00:00:37Z
134,S,2,,,2026-07-11T00:00:37Z
134,S,3,,,2026-07-11T00:00:37Z
134,S,4,,,2026-07-11T00:00:37Z
134,S,5,,,2026-07-11T00:00:37Z
134,S,6,,,2026-07-11T00:00:37Z
134,Y,21,,,2026-07-11T00:00:37Z
134,Y,22,,,2026-07-11T00:00:37Z
134,M,3,,,2026-07-11T00:00:37Z
134,M,4,,,2026-07-11T00:00:37Z
134,M,5,,,2026-07-11T00:00:37Z
134,M,6,,,2026-07-11T00:00:37Z
134,M,7,,,2026-07-11T00:00:37Z
134,M,8,,,2026-07-11T00:00:37Z
103,R,3,,,2026-07-11T00:00:37Z
103,R,4,,,2026-07-11T00:00:37Z
103,R,5,,,2026-07-11T00:00:37Z
103,R,6,,,2026-07-11T00:00:37Z
103,R,7,,,2026-07-11T00:00:37Z
103,R,8,,,2026-07-11T00:00:37Z
103,R,9,,,2026-07-11T00:00:37Z
103,R,10,,,2026-07-11T00:00:37Z
103,AA,1,,,2026-07-11T00:00:37Z
103,AA,2,,,2026-07-11T00:00:37Z
103,AA,3,,,2026-07-11T00:00:37Z
103,AA,4,,,2026-07-11T00:00:37Z
103,AA,5,,,2026-07-11T00:00:37Z
103,AA,6,,,2026-07-11T00:00:37Z
103,AA,7,,,2026-07-11T00:00:37Z
103,AA,8,,,2026-07-11T00:00:37Z
103,N,3,,,2026-07-11T00:00:37Z
103,N,4,,,2026-07-11T00:00:37Z
103,N,5,,,2026-07-11T00:00:37Z
103,N,6,,,2026-07-11T00:00:37Z
103,N,7,,,2026-07-11T00:00:37Z
103,N,8,,,2026-07-11T00:00:37Z
103,L,1,,,2026-07-11T00:00:37Z
103,L,2,,,2026-07-11T00:00:37Z
103,S,3,,,2026-07-11T00:00:37Z
103,S,4,,,2026-07-11T00:00:37Z
103,S,5,,,2026-07-11T00:00:37Z
103,S,6,,,2026-07-11T00:00:37Z
103,X,13,,,2026-07-11T00:00:37Z
103,X,14,,,2026-07-11T00:00:37Z
142,C,25,,,2026-07-11T00:00:37Z
142,C,26,,,2026-07-11T00:00:37Z
142,D,27,,,2026-07-11T00:00:37Z
142,D,28,,,2026-07-11T00:00:37Z
142,B,15,,,2026-07-11T00:00:37Z
142,B,16,,,2026-07-11T00:00:37Z
225,F,3,,,2026-07-11T00:00:37Z
225,F,4,,,2026-07-11T00:00:37Z
225,F,5,,,2026-07-11T00:00:37Z
225,F,6,,,2026-07-11T00:00:37Z
225,F,7,,,2026-07-11T00:00:37Z
225,F,8,,,2026-07-11T00:00:37Z
225,F,9,,,2026-07-11T00:00:37Z
225,F,10,,,2026-07-11T00:00:37Z
225,B,1,,,2026-07-11T00:00:37Z
225,B,2,,,2026-07-11T00:00:37Z
225,B,3,,,2026-07-11T00:00:37Z
225,B,4,,,2026-07-11T00:00:37Z
225,K,2,,,2026-07-11T00:00:37Z
225,K,3,,,2026-07-11T00:00:37Z
225,K,4,,,2026-07-11T00:00:37Z
225,K,5,,,2026-07-11T00:00:37Z
225,K,6,,,2026-07-11T00:00:37Z
225,K,7,,,2026-07-11T00:00:37Z
225,K,8,,,2026-07-11T00:00:37Z
225,K,9,,,2026-07-11T00:00:37Z
225,D,7,,,2026-07-11T00:00:37Z
225,D,8,,,2026-07-11T00:00:37Z
116,HH,1,,,2026-07-11T00:00:37Z
116,HH,2,,,2026-07-11T00:00:37Z
116,HH,3,,,2026-07-11T00:00:37Z
116,HH,4,,,2026-07-11T00:00:37Z
116,T,10,,,2026-07-11T00:00:37Z
