section,row,seat,price_usd,selection_type,scraped_at
A,F,2,,,2026-07-24T23:35:39Z
A,F,3,,,2026-07-24T23:35:39Z
A,F,4,,,2026-07-24T23:35:39Z
A,F,5,,,2026-07-24T23:35:39Z
A,F,6,,,2026-07-24T23:35:39Z
A,E,4,,,2026-07-24T23:35:39Z
A,E,5,,,2026-07-24T23:35:39Z
220,A,5,,,2026-07-24T23:35:39Z
220,A,6,,,2026-07-24T23:35:39Z
220,A,7,,,2026-07-24T23:35:39Z
220,A,8,,,2026-07-24T23:35:39Z
220,A,9,,,2026-07-24T23:35:39Z
220,B,18,,,2026-07-24T23:35:39Z
220,B,19,,,2026-07-24T23:35:39Z
133,U,5,,,2026-07-24T23:35:39Z
133,U,6,,,2026-07-24T23:35:39Z
133,U,7,,,2026-07-24T23:35:39Z
133,U,8,,,2026-07-24T23:35:39Z
133,U,9,,,2026-07-24T23:35:39Z
133,U,10,,,2026-07-24T23:35:39Z
133,U,11,,,2026-07-24T23:35:39Z
133,U,12,,,2026-07-24T23:35:39Z
133,U,13,,,2026-07-24T23:35:39Z
133,Y,1,,,2026-07-24T23:35:39Z
133,Y,2,,,2026-07-24T23:35:39Z
133,F,1,,,2026-07-24T23:35:39Z
133,F,2,,,2026-07-24T23:35:39Z
133,F,3,,,2026-07-24T23:35:39Z
133,F,4,,,2026-07-24T23:35:39Z
133,F,5,,,2026-07-24T23:35:39Z
133,F,6,,,2026-07-24T23:35:39Z
133,F,7,,,2026-07-24T23:35:39Z
133,F,8,,,2026-07-24T23:35:39Z
133,FF,1,,,2026-07-24T23:35:39Z
133,FF,2,,,2026-07-24T23:35:39Z
133,FF,3,,,2026-07-24T23:35:39Z
133,FF,4,,,2026-07-24T23:35:39Z
133,FF,5,,,2026-07-24T23:35:39Z
133,FF,6,,,2026-07-24T23:35:39Z
133,N,3,,,2026-07-24T23:35:39Z
133,N,4,,,2026-07-24T23:35:39Z
133,PP,5,,,2026-07-24T23:35:39Z
133,PP,6,,,2026-07-24T23:35:39Z
133,PP,7,,,2026-07-24T23:35:39Z
133,PP,8,,,2026-07-24T23:35:39Z
133,PP,9,,,2026-07-24T23:35:39Z
133,PP,10,,,2026-07-24T23:35:39Z
133,PP,11,,,2026-07-24T23:35:39Z
133,PP,12,,,2026-07-24T23:35:39Z
113,W,7,,,2026-07-24T23:35:39Z
113,W,8,,,2026-07-24T23:35:39Z
113,W,9,,,2026-07-24T23:35:39Z
113,W,10,,,2026-07-24T23:35:39Z
113,W,11,,,2026-07-24T23:35:39Z
113,W,12,,,2026-07-24T23:35:39Z
113,W,13,,,2026-07-24T23:35:39Z
113,W,14,,,2026-07-24T23:35:39Z
113,G,8,,,2026-07-24T23:35:39Z
113,G,9,,,2026-07-24T23:35:39Z
113,GG,4,,,2026-07-24T23:35:39Z
113,GG,5,,,2026-07-24T23:35:39Z
113,GG,6,,,2026-07-24T23:35:39Z
113,GG,7,,,2026-07-24T23:35:39Z
113,GG,8,,,2026-07-24T23:35:39Z
113,GG,9,,,2026-07-24T23:35:39Z
113,GG,10,,,2026-07-24T23:35:39Z
113,AA,16,,,2026-07-24T23:35:39Z
113,AA,17,,,2026-07-24T23:35:39Z
113,HH,11,,,2026-07-24T23:35:39Z
113,HH,12,,,2026-07-24T23:35:39Z
113,HH,13,,,2026-07-24T23:35:39Z
113,HH,14,,,2026-07-24T23:35:39Z
113,HH,15,,,2026-07-24T23:35:39Z
113,HH,16,,,2026-07-24T23:35:39Z
113,L,8,,,2026-07-24T23:35:39Z
113,L,9,,,2026-07-24T23:35:39Z
113,L,10,,,2026-07-24T23:35:39Z
113,L,11,,,2026-07-24T23:35:39Z
113,SS,5,,,2026-07-24T23:35:39Z
113,SS,6,,,2026-07-24T23:35:39Z
227,A,3,,,2026-07-24T23:35:39Z
227,A,4,,,2026-07-24T23:35:39Z
227,E,3,,,2026-07-24T23:35:39Z
227,E,4,,,2026-07-24T23:35:39Z
227,L,11,,,2026-07-24T23:35:39Z
227,L,12,,,2026-07-24T23:35:39Z
223,C,5,,,2026-07-24T23:35:39Z
223,C,6,,,2026-07-24T23:35:39Z
223,A,7,,,2026-07-24T23:35:39Z
223,A,8,,,2026-07-24T23:35:39Z
208,A,11,,,2026-07-24T23:35:39Z
208,A,12,,,2026-07-24T23:35:39Z
208,A,13,,,2026-07-24T23:35:39Z
208,A,14,,,2026-07-24T23:35:39Z
208,A,15,,,2026-07-24T23:35:39Z
208,A,16,,,2026-07-24T23:35:39Z
208,A,17,,,2026-07-24T23:35:39Z
208,A,18,,,2026-07-24T23:35:39Z
208,A,19,,,2026-07-24T23:35:39Z
208,G,12,,,2026-07-24T23:35:39Z
208,G,13,,,2026-07-24T23:35:39Z
105,H,9,,,2026-07-24T23:35:39Z
105,H,10,,,2026-07-24T23:35:39Z
105,H,11,,,2026-07-24T23:35:39Z
105,H,12,,,2026-07-24T23:35:39Z
105,H,13,,,2026-07-24T23:35:39Z
105,H,14,,,2026-07-24T23:35:39Z
105,H,15,,,2026-07-24T23:35:39Z
105,H,16,,,2026-07-24T23:35:39Z
105,G,5,,,2026-07-24T23:35:39Z
105,G,6,,,2026-07-24T23:35:39Z
105,M,9,,,2026-07-24T23:35:39Z
105,M,10,,,2026-07-24T23:35:39Z
105,M,11,,,2026-07-24T23:35:39Z
105,M,12,,,2026-07-24T23:35:39Z
B,F,7,,,2026-07-24T23:35:39Z
B,F,8,,,2026-07-24T23:35:39Z
117,F,5,,,2026-07-24T23:35:39Z
117,F,6,,,2026-07-24T23:35:39Z
117,F,7,,,2026-07-24T23:35:39Z
117,F,8,,,2026-07-24T23:35:39Z
117,F,9,,,2026-07-24T23:35:39Z
117,FF,6,,,2026-07-24T23:35:39Z
117,FF,7,,,2026-07-24T23:35:39Z
117,E,1,,,2026-07-24T23:35:39Z
117,E,2,,,2026-07-24T23:35:39Z
117,E,3,,,2026-07-24T23:35:39Z
117,E,4,,,2026-07-24T23:35:39Z
117,N,9,,,2026-07-24T23:35:39Z
117,N,10,,,2026-07-24T23:35:39Z
117,N,11,,,2026-07-24T23:35:39Z
117,N,12,,,2026-07-24T23:35:39Z
117,NN,6,,,2026-07-24T23:35:39Z
117,NN,7,,,2026-07-24T23:35:39Z
117,K,5,,,2026-07-24T23:35:39Z
117,K,6,,,2026-07-24T23:35:39Z
117,KK,8,,,2026-07-24T23:35:39Z
117,KK,9,,,2026-07-24T23:35:39Z
117,KK,10,,,2026-07-24T23:35:39Z
117,KK,11,,,2026-07-24T23:35:39Z
117,KK,12,,,2026-07-24T23:35:39Z
117,KK,13,,,2026-07-24T23:35:39Z
117,KK,14,,,2026-07-24T23:35:39Z
117,M,8,,,2026-07-24T23:35:39Z
117,M,9,,,2026-07-24T23:35:39Z
117,M,10,,,2026-07-24T23:35:39Z
117,M,11,,,2026-07-24T23:35:39Z
117,T,15,,,2026-07-24T23:35:39Z
117,T,16,,,2026-07-24T23:35:39Z
135,D,5,,,2026-07-24T23:35:39Z
135,D,6,,,2026-07-24T23:35:39Z
135,F,3,,,2026-07-24T23:35:39Z
135,F,4,,,2026-07-24T23:35:39Z
135,S,13,,,2026-07-24T23:35:39Z
135,S,14,,,2026-07-24T23:35:39Z
135,AA,16,,,2026-07-24T23:35:39Z
135,AA,17,,,2026-07-24T23:35:39Z
131,E,5,,,2026-07-24T23:35:39Z
131,E,6,,,2026-07-24T23:35:39Z
131,N,1,,,2026-07-24T23:35:39Z
131,N,2,,,2026-07-24T23:35:39Z
131,N,3,,,2026-07-24T23:35:39Z
131,N,4,,,2026-07-24T23:35:39Z
131,N,5,,,2026-07-24T23:35:39Z
131,N,6,,,2026-07-24T23:35:39Z
131,N,7,,,2026-07-24T23:35:39Z
131,N,8,,,2026-07-24T23:35:39Z
131,N,9,,,2026-07-24T23:35:39Z
131,Z,5,,,2026-07-24T23:35:39Z
131,Z,6,,,2026-07-24T23:35:39Z
131,Z,7,,,2026-07-24T23:35:39Z
131,Z,8,,,2026-07-24T23:35:39Z
131,AA,7,,,2026-07-24T23:35:39Z
131,AA,8,,,2026-07-24T23:35:39Z
131,AA,9,,,2026-07-24T23:35:39Z
131,AA,10,,,2026-07-24T23:35:39Z
131,AA,11,,,2026-07-24T23:35:39Z
131,AA,12,,,2026-07-24T23:35:39Z
131,AA,13,,,2026-07-24T23:35:39Z
131,AA,14,,,2026-07-24T23:35:39Z
131,AA,15,,,2026-07-24T23:35:39Z
131,AA,16,,,2026-07-24T23:35:39Z
131,AA,17,,,2026-07-24T23:35:39Z
131,AA,18,,,2026-07-24T23:35:39Z
131,TT,11,,,2026-07-24T23:35:39Z
131,TT,12,,,2026-07-24T23:35:39Z
131,TT,13,,,2026-07-24T23:35:39Z
131,TT,14,,,2026-07-24T23:35:39Z
131,V,1,,,2026-07-24T23:35:39Z
131,V,2,,,2026-07-24T23:35:39Z
131,V,3,,,2026-07-24T23:35:39Z
131,V,4,,,2026-07-24T23:35:39Z
131,V,5,,,2026-07-24T23:35:39Z
131,V,6,,,2026-07-24T23:35:39Z
131,V,7,,,2026-07-24T23:35:39Z
131,V,8,,,2026-07-24T23:35:39Z
131,LL,11,,,2026-07-24T23:35:39Z
131,LL,12,,,2026-07-24T23:35:39Z
131,LL,13,,,2026-07-24T23:35:39Z
131,LL,14,,,2026-07-24T23:35:39Z
131,LL,15,,,2026-07-24T23:35:39Z
131,LL,16,,,2026-07-24T23:35:39Z
131,LL,17,,,2026-07-24T23:35:39Z
131,LL,18,,,2026-07-24T23:35:39Z
131,HH,9,,,2026-07-24T23:35:39Z
131,HH,10,,,2026-07-24T23:35:39Z
131,HH,11,,,2026-07-24T23:35:39Z
131,HH,12,,,2026-07-24T23:35:39Z
131,HH,13,,,2026-07-24T23:35:39Z
131,HH,14,,,2026-07-24T23:35:39Z
131,HH,15,,,2026-07-24T23:35:39Z
131,H,9,,,2026-07-24T23:35:39Z
131,H,10,,,2026-07-24T23:35:39Z
131,H,11,,,2026-07-24T23:35:39Z
131,H,12,,,2026-07-24T23:35:39Z
103,B,3,,,2026-07-24T23:35:39Z
103,B,4,,,2026-07-24T23:35:39Z
204,A,13,,,2026-07-24T23:35:39Z
204,A,14,,,2026-07-24T23:35:39Z
204,L,11,,,2026-07-24T23:35:39Z
204,L,12,,,2026-07-24T23:35:39Z
204,E,18,,,2026-07-24T23:35:39Z
204,E,19,,,2026-07-24T23:35:39Z
206,B,5,,,2026-07-24T23:35:39Z
206,B,6,,,2026-07-24T23:35:39Z
206,E,3,,,2026-07-24T23:35:39Z
206,E,4,,,2026-07-24T23:35:39Z
219,B,7,,,2026-07-24T23:35:39Z
219,B,8,,,2026-07-24T23:35:39Z
219,B,9,,,2026-07-24T23:35:39Z
219,B,10,,,2026-07-24T23:35:39Z
219,B,11,,,2026-07-24T23:35:39Z
219,B,12,,,2026-07-24T23:35:39Z
219,B,13,,,2026-07-24T23:35:39Z
219,B,14,,,2026-07-24T23:35:39Z
219,A,13,,,2026-07-24T23:35:39Z
219,A,14,,,2026-07-24T23:35:39Z
116,F,5,,,2026-07-24T23:35:39Z
116,F,6,,,2026-07-24T23:35:39Z
116,F,7,,,2026-07-24T23:35:39Z
116,F,8,,,2026-07-24T23:35:39Z
116,EE,9,,,2026-07-24T23:35:39Z
116,EE,10,,,2026-07-24T23:35:39Z
116,EE,11,,,2026-07-24T23:35:39Z
116,EE,12,,,2026-07-24T23:35:39Z
116,JJ,11,,,2026-07-24T23:35:39Z
116,JJ,12,,,2026-07-24T23:35:39Z
116,J,9,,,2026-07-24T23:35:39Z
116,J,10,,,2026-07-24T23:35:39Z
116,TT,11,,,2026-07-24T23:35:39Z
116,TT,12,,,2026-07-24T23:35:39Z
116,T,1,,,2026-07-24T23:35:39Z
116,T,2,,,2026-07-24T23:35:39Z
116,T,3,,,2026-07-24T23:35:39Z
116,T,4,,,2026-07-24T23:35:39Z
116,T,5,,,2026-07-24T23:35:39Z
116,T,6,,,2026-07-24T23:35:39Z
116,T,7,,,2026-07-24T23:35:39Z
116,T,8,,,2026-07-24T23:35:39Z
116,Y,5,,,2026-07-24T23:35:39Z
116,Y,6,,,2026-07-24T23:35:39Z
116,Y,7,,,2026-07-24T23:35:39Z
116,Y,8,,,2026-07-24T23:35:39Z
116,X,9,,,2026-07-24T23:35:39Z
116,X,10,,,2026-07-24T23:35:39Z
116,X,11,,,2026-07-24T23:35:39Z
116,X,12,,,2026-07-24T23:35:39Z
116,H,13,,,2026-07-24T23:35:39Z
116,H,14,,,2026-07-24T23:35:39Z
E,K,1,,,2026-07-24T23:35:39Z
E,K,2,,,2026-07-24T23:35:39Z
108,S,7,,,2026-07-24T23:35:39Z
108,S,8,,,2026-07-24T23:35:39Z
115,U,9,,,2026-07-24T23:35:39Z
115,U,10,,,2026-07-24T23:35:39Z
115,U,11,,,2026-07-24T23:35:39Z
