section,row,seat,price_usd,selection_type,scraped_at
103,B,3,,,2026-07-24T21:45:38Z
103,B,4,,,2026-07-24T21:45:38Z
105,G,5,,,2026-07-24T21:45:38Z
105,G,6,,,2026-07-24T21:45:38Z
105,H,9,,,2026-07-24T21:45:38Z
105,H,10,,,2026-07-24T21:45:38Z
105,H,11,,,2026-07-24T21:45:38Z
105,H,12,,,2026-07-24T21:45:38Z
105,H,13,,,2026-07-24T21:45:38Z
105,H,14,,,2026-07-24T21:45:38Z
105,H,15,,,2026-07-24T21:45:38Z
105,H,16,,,2026-07-24T21:45:38Z
108,S,7,,,2026-07-24T21:45:38Z
108,S,8,,,2026-07-24T21:45:38Z
109,U,13,,,2026-07-24T21:45:38Z
109,U,14,,,2026-07-24T21:45:38Z
110,A,7,,,2026-07-24T21:45:38Z
110,A,8,,,2026-07-24T21:45:38Z
110,C,1,,,2026-07-24T21:45:38Z
110,C,2,,,2026-07-24T21:45:38Z
110,F,9,,,2026-07-24T21:45:38Z
110,F,10,,,2026-07-24T21:45:38Z
110,F,11,,,2026-07-24T21:45:38Z
110,F,12,,,2026-07-24T21:45:38Z
110,K,7,,,2026-07-24T21:45:38Z
110,K,8,,,2026-07-24T21:45:38Z
110,K,9,,,2026-07-24T21:45:38Z
110,K,10,,,2026-07-24T21:45:38Z
110,K,11,,,2026-07-24T21:45:38Z
110,K,12,,,2026-07-24T21:45:38Z
110,K,13,,,2026-07-24T21:45:38Z
110,K,14,,,2026-07-24T21:45:38Z
110,K,15,,,2026-07-24T21:45:38Z
111,A,1,,,2026-07-24T21:45:38Z
111,A,2,,,2026-07-24T21:45:38Z
111,A,3,,,2026-07-24T21:45:38Z
111,A,4,,,2026-07-24T21:45:38Z
111,Y,9,,,2026-07-24T21:45:38Z
111,Y,10,,,2026-07-24T21:45:38Z
112,Z,9,,,2026-07-24T21:45:38Z
112,Z,10,,,2026-07-24T21:45:38Z
112,Z,11,,,2026-07-24T21:45:38Z
112,Z,12,,,2026-07-24T21:45:38Z
112,Z,13,,,2026-07-24T21:45:38Z
112,Z,14,,,2026-07-24T21:45:38Z
113,AA,16,,,2026-07-24T21:45:38Z
113,AA,17,,,2026-07-24T21:45:38Z
113,G,8,,,2026-07-24T21:45:38Z
113,G,9,,,2026-07-24T21:45:38Z
113,HH,11,,,2026-07-24T21:45:38Z
113,HH,12,,,2026-07-24T21:45:38Z
113,HH,13,,,2026-07-24T21:45:38Z
113,HH,14,,,2026-07-24T21:45:38Z
113,HH,15,,,2026-07-24T21:45:38Z
113,HH,16,,,2026-07-24T21:45:38Z
113,L,8,,,2026-07-24T21:45:38Z
113,L,9,,,2026-07-24T21:45:38Z
113,L,10,,,2026-07-24T21:45:38Z
113,L,11,,,2026-07-24T21:45:38Z
113,W,7,,,2026-07-24T21:45:38Z
113,W,8,,,2026-07-24T21:45:38Z
113,W,9,,,2026-07-24T21:45:38Z
113,W,10,,,2026-07-24T21:45:38Z
113,W,11,,,2026-07-24T21:45:38Z
113,W,12,,,2026-07-24T21:45:38Z
113,W,13,,,2026-07-24T21:45:38Z
113,W,14,,,2026-07-24T21:45:38Z
114,F,1,,,2026-07-24T21:45:38Z
114,F,2,,,2026-07-24T21:45:38Z
115,D,11,,,2026-07-24T21:45:38Z
115,D,12,,,2026-07-24T21:45:38Z
115,D,13,,,2026-07-24T21:45:38Z
115,D,14,,,2026-07-24T21:45:38Z
115,D,15,,,2026-07-24T21:45:38Z
115,D,16,,,2026-07-24T21:45:38Z
115,D,17,,,2026-07-24T21:45:38Z
115,U,9,,,2026-07-24T21:45:38Z
115,U,10,,,2026-07-24T21:45:38Z
115,U,11,,,2026-07-24T21:45:38Z
115,U,12,,,2026-07-24T21:45:38Z
115,U,13,,,2026-07-24T21:45:38Z
115,U,14,,,2026-07-24T21:45:38Z
115,UU,7,,,2026-07-24T21:45:38Z
115,UU,8,,,2026-07-24T21:45:38Z
115,Y,5,,,2026-07-24T21:45:38Z
115,Y,6,,,2026-07-24T21:45:38Z
116,EE,9,,,2026-07-24T21:45:38Z
116,EE,10,,,2026-07-24T21:45:38Z
116,EE,11,,,2026-07-24T21:45:38Z
116,EE,12,,,2026-07-24T21:45:38Z
116,F,5,,,2026-07-24T21:45:38Z
116,F,6,,,2026-07-24T21:45:38Z
116,F,7,,,2026-07-24T21:45:38Z
116,F,8,,,2026-07-24T21:45:38Z
116,JJ,11,,,2026-07-24T21:45:38Z
116,JJ,12,,,2026-07-24T21:45:38Z
116,TT,11,,,2026-07-24T21:45:38Z
116,TT,12,,,2026-07-24T21:45:38Z
116,X,9,,,2026-07-24T21:45:38Z
116,X,10,,,2026-07-24T21:45:38Z
116,X,11,,,2026-07-24T21:45:38Z
116,X,12,,,2026-07-24T21:45:38Z
116,Y,5,,,2026-07-24T21:45:38Z
116,Y,6,,,2026-07-24T21:45:38Z
116,Y,7,,,2026-07-24T21:45:38Z
116,Y,8,,,2026-07-24T21:45:38Z
117,E,1,,,2026-07-24T21:45:38Z
117,E,2,,,2026-07-24T21:45:38Z
117,E,3,,,2026-07-24T21:45:38Z
117,E,4,,,2026-07-24T21:45:38Z
117,F,5,,,2026-07-24T21:45:38Z
117,F,6,,,2026-07-24T21:45:38Z
117,F,7,,,2026-07-24T21:45:38Z
117,F,8,,,2026-07-24T21:45:38Z
117,F,9,,,2026-07-24T21:45:38Z
117,FF,6,,,2026-07-24T21:45:38Z
117,FF,7,,,2026-07-24T21:45:38Z
117,K,5,,,2026-07-24T21:45:38Z
117,K,6,,,2026-07-24T21:45:38Z
117,M,8,,,2026-07-24T21:45:38Z
117,M,9,,,2026-07-24T21:45:38Z
117,M,10,,,2026-07-24T21:45:38Z
117,M,11,,,2026-07-24T21:45:38Z
117,N,9,,,2026-07-24T21:45:38Z
117,N,10,,,2026-07-24T21:45:38Z
117,N,11,,,2026-07-24T21:45:38Z
117,N,12,,,2026-07-24T21:45:38Z
117,NN,6,,,2026-07-24T21:45:38Z
117,NN,7,,,2026-07-24T21:45:38Z
128,H,5,,,2026-07-24T21:45:38Z
128,H,6,,,2026-07-24T21:45:38Z
128,S,5,,,2026-07-24T21:45:38Z
128,S,6,,,2026-07-24T21:45:38Z
128,S,7,,,2026-07-24T21:45:38Z
128,S,8,,,2026-07-24T21:45:38Z
129,FF,15,,,2026-07-24T21:45:38Z
129,FF,16,,,2026-07-24T21:45:38Z
129,G,5,,,2026-07-24T21:45:38Z
129,G,6,,,2026-07-24T21:45:38Z
129,R,9,,,2026-07-24T21:45:38Z
129,R,10,,,2026-07-24T21:45:38Z
129,R,11,,,2026-07-24T21:45:38Z
129,R,12,,,2026-07-24T21:45:38Z
129,R,13,,,2026-07-24T21:45:38Z
129,R,14,,,2026-07-24T21:45:38Z
129,V,7,,,2026-07-24T21:45:38Z
129,V,8,,,2026-07-24T21:45:38Z
129,V,9,,,2026-07-24T21:45:38Z
129,V,10,,,2026-07-24T21:45:38Z
129,V,11,,,2026-07-24T21:45:38Z
129,V,12,,,2026-07-24T21:45:38Z
129,W,8,,,2026-07-24T21:45:38Z
129,W,9,,,2026-07-24T21:45:38Z
130,BB,2,,,2026-07-24T21:45:38Z
130,BB,3,,,2026-07-24T21:45:38Z
130,BB,4,,,2026-07-24T21:45:38Z
130,BB,5,,,2026-07-24T21:45:38Z
130,BB,6,,,2026-07-24T21:45:38Z
130,BB,7,,,2026-07-24T21:45:38Z
130,BB,8,,,2026-07-24T21:45:38Z
130,BB,9,,,2026-07-24T21:45:38Z
130,BB,10,,,2026-07-24T21:45:38Z
130,BB,11,,,2026-07-24T21:45:38Z
130,BB,12,,,2026-07-24T21:45:38Z
130,GG,15,,,2026-07-24T21:45:38Z
130,GG,16,,,2026-07-24T21:45:38Z
130,H,5,,,2026-07-24T21:45:38Z
130,H,6,,,2026-07-24T21:45:38Z
130,H,7,,,2026-07-24T21:45:38Z
130,H,8,,,2026-07-24T21:45:38Z
130,S,5,,,2026-07-24T21:45:38Z
130,S,6,,,2026-07-24T21:45:38Z
130,S,7,,,2026-07-24T21:45:38Z
130,S,8,,,2026-07-24T21:45:38Z
130,S,9,,,2026-07-24T21:45:38Z
130,S,10,,,2026-07-24T21:45:38Z
130,S,11,,,2026-07-24T21:45:38Z
130,S,12,,,2026-07-24T21:45:38Z
130,W,9,,,2026-07-24T21:45:38Z
130,W,10,,,2026-07-24T21:45:38Z
130,W,11,,,2026-07-24T21:45:38Z
130,W,12,,,2026-07-24T21:45:38Z
131,AA,7,,,2026-07-24T21:45:38Z
131,AA,8,,,2026-07-24T21:45:38Z
131,AA,9,,,2026-07-24T21:45:38Z
131,AA,10,,,2026-07-24T21:45:38Z
131,AA,11,,,2026-07-24T21:45:38Z
131,AA,12,,,2026-07-24T21:45:38Z
131,AA,13,,,2026-07-24T21:45:38Z
131,AA,14,,,2026-07-24T21:45:38Z
131,AA,15,,,2026-07-24T21:45:38Z
131,AA,16,,,2026-07-24T21:45:38Z
131,AA,17,,,2026-07-24T21:45:38Z
131,AA,18,,,2026-07-24T21:45:38Z
131,E,5,,,2026-07-24T21:45:38Z
131,E,6,,,2026-07-24T21:45:38Z
131,N,1,,,2026-07-24T21:45:38Z
131,N,2,,,2026-07-24T21:45:38Z
131,N,3,,,2026-07-24T21:45:38Z
131,N,4,,,2026-07-24T21:45:38Z
131,N,5,,,2026-07-24T21:45:38Z
131,N,6,,,2026-07-24T21:45:38Z
131,N,7,,,2026-07-24T21:45:38Z
131,N,8,,,2026-07-24T21:45:38Z
131,N,9,,,2026-07-24T21:45:38Z
131,TT,11,,,2026-07-24T21:45:38Z
131,TT,12,,,2026-07-24T21:45:38Z
131,TT,13,,,2026-07-24T21:45:38Z
131,TT,14,,,2026-07-24T21:45:38Z
131,Z,5,,,2026-07-24T21:45:38Z
131,Z,6,,,2026-07-24T21:45:38Z
131,Z,7,,,2026-07-24T21:45:38Z
131,Z,8,,,2026-07-24T21:45:38Z
132,G,7,,,2026-07-24T21:45:38Z
132,G,8,,,2026-07-24T21:45:38Z
