section,row,seat,price_usd,selection_type,scraped_at
317,3,16,,,2026-07-12T00:31:41Z
317,3,17,,,2026-07-12T00:31:41Z
219,2,8,,,2026-07-12T00:31:41Z
219,2,9,,,2026-07-12T00:31:41Z
120,34,9,,,2026-07-12T00:31:41Z
120,34,10,,,2026-07-12T00:31:41Z
120,32,14,,,2026-07-12T00:31:41Z
120,32,15,,,2026-07-12T00:31:41Z
304,13,13,,,2026-07-12T00:31:41Z
304,13,14,,,2026-07-12T00:31:41Z
304,13,15,,,2026-07-12T00:31:41Z
304,13,16,,,2026-07-12T00:31:41Z
122,33,11,,,2026-07-12T00:31:41Z
122,33,12,,,2026-07-12T00:31:41Z
122,18,7,,,2026-07-12T00:31:41Z
122,18,8,,,2026-07-12T00:31:41Z
111,27,5,,,2026-07-12T00:31:41Z
111,27,6,,,2026-07-12T00:31:41Z
207,3,15,,,2026-07-12T00:31:41Z
207,3,16,,,2026-07-12T00:31:41Z
130,2,15,,,2026-07-12T00:31:41Z
130,2,16,,,2026-07-12T00:31:41Z
130,4,3,,,2026-07-12T00:31:41Z
130,4,4,,,2026-07-12T00:31:41Z
319,2,11,,,2026-07-12T00:31:41Z
319,2,12,,,2026-07-12T00:31:41Z
206,5,14,,,2026-07-12T00:31:41Z
206,5,15,,,2026-07-12T00:31:41Z
206,7,7,,,2026-07-12T00:31:41Z
206,7,8,,,2026-07-12T00:31:41Z
323,3,18,,,2026-07-12T00:31:41Z
323,3,19,,,2026-07-12T00:31:41Z
121,20,5,,,2026-07-12T00:31:41Z
121,20,6,,,2026-07-12T00:31:41Z
121,39,10,,,2026-07-12T00:31:41Z
121,39,11,,,2026-07-12T00:31:41Z
212,4,5,,,2026-07-12T00:31:41Z
212,4,6,,,2026-07-12T00:31:41Z
212,6,7,,,2026-07-12T00:31:41Z
212,6,8,,,2026-07-12T00:31:41Z
116,6,13,,,2026-07-12T00:31:41Z
116,6,14,,,2026-07-12T00:31:41Z
116,31,6,,,2026-07-12T00:31:41Z
116,31,7,,,2026-07-12T00:31:41Z
116,31,8,,,2026-07-12T00:31:41Z
116,31,9,,,2026-07-12T00:31:41Z
116,7,13,,,2026-07-12T00:31:41Z
116,7,14,,,2026-07-12T00:31:41Z
132,6,21,,,2026-07-12T00:31:41Z
132,6,22,,,2026-07-12T00:31:41Z
128,4,3,,,2026-07-12T00:31:41Z
128,4,4,,,2026-07-12T00:31:41Z
128,3,18,,,2026-07-12T00:31:41Z
128,3,19,,,2026-07-12T00:31:41Z
213,4,5,,,2026-07-12T00:31:41Z
213,4,6,,,2026-07-12T00:31:41Z
213,2,17,,,2026-07-12T00:31:41Z
213,2,18,,,2026-07-12T00:31:41Z
113,19,10,,,2026-07-12T00:31:41Z
113,19,11,,,2026-07-12T00:31:41Z
113,15,5,,,2026-07-12T00:31:41Z
113,15,6,,,2026-07-12T00:31:41Z
324,2,23,,,2026-07-12T00:31:41Z
324,2,24,,,2026-07-12T00:31:41Z
133,11,17,,,2026-07-12T00:31:41Z
133,11,18,,,2026-07-12T00:31:41Z
114,30,23,,,2026-07-12T00:31:41Z
114,30,24,,,2026-07-12T00:31:41Z
129,16,7,,,2026-07-12T00:31:41Z
129,16,8,,,2026-07-12T00:31:41Z
131,11,6,,,2026-07-12T00:31:41Z
131,11,7,,,2026-07-12T00:31:41Z
125,33,13,,,2026-07-12T00:31:41Z
125,33,14,,,2026-07-12T00:31:41Z
