section,row,seat,price_usd,selection_type,scraped_at
108,19,21,,,2026-07-29T20:42:35Z
108,19,22,,,2026-07-29T20:42:35Z
108,17,13,,,2026-07-29T20:42:35Z
108,17,14,,,2026-07-29T20:42:35Z
107,17,18,,,2026-07-29T20:42:35Z
107,17,19,,,2026-07-29T20:42:35Z
107,18,3,,,2026-07-29T20:42:35Z
107,18,4,,,2026-07-29T20:42:35Z
115,8,5,,,2026-07-29T20:42:35Z
115,8,6,,,2026-07-29T20:42:35Z
115,28,3,,,2026-07-29T20:42:35Z
115,28,4,,,2026-07-29T20:42:35Z
211,2,9,,,2026-07-29T20:42:35Z
211,2,10,,,2026-07-29T20:42:35Z
211,4,7,,,2026-07-29T20:42:35Z
211,4,8,,,2026-07-29T20:42:35Z
131,3,5,,,2026-07-29T20:42:35Z
131,3,6,,,2026-07-29T20:42:35Z
131,11,3,,,2026-07-29T20:42:35Z
131,11,4,,,2026-07-29T20:42:35Z
131,11,5,,,2026-07-29T20:42:35Z
131,11,6,,,2026-07-29T20:42:35Z
131,2,10,,,2026-07-29T20:42:35Z
131,2,11,,,2026-07-29T20:42:35Z
131,9,13,,,2026-07-29T20:42:35Z
131,9,14,,,2026-07-29T20:42:35Z
130,6,15,,,2026-07-29T20:42:35Z
130,6,16,,,2026-07-29T20:42:35Z
130,2,15,,,2026-07-29T20:42:35Z
130,2,16,,,2026-07-29T20:42:35Z
130,3,3,,,2026-07-29T20:42:35Z
130,3,4,,,2026-07-29T20:42:35Z
212,4,5,,,2026-07-29T20:42:35Z
212,4,6,,,2026-07-29T20:42:35Z
128,6,8,,,2026-07-29T20:42:35Z
128,6,9,,,2026-07-29T20:42:35Z
128,3,18,,,2026-07-29T20:42:35Z
128,3,19,,,2026-07-29T20:42:35Z
129,5,3,,,2026-07-29T20:42:35Z
129,5,4,,,2026-07-29T20:42:35Z
129,19,15,,,2026-07-29T20:42:35Z
129,19,16,,,2026-07-29T20:42:35Z
129,15,8,,,2026-07-29T20:42:35Z
129,15,9,,,2026-07-29T20:42:35Z
121,27,11,,,2026-07-29T20:42:35Z
121,27,12,,,2026-07-29T20:42:35Z
121,20,5,,,2026-07-29T20:42:35Z
121,20,6,,,2026-07-29T20:42:35Z
121,36,9,,,2026-07-29T20:42:35Z
121,36,10,,,2026-07-29T20:42:35Z
121,15,9,,,2026-07-29T20:42:35Z
121,15,10,,,2026-07-29T20:42:35Z
308,2,1,,,2026-07-29T20:42:35Z
308,2,2,,,2026-07-29T20:42:35Z
308,3,7,,,2026-07-29T20:42:35Z
308,3,8,,,2026-07-29T20:42:35Z
308,8,5,,,2026-07-29T20:42:35Z
308,8,6,,,2026-07-29T20:42:35Z
308,10,11,,,2026-07-29T20:42:35Z
308,10,12,,,2026-07-29T20:42:35Z
308,10,13,,,2026-07-29T20:42:35Z
308,10,14,,,2026-07-29T20:42:35Z
307,6,4,,,2026-07-29T20:42:35Z
307,6,5,,,2026-07-29T20:42:35Z
307,6,6,,,2026-07-29T20:42:35Z
307,6,7,,,2026-07-29T20:42:35Z
