section,row,seat,price_usd,selection_type,scraped_at
109,6,15,,,2026-07-01T21:48:19Z
109,6,16,,,2026-07-01T21:48:19Z
134,27,7,,,2026-07-01T21:48:19Z
134,27,8,,,2026-07-01T21:48:19Z
134,24,7,,,2026-07-01T21:48:19Z
134,24,8,,,2026-07-01T21:48:19Z
135,15,9,,,2026-07-01T21:48:19Z
135,15,10,,,2026-07-01T21:48:19Z
135,5,13,,,2026-07-01T21:48:19Z
135,5,14,,,2026-07-01T21:48:19Z
110,22,10,,,2026-07-01T21:48:19Z
110,22,11,,,2026-07-01T21:48:19Z
110,23,8,,,2026-07-01T21:48:19Z
110,23,9,,,2026-07-01T21:48:19Z
132,23,17,,,2026-07-01T21:48:19Z
132,23,18,,,2026-07-01T21:48:19Z
132,25,9,,,2026-07-01T21:48:19Z
132,25,10,,,2026-07-01T21:48:19Z
132,25,11,,,2026-07-01T21:48:19Z
132,25,12,,,2026-07-01T21:48:19Z
302,3,1,,,2026-07-01T21:48:19Z
302,3,2,,,2026-07-01T21:48:19Z
105,1,13,,,2026-07-01T21:48:19Z
105,1,14,,,2026-07-01T21:48:19Z
115,17,1,,,2026-07-01T21:48:19Z
115,17,2,,,2026-07-01T21:48:19Z
429,4,15,,,2026-07-01T21:48:19Z
429,4,16,,,2026-07-01T21:48:19Z
429,12,16,,,2026-07-01T21:48:19Z
429,12,17,,,2026-07-01T21:48:19Z
111,6,2,,,2026-07-01T21:48:19Z
111,6,3,,,2026-07-01T21:48:19Z
111,6,4,,,2026-07-01T21:48:19Z
111,6,5,,,2026-07-01T21:48:19Z
