section,row,seat,price_usd,selection_type,scraped_at
214,C,7,,,2026-07-24T21:43:13Z
214,C,8,,,2026-07-24T21:43:13Z
214,G,5,,,2026-07-24T21:43:13Z
214,G,6,,,2026-07-24T21:43:13Z
31,L,1,,,2026-07-24T21:43:13Z
31,L,2,,,2026-07-24T21:43:13Z
31,G,3,,,2026-07-24T21:43:13Z
31,G,4,,,2026-07-24T21:43:13Z
31,E,1,,,2026-07-24T21:43:13Z
31,E,2,,,2026-07-24T21:43:13Z
31,E,3,,,2026-07-24T21:43:13Z
31,E,4,,,2026-07-24T21:43:13Z
208,B,3,,,2026-07-24T21:43:13Z
208,B,4,,,2026-07-24T21:43:13Z
208,B,5,,,2026-07-24T21:43:13Z
208,B,6,,,2026-07-24T21:43:13Z
208,D,5,,,2026-07-24T21:43:13Z
208,D,6,,,2026-07-24T21:43:13Z
208,D,7,,,2026-07-24T21:43:13Z
208,D,8,,,2026-07-24T21:43:13Z
208,D,9,,,2026-07-24T21:43:13Z
208,D,10,,,2026-07-24T21:43:13Z
125,K,23,,,2026-07-24T21:43:13Z
125,K,24,,,2026-07-24T21:43:13Z
125,M,1,,,2026-07-24T21:43:13Z
125,M,2,,,2026-07-24T21:43:13Z
125,M,3,,,2026-07-24T21:43:13Z
125,M,4,,,2026-07-24T21:43:13Z
125,M,5,,,2026-07-24T21:43:13Z
125,M,6,,,2026-07-24T21:43:13Z
125,CC,5,,,2026-07-24T21:43:13Z
125,CC,6,,,2026-07-24T21:43:13Z
131,G,13,,,2026-07-24T21:43:13Z
131,G,14,,,2026-07-24T21:43:13Z
131,G,15,,,2026-07-24T21:43:13Z
131,G,16,,,2026-07-24T21:43:13Z
131,H,11,,,2026-07-24T21:43:13Z
131,H,12,,,2026-07-24T21:43:13Z
131,H,13,,,2026-07-24T21:43:13Z
131,H,14,,,2026-07-24T21:43:13Z
131,H,15,,,2026-07-24T21:43:13Z
131,E,19,,,2026-07-24T21:43:13Z
131,E,20,,,2026-07-24T21:43:13Z
131,E,21,,,2026-07-24T21:43:13Z
131,E,22,,,2026-07-24T21:43:13Z
131,E,23,,,2026-07-24T21:43:13Z
131,E,24,,,2026-07-24T21:43:13Z
131,L,1,,,2026-07-24T21:43:13Z
131,L,2,,,2026-07-24T21:43:13Z
131,L,3,,,2026-07-24T21:43:13Z
131,L,4,,,2026-07-24T21:43:13Z
131,L,5,,,2026-07-24T21:43:13Z
131,L,6,,,2026-07-24T21:43:13Z
131,Y,7,,,2026-07-24T21:43:13Z
131,Y,8,,,2026-07-24T21:43:13Z
131,Y,9,,,2026-07-24T21:43:13Z
131,Y,10,,,2026-07-24T21:43:13Z
1,H,1,,,2026-07-24T21:43:13Z
1,H,2,,,2026-07-24T21:43:13Z
1,F,7,,,2026-07-24T21:43:13Z
1,F,8,,,2026-07-24T21:43:13Z
1,F,9,,,2026-07-24T21:43:13Z
1,F,10,,,2026-07-24T21:43:13Z
1,F,11,,,2026-07-24T21:43:13Z
1,F,12,,,2026-07-24T21:43:13Z
132,P,1,,,2026-07-24T21:43:13Z
132,P,10,,,2026-07-24T21:43:13Z
132,P,11,,,2026-07-24T21:43:13Z
132,P,12,,,2026-07-24T21:43:13Z
132,P,2,,,2026-07-24T21:43:13Z
132,P,7,,,2026-07-24T21:43:13Z
132,P,8,,,2026-07-24T21:43:13Z
132,P,9,,,2026-07-24T21:43:13Z
132,L,1,,,2026-07-24T21:43:13Z
132,L,2,,,2026-07-24T21:43:13Z
132,L,3,,,2026-07-24T21:43:13Z
132,L,4,,,2026-07-24T21:43:13Z
132,L,5,,,2026-07-24T21:43:13Z
132,L,6,,,2026-07-24T21:43:13Z
132,L,7,,,2026-07-24T21:43:13Z
132,L,8,,,2026-07-24T21:43:13Z
132,AA,3,,,2026-07-24T21:43:13Z
132,AA,4,,,2026-07-24T21:43:13Z
105,F,1,,,2026-07-24T21:43:13Z
105,F,2,,,2026-07-24T21:43:13Z
105,F,3,,,2026-07-24T21:43:13Z
105,F,4,,,2026-07-24T21:43:13Z
105,F,5,,,2026-07-24T21:43:13Z
105,F,6,,,2026-07-24T21:43:13Z
105,P,1,,,2026-07-24T21:43:13Z
105,P,2,,,2026-07-24T21:43:13Z
105,P,3,,,2026-07-24T21:43:13Z
105,P,4,,,2026-07-24T21:43:13Z
105,P,5,,,2026-07-24T21:43:13Z
105,P,6,,,2026-07-24T21:43:13Z
105,P,7,,,2026-07-24T21:43:13Z
105,N,1,,,2026-07-24T21:43:13Z
105,N,2,,,2026-07-24T21:43:13Z
105,N,3,,,2026-07-24T21:43:13Z
105,N,4,,,2026-07-24T21:43:13Z
105,N,5,,,2026-07-24T21:43:13Z
105,N,6,,,2026-07-24T21:43:13Z
105,CC,3,,,2026-07-24T21:43:13Z
105,CC,4,,,2026-07-24T21:43:13Z
105,CC,5,,,2026-07-24T21:43:13Z
105,CC,6,,,2026-07-24T21:43:13Z
105,CC,7,,,2026-07-24T21:43:13Z
105,CC,8,,,2026-07-24T21:43:13Z
105,CC,9,,,2026-07-24T21:43:13Z
105,CC,10,,,2026-07-24T21:43:13Z
103,G,1,,,2026-07-24T21:43:13Z
103,G,2,,,2026-07-24T21:43:13Z
103,G,3,,,2026-07-24T21:43:13Z
103,G,4,,,2026-07-24T21:43:13Z
103,G,5,,,2026-07-24T21:43:13Z
103,G,6,,,2026-07-24T21:43:13Z
103,G,7,,,2026-07-24T21:43:13Z
103,N,1,,,2026-07-24T21:43:13Z
103,N,2,,,2026-07-24T21:43:13Z
103,N,3,,,2026-07-24T21:43:13Z
103,N,4,,,2026-07-24T21:43:13Z
103,N,5,,,2026-07-24T21:43:13Z
103,N,6,,,2026-07-24T21:43:13Z
103,N,7,,,2026-07-24T21:43:13Z
103,Q,4,,,2026-07-24T21:43:13Z
103,Q,5,,,2026-07-24T21:43:13Z
103,F,1,,,2026-07-24T21:43:13Z
103,F,2,,,2026-07-24T21:43:13Z
103,F,3,,,2026-07-24T21:43:13Z
103,F,4,,,2026-07-24T21:43:13Z
103,F,5,,,2026-07-24T21:43:13Z
103,F,6,,,2026-07-24T21:43:13Z
103,F,7,,,2026-07-24T21:43:13Z
103,R,1,,,2026-07-24T21:43:13Z
103,R,2,,,2026-07-24T21:43:13Z
103,R,3,,,2026-07-24T21:43:13Z
103,R,4,,,2026-07-24T21:43:13Z
103,R,5,,,2026-07-24T21:43:13Z
103,R,6,,,2026-07-24T21:43:13Z
107,N,1,,,2026-07-24T21:43:13Z
107,N,2,,,2026-07-24T21:43:13Z
107,N,3,,,2026-07-24T21:43:13Z
107,N,4,,,2026-07-24T21:43:13Z
107,N,5,,,2026-07-24T21:43:13Z
107,N,6,,,2026-07-24T21:43:13Z
107,G,1,,,2026-07-24T21:43:13Z
107,G,2,,,2026-07-24T21:43:13Z
211,C,5,,,2026-07-24T21:43:13Z
211,C,6,,,2026-07-24T21:43:13Z
211,C,7,,,2026-07-24T21:43:13Z
211,C,8,,,2026-07-24T21:43:13Z
211,C,9,,,2026-07-24T21:43:13Z
211,C,10,,,2026-07-24T21:43:13Z
211,C,11,,,2026-07-24T21:43:13Z
211,C,12,,,2026-07-24T21:43:13Z
108,N,1,,,2026-07-24T21:43:13Z
108,N,10,,,2026-07-24T21:43:13Z
108,N,2,,,2026-07-24T21:43:13Z
108,N,7,,,2026-07-24T21:43:13Z
108,N,8,,,2026-07-24T21:43:13Z
108,N,9,,,2026-07-24T21:43:13Z
108,G,1,,,2026-07-24T21:43:13Z
108,G,2,,,2026-07-24T21:43:13Z
222,H,9,,,2026-07-24T21:43:13Z
222,H,10,,,2026-07-24T21:43:13Z
29,J,1,,,2026-07-24T21:43:13Z
29,J,2,,,2026-07-24T21:43:13Z
29,J,3,,,2026-07-24T21:43:13Z
