section,row,seat,price_usd,selection_type,scraped_at
131,G,13,,,2026-07-25T21:41:06Z
131,G,14,,,2026-07-25T21:41:06Z
131,G,15,,,2026-07-25T21:41:06Z
131,G,16,,,2026-07-25T21:41:06Z
131,B,16,,,2026-07-25T21:41:06Z
131,B,17,,,2026-07-25T21:41:06Z
101,G,1,,,2026-07-25T21:41:06Z
101,G,2,,,2026-07-25T21:41:06Z
101,G,3,,,2026-07-25T21:41:06Z
101,G,4,,,2026-07-25T21:41:06Z
101,G,5,,,2026-07-25T21:41:06Z
101,G,6,,,2026-07-25T21:41:06Z
101,E,1,,,2026-07-25T21:41:06Z
101,E,2,,,2026-07-25T21:41:06Z
101,E,3,,,2026-07-25T21:41:06Z
101,E,4,,,2026-07-25T21:41:06Z
103,R,7,,,2026-07-25T21:41:06Z
103,R,8,,,2026-07-25T21:41:06Z
103,F,5,,,2026-07-25T21:41:06Z
103,F,6,,,2026-07-25T21:41:06Z
103,D,9,,,2026-07-25T21:41:06Z
103,D,10,,,2026-07-25T21:41:06Z
103,W,11,,,2026-07-25T21:41:06Z
103,W,12,,,2026-07-25T21:41:06Z
103,Q,17,,,2026-07-25T21:41:06Z
103,Q,18,,,2026-07-25T21:41:06Z
103,Q,19,,,2026-07-25T21:41:06Z
103,Q,20,,,2026-07-25T21:41:06Z
209,H,4,,,2026-07-25T21:41:06Z
209,H,5,,,2026-07-25T21:41:06Z
110,F,8,,,2026-07-25T21:41:06Z
110,F,9,,,2026-07-25T21:41:06Z
110,C,9,,,2026-07-25T21:41:06Z
110,C,10,,,2026-07-25T21:41:06Z
221,B,11,,,2026-07-25T21:41:06Z
221,B,12,,,2026-07-25T21:41:06Z
217,K,5,,,2026-07-25T21:41:06Z
217,K,6,,,2026-07-25T21:41:06Z
223,B,13,,,2026-07-25T21:41:06Z
223,B,14,,,2026-07-25T21:41:06Z
2,E,5,,,2026-07-25T21:41:06Z
2,E,6,,,2026-07-25T21:41:06Z
132,DD,1,,,2026-07-25T21:41:06Z
132,DD,2,,,2026-07-25T21:41:06Z
132,AA,3,,,2026-07-25T21:41:06Z
132,AA,4,,,2026-07-25T21:41:06Z
208,B,3,,,2026-07-25T21:41:06Z
208,B,4,,,2026-07-25T21:41:06Z
219,E,3,,,2026-07-25T21:41:06Z
219,E,4,,,2026-07-25T21:41:06Z
10,K,1,,,2026-07-25T21:41:06Z
10,K,2,,,2026-07-25T21:41:06Z
10,K,3,,,2026-07-25T21:41:06Z
10,K,4,,,2026-07-25T21:41:06Z
128,AA,3,,,2026-07-25T21:41:06Z
128,AA,4,,,2026-07-25T21:41:06Z
120,B,7,,,2026-07-25T21:41:06Z
120,B,8,,,2026-07-25T21:41:06Z
220,A,5,,,2026-07-25T21:41:06Z
220,A,6,,,2026-07-25T21:41:06Z
214,A,1,,,2026-07-25T21:41:06Z
214,A,2,,,2026-07-25T21:41:06Z
17,L,1,,,2026-07-25T21:41:06Z
17,L,2,,,2026-07-25T21:41:06Z
112,C,13,,,2026-07-25T21:41:06Z
112,C,14,,,2026-07-25T21:41:06Z
112,C,15,,,2026-07-25T21:41:06Z
112,C,16,,,2026-07-25T21:41:06Z
