section,row,seat,price_usd,selection_type,scraped_at
137,2,21,,,2026-07-22T00:37:30Z
137,2,22,,,2026-07-22T00:37:30Z
137,4,16,,,2026-07-22T00:37:30Z
137,4,17,,,2026-07-22T00:37:30Z
139,9,1,,,2026-07-22T00:37:30Z
139,9,2,,,2026-07-22T00:37:30Z
139,5,19,,,2026-07-22T00:37:30Z
139,5,20,,,2026-07-22T00:37:30Z
139,5,21,,,2026-07-22T00:37:30Z
139,5,22,,,2026-07-22T00:37:30Z
139,5,23,,,2026-07-22T00:37:30Z
139,5,24,,,2026-07-22T00:37:30Z
139,2,20,,,2026-07-22T00:37:30Z
139,2,21,,,2026-07-22T00:37:30Z
139,2,22,,,2026-07-22T00:37:30Z
139,2,23,,,2026-07-22T00:37:30Z
236,4,2,,,2026-07-22T00:37:30Z
236,4,3,,,2026-07-22T00:37:30Z
236,4,4,,,2026-07-22T00:37:30Z
236,4,5,,,2026-07-22T00:37:30Z
236,1,17,,,2026-07-22T00:37:30Z
236,1,18,,,2026-07-22T00:37:30Z
235,6,1,,,2026-07-22T00:37:30Z
235,6,2,,,2026-07-22T00:37:30Z
235,6,3,,,2026-07-22T00:37:30Z
235,6,4,,,2026-07-22T00:37:30Z
235,1,5,,,2026-07-22T00:37:30Z
235,1,6,,,2026-07-22T00:37:30Z
235,1,7,,,2026-07-22T00:37:30Z
235,1,8,,,2026-07-22T00:37:30Z
235,2,21,,,2026-07-22T00:37:30Z
235,2,22,,,2026-07-22T00:37:30Z
235,2,23,,,2026-07-22T00:37:30Z
235,2,24,,,2026-07-22T00:37:30Z
235,2,25,,,2026-07-22T00:37:30Z
235,2,26,,,2026-07-22T00:37:30Z
235,4,1,,,2026-07-22T00:37:30Z
235,4,2,,,2026-07-22T00:37:30Z
235,4,3,,,2026-07-22T00:37:30Z
235,4,4,,,2026-07-22T00:37:30Z
235,4,5,,,2026-07-22T00:37:30Z
235,4,6,,,2026-07-22T00:37:30Z
311,1,10,,,2026-07-22T00:37:30Z
311,1,11,,,2026-07-22T00:37:30Z
311,2,1,,,2026-07-22T00:37:30Z
311,2,2,,,2026-07-22T00:37:30Z
