section,row,seat,price_usd,selection_type,scraped_at
121,E,1,,,2026-07-07T21:44:45Z
121,E,2,,,2026-07-07T21:44:45Z
121,E,3,,,2026-07-07T21:44:45Z
121,E,4,,,2026-07-07T21:44:45Z
121,C,1,,,2026-07-07T21:44:45Z
121,C,2,,,2026-07-07T21:44:45Z
121,JJ,1,,,2026-07-07T21:44:45Z
121,JJ,2,,,2026-07-07T21:44:45Z
121,JJ,3,,,2026-07-07T21:44:45Z
121,JJ,4,,,2026-07-07T21:44:45Z
121,JJ,5,,,2026-07-07T21:44:45Z
121,JJ,6,,,2026-07-07T21:44:45Z
121,JJ,7,,,2026-07-07T21:44:45Z
121,FF,1,,,2026-07-07T21:44:45Z
121,FF,2,,,2026-07-07T21:44:45Z
120,N,5,,,2026-07-07T21:44:45Z
120,N,6,,,2026-07-07T21:44:45Z
120,N,7,,,2026-07-07T21:44:45Z
120,N,8,,,2026-07-07T21:44:45Z
120,N,9,,,2026-07-07T21:44:45Z
120,N,10,,,2026-07-07T21:44:45Z
120,R,9,,,2026-07-07T21:44:45Z
120,R,10,,,2026-07-07T21:44:45Z
120,G,5,,,2026-07-07T21:44:45Z
120,G,6,,,2026-07-07T21:44:45Z
120,F,3,,,2026-07-07T21:44:45Z
120,F,4,,,2026-07-07T21:44:45Z
120,U,1,,,2026-07-07T21:44:45Z
120,U,2,,,2026-07-07T21:44:45Z
120,U,3,,,2026-07-07T21:44:45Z
120,U,4,,,2026-07-07T21:44:45Z
120,U,5,,,2026-07-07T21:44:45Z
120,V,1,,,2026-07-07T21:44:45Z
120,V,10,,,2026-07-07T21:44:45Z
120,V,2,,,2026-07-07T21:44:45Z
120,V,3,,,2026-07-07T21:44:45Z
120,V,4,,,2026-07-07T21:44:45Z
120,V,5,,,2026-07-07T21:44:45Z
120,V,6,,,2026-07-07T21:44:45Z
120,V,7,,,2026-07-07T21:44:45Z
120,V,8,,,2026-07-07T21:44:45Z
120,V,9,,,2026-07-07T21:44:45Z
112,N,5,,,2026-07-07T21:44:45Z
112,N,6,,,2026-07-07T21:44:45Z
128,JJ,11,,,2026-07-07T21:44:45Z
128,JJ,12,,,2026-07-07T21:44:45Z
128,JJ,13,,,2026-07-07T21:44:45Z
128,JJ,14,,,2026-07-07T21:44:45Z
118,P,1,,,2026-07-07T21:44:45Z
