section,row,seat,price_usd,selection_type,scraped_at
132,B,7,,,2026-07-07T22:16:43Z
132,B,8,,,2026-07-07T22:16:43Z
132,B,9,,,2026-07-07T22:16:43Z
132,B,10,,,2026-07-07T22:16:43Z
132,D,1,,,2026-07-07T22:16:43Z
132,D,2,,,2026-07-07T22:16:43Z
132,Y,9,,,2026-07-07T22:16:43Z
132,Y,10,,,2026-07-07T22:16:43Z
132,Z,10,,,2026-07-07T22:16:43Z
132,Z,11,,,2026-07-07T22:16:43Z
24,B,5,,,2026-07-07T22:16:43Z
24,B,6,,,2026-07-07T22:16:43Z
130,T,5,,,2026-07-07T22:16:43Z
130,T,6,,,2026-07-07T22:16:43Z
130,L,9,,,2026-07-07T22:16:43Z
130,L,10,,,2026-07-07T22:16:43Z
128,K,5,,,2026-07-07T22:16:43Z
128,K,6,,,2026-07-07T22:16:43Z
128,OO,3,,,2026-07-07T22:16:43Z
128,OO,4,,,2026-07-07T22:16:43Z
128,OO,5,,,2026-07-07T22:16:43Z
128,OO,6,,,2026-07-07T22:16:43Z
128,OO,7,,,2026-07-07T22:16:43Z
128,OO,8,,,2026-07-07T22:16:43Z
128,OO,9,,,2026-07-07T22:16:43Z
128,OO,10,,,2026-07-07T22:16:43Z
128,MM,1,,,2026-07-07T22:16:43Z
128,MM,2,,,2026-07-07T22:16:43Z
118,M,8,,,2026-07-07T22:16:43Z
118,M,9,,,2026-07-07T22:16:43Z
120,V,7,,,2026-07-07T22:16:43Z
120,V,8,,,2026-07-07T22:16:43Z
120,V,9,,,2026-07-07T22:16:43Z
120,V,10,,,2026-07-07T22:16:43Z
120,V,11,,,2026-07-07T22:16:43Z
120,V,12,,,2026-07-07T22:16:43Z
120,DD,5,,,2026-07-07T22:16:43Z
120,DD,6,,,2026-07-07T22:16:43Z
117,X,1,,,2026-07-07T22:16:43Z
117,X,2,,,2026-07-07T22:16:43Z
117,X,3,,,2026-07-07T22:16:43Z
117,X,4,,,2026-07-07T22:16:43Z
117,N,11,,,2026-07-07T22:16:43Z
117,N,12,,,2026-07-07T22:16:43Z
117,N,13,,,2026-07-07T22:16:43Z
117,N,14,,,2026-07-07T22:16:43Z
129,P,11,,,2026-07-07T22:16:43Z
129,P,12,,,2026-07-07T22:16:43Z
129,HH,3,,,2026-07-07T22:16:43Z
129,HH,4,,,2026-07-07T22:16:43Z
